seconds,utilization (KB),
0,36270632,
3,36272036,
6,36274208,
9,36276704,
12,36279324,
15,36282372,
18,36285124,
21,36288084,
24,36291216,
27,36294188,
30,36297420,
33,36300744,
36,36304248,
39,36307696,
42,36311068,
45,36314368,
48,36330848,
51,36458320,
54,36563192,
57,36652676,
60,36762552,
63,36861520,
66,36890084,
69,36948648,
72,37017688,
75,37065836,
78,37103656,
81,37171420,
84,37236896,
87,37253360,
90,37298368,
93,37357320,
96,37362856,
99,37417420,
102,37464300,
105,37473524,
108,37473524,
111,37473900,
114,37474148,
117,37474652,
120,37475148,
123,37475888,
126,37476756,
129,37477624,
132,37478596,
135,37479588,
138,37480704,
141,37480812,
144,37480808,
147,37480684,
150,37480684,
153,37480436,
156,37480436,
159,37480312,
162,37480312,
165,37480188,
168,37480188,
171,37480064,
174,37479848,
177,37479848,
180,37479848,
183,37479848,
186,37479724,
189,37479724,
192,37479724,
195,37479724,
198,37479724,
201,37479724,
204,37479592,
207,37479592,
210,37479584,
213,37479592,
216,37479584,
219,37479592,
222,37479700,
225,37479716,
228,37479716,
231,37479552,
234,37479552,
237,37479708,
240,37479584,
243,37479584,
246,37479584,
249,37503544,
252,37524524,
255,37541672,
258,37543816,
261,25687368,
264,2249084,
267,2283184,
270,2281412,
273,2282644,
276,2285644,
279,2284572,
282,2285520,
285,2284064,
288,2283432,
291,2283036,
294,2283004,
297,2282176,
300,2282672,
303,2283140,
306,2283160,
309,2283832,
312,2284168,
315,2283948,
318,2283188,
321,2285692,
324,2283404,
327,2284008,
330,2284724,
333,2283036,
336,2285616,
339,2284056,
342,2282848,
345,2283588,
348,2285684,
351,2285504,
354,2284040,
357,2679804,
360,2677240,
363,2675052,
366,2673804,
369,2672200,
372,2670804,
375,2669584,
378,2669464,
381,2669348,
384,2669084,
387,2669000,
390,2668712,
393,2668356,
396,2668152,
399,2668008,
402,2668008,
405,2667884,
408,2667728,
411,2667660,
414,2667284,
417,2667004,
420,2666928,
423,2666936,
426,2667052,
429,2667084,
432,2667084,
435,2667084,
438,2667232,
441,2667248,
444,2667200,
447,2667208,
450,2667208,
453,2667232,
456,2667668,
459,2667636,
462,2667660,
465,2667668,
468,2667628,
471,2667668,
474,2667428,
477,2667208,
480,2667256,
483,2667264,
486,2667380,
489,2667380,
492,2667264,
495,2667288,
498,2667164,
501,2667172,
504,2667172,
507,2667164,
510,2667164,
513,2667172,
516,2667172,
519,2667180,
522,2667064,
525,2667040,
528,2667080,
531,2667196,
534,2667196,
537,2667196,
540,2667220,
543,2667228,
546,2667428,
549,2667428,
552,2667452,
555,2667436,
558,2667460,
561,2667444,
564,2667460,
567,2667436,
570,2667424,
573,2667424,
576,2667432,
579,2667432,
582,2667416,
