seconds,utilization (KB),
0,37761020,
3,37760464,
6,36886212,
9,36879144,
12,36877084,
15,36875180,
18,36883816,
21,36884636,
24,36885772,
27,36888036,
30,36890400,
33,36893052,
36,36895804,
39,36898508,
42,36901600,
45,36904088,
48,36906932,
51,36910120,
54,36912956,
57,36915908,
60,36919292,
63,36922128,
66,36924880,
69,36927792,
72,36930888,
75,36933660,
78,36935800,
81,36940976,
84,36944720,
87,36949128,
90,36952252,
93,36955816,
96,36958380,
99,36961676,
102,36964596,
105,36967696,
108,37048156,
111,37155280,
114,37265632,
117,37365836,
120,37471900,
123,37561900,
126,37663616,
129,37768552,
132,37869432,
135,37911596,
138,37970504,
141,38037284,
144,38102236,
147,38167372,
150,38231164,
153,38250740,
156,38253980,
159,38312088,
162,38372272,
165,38432780,
168,38492620,
171,38493400,
174,38520228,
177,38570580,
180,38626384,
183,38682392,
186,38697152,
189,38727604,
192,38781380,
195,38838576,
198,38879200,
201,38909336,
204,38908788,
207,38908948,
210,38909320,
213,38909948,
216,38910560,
219,38910884,
222,38911536,
225,38912652,
228,38913280,
231,38914016,
234,38915116,
237,38916072,
240,38916748,
243,38917476,
246,38918664,
249,38919276,
252,38920268,
255,38921112,
258,38921856,
261,38921840,
264,38921536,
267,38921312,
270,38921312,
273,38921088,
276,38921088,
279,38921024,
282,38921024,
285,38920964,
288,38920964,
291,38920964,
294,38920720,
297,38920472,
300,38920472,
303,38920472,
306,38920472,
309,38920472,
312,38920472,
315,38920596,
318,38920628,
321,38920512,
324,38920876,
327,38920876,
330,38920876,
333,38920876,
336,38920876,
339,38920876,
342,38920876,
345,38920876,
348,38920876,
351,38920876,
354,38920876,
357,38920844,
360,38920720,
363,38920720,
366,38920720,
369,38920564,
372,38920392,
375,38920232,
378,38920232,
381,38920108,
384,38920108,
387,38920060,
390,38920076,
393,38920076,
396,38920076,
399,38920068,
402,38920068,
405,38920076,
408,38920076,
411,38920076,
414,38920076,
417,38920076,
420,38920076,
423,38920076,
426,38920076,
429,38920076,
432,38920076,
435,38920076,
438,38920076,
441,38930100,
444,38992232,
447,39026276,
450,39020124,
453,39012240,
456,39040624,
459,19732596,
462,3359092,
