Linux 4.4.132-0404132-generic (pl2) 	2018-10-18 	_x86_64_	(24 CPU)

10:09:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:09:08 PM  all    0.01    0.00    3.06    1.69    0.00    0.00    0.00    0.00    0.00   95.23
10:09:08 PM    0    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
10:09:08 PM    1    0.00    0.00   72.58    1.67    0.00    0.00    0.00    0.00    0.00   25.75
10:09:08 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:08 PM    3    0.00    0.00    0.00    1.67    0.00    0.00    0.00    0.00    0.00   98.33
10:09:08 PM    4    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
10:09:08 PM    5    0.00    0.00    0.00    5.33    0.00    0.00    0.00    0.00    0.00   94.67
10:09:08 PM    6    0.00    0.00    0.00    1.67    0.00    0.00    0.00    0.00    0.00   98.33
10:09:08 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:08 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:08 PM    9    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
10:09:08 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:08 PM   11    0.00    0.00    0.00    8.97    0.00    0.00    0.00    0.00    0.00   91.03
10:09:08 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:08 PM   13    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
10:09:08 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:08 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:08 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:08 PM   17    0.00    0.00    0.66    1.00    0.00    0.00    0.00    0.00    0.00   98.34
10:09:08 PM   18    0.33    0.00    0.00    3.33    0.00    0.00    0.00    0.00    0.00   96.33
10:09:08 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:08 PM   20    0.00    0.00    0.00    2.66    0.00    0.00    0.00    0.00    0.00   97.34
10:09:08 PM   21    0.00    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00   99.34
10:09:08 PM   22    0.00    0.00    0.00   11.33    0.00    0.00    0.00    0.00    0.00   88.67
10:09:08 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

