Generating events file /home/ljishen/ycsb-rocksdb/analysis/data/db_bench/events.dat
Extracting sectors from events file to /home/ljishen/ycsb-rocksdb/analysis/data/db_bench/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    68293                76.553%           76.537%
8             W    9673                 10.843%           10.841%
984           W    7338                  8.226%            8.224%
992           W    1893                  2.122%            2.122%
0             W    902                   1.011%            1.011%
1016          W    109                   0.122%            0.122%
32            W    69                    0.077%            0.077%
16            W    56                    0.063%            0.063%
1             W    35                    0.039%            0.039%
240           W    34                    0.038%            0.038%
968           W    33                    0.037%            0.037%
952           W    33                    0.037%            0.037%
944           W    33                    0.037%            0.037%
688           W    33                    0.037%            0.037%
704           W    32                    0.036%            0.036%
56            W    32                    0.036%            0.036%
896           W    31                    0.035%            0.035%
480           W    30                    0.034%            0.034%
464           W    30                    0.034%            0.034%
296           W    30                    0.034%            0.034%
5             W    29                    0.033%            0.033%
792           W    26                    0.029%            0.029%
6             W    26                    0.029%            0.029%
160           W    25                    0.028%            0.028%
7             W    24                    0.027%            0.027%
3             W    23                    0.026%            0.026%
2             W    21                    0.024%            0.024%
9             W    20                    0.022%            0.022%
64            W    20                    0.022%            0.022%
4             W    14                    0.016%            0.016%
18            W    13                    0.015%            0.015%
11            W    13                    0.015%            0.015%
10            W    13                    0.015%            0.015%
624           W    12                    0.013%            0.013%
72            W    11                    0.012%            0.012%
12            W    11                    0.012%            0.012%
832           W    10                    0.011%            0.011%
1             R    10                   52.632%            0.011%
632           W    9                     0.010%            0.010%
17            W    9                     0.010%            0.010%
8             R    8                    42.105%            0.009%
608           W    8                     0.009%            0.009%
152           W    8                     0.009%            0.009%
14            W    8                     0.009%            0.009%
15            W    7                     0.008%            0.008%
13            W    7                     0.008%            0.008%
616           W    6                     0.007%            0.007%
544           W    6                     0.007%            0.007%
24            W    6                     0.007%            0.007%
21            W    6                     0.007%            0.007%
592           W    5                     0.006%            0.006%
520           W    5                     0.006%            0.006%
456           W    5                     0.006%            0.006%
928           W    4                     0.004%            0.004%
648           W    4                     0.004%            0.004%
600           W    4                     0.004%            0.004%
392           W    4                     0.004%            0.004%
288           W    4                     0.004%            0.004%
736           W    3                     0.003%            0.003%
576           W    3                     0.003%            0.003%
40            W    3                     0.003%            0.003%
408           W    3                     0.003%            0.003%
22            W    3                     0.003%            0.003%
20            W    3                     0.003%            0.003%
888           W    2                     0.002%            0.002%
672           W    2                     0.002%            0.002%
656           W    2                     0.002%            0.002%
584           W    2                     0.002%            0.002%
528           W    2                     0.002%            0.002%
440           W    2                     0.002%            0.002%
416           W    2                     0.002%            0.002%
400           W    2                     0.002%            0.002%
23            W    2                     0.002%            0.002%
19            W    2                     0.002%            0.002%
120           W    2                     0.002%            0.002%
904           W    1                     0.001%            0.001%
864           W    1                     0.001%            0.001%
824           W    1                     0.001%            0.001%
768           W    1                     0.001%            0.001%
752           W    1                     0.001%            0.001%
696           W    1                     0.001%            0.001%
680           W    1                     0.001%            0.001%
664           W    1                     0.001%            0.001%
640           W    1                     0.001%            0.001%
568           W    1                     0.001%            0.001%
512           W    1                     0.001%            0.001%
49            W    1                     0.001%            0.001%
496           W    1                     0.001%            0.001%
472           W    1                     0.001%            0.001%
352           W    1                     0.001%            0.001%
344           W    1                     0.001%            0.001%
32            R    1                     5.263%            0.001%
320           W    1                     0.001%            0.001%
312           W    1                     0.001%            0.001%
304           W    1                     0.001%            0.001%
280           W    1                     0.001%            0.001%
256           W    1                     0.001%            0.001%
248           W    1                     0.001%            0.001%
216           W    1                     0.001%            0.001%
112           W    1                     0.001%            0.001%
1008          W    1                     0.001%            0.001%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 19             [  0.021%]
Total write I/Os: 89210          [ 99.979%]
Total read sectors : 106         [  0.000%,       0.052MB]
Total write sectors: 79546608    [100.000%,   38841.117MB]
