Linux 4.4.132-0404132-generic (pl2) 	2018-10-17 	_x86_64_	(24 CPU)

08:41:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:41:08 PM  all   15.96    0.00    6.36    1.02    0.00    0.01    0.00    0.00    0.00   76.65
08:41:08 PM    0   14.72    0.00    5.02    0.33    0.00    0.33    0.00    0.00    0.00   79.60
08:41:08 PM    1   15.67    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   79.33
08:41:08 PM    2    3.68    0.00   18.39    0.00    0.00    0.00    0.00    0.00    0.00   77.93
08:41:08 PM    3   16.67    0.00    5.33    0.67    0.00    0.00    0.00    0.00    0.00   77.33
08:41:08 PM    4   19.00    0.00    6.67    0.67    0.00    0.00    0.00    0.00    0.00   73.67
08:41:08 PM    5   23.41    0.00    8.36   12.04    0.00    0.00    0.00    0.00    0.00   56.19
08:41:08 PM    6   21.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
08:41:08 PM    7   14.67    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   80.33
08:41:08 PM    8   18.60    0.00    6.31    2.33    0.00    0.00    0.00    0.00    0.00   72.76
08:41:08 PM    9   13.33    0.00    4.67    0.00    0.00    0.00    0.00    0.00    0.00   82.00
08:41:08 PM   10   23.08    0.00    8.03    0.00    0.00    0.00    0.00    0.00    0.00   68.90
08:41:08 PM   11   18.67    0.00    6.67    0.00    0.00    0.00    0.00    0.00    0.00   74.67
08:41:08 PM   12   15.72    0.00    5.35    0.00    0.00    0.00    0.00    0.00    0.00   78.93
08:41:08 PM   13   13.71    0.00    3.34    2.34    0.00    0.00    0.00    0.00    0.00   80.60
08:41:08 PM   14   24.92    0.00    9.09    0.67    0.00    0.00    0.00    0.00    0.00   65.32
08:41:08 PM   15   14.05    0.00    5.02    2.01    0.00    0.00    0.00    0.00    0.00   78.93
08:41:08 PM   16    3.33    0.00    1.33    1.33    0.00    0.00    0.00    0.00    0.00   94.00
08:41:08 PM   17    2.33    0.00    2.33    0.00    0.00    0.00    0.00    0.00    0.00   95.33
08:41:08 PM   18   18.67    0.00    4.67    0.00    0.00    0.00    0.00    0.00    0.00   76.67
08:41:08 PM   19   23.00    0.00   16.67    0.33    0.00    0.00    0.00    0.00    0.00   60.00
08:41:08 PM   20   15.72    0.00    6.69    0.00    0.00    0.00    0.00    0.00    0.00   77.59
08:41:08 PM   21   22.07    0.00    8.36    0.00    0.00    0.00    0.00    0.00    0.00   69.57
