Generating events file /home/ljishen/ycsb-rocksdb/analysis/data/db_bench/events.dat
Extracting sectors from events file to /home/ljishen/ycsb-rocksdb/analysis/data/db_bench/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
16            R    286026               45.299%           39.206%
8             R    178154               28.215%           24.420%
24            R    85579                13.554%           11.730%
1024          W    70370                71.708%            9.646%
32            R    16277                 2.578%            2.231%
8             W    15761                16.061%            2.160%
40            R    11060                 1.752%            1.516%
256           R    8877                  1.406%            1.217%
48            R    6863                  1.087%            0.941%
56            R    6739                  1.067%            0.924%
64            R    5162                  0.818%            0.708%
1016          W    4409                  4.493%            0.604%
1008          W    4307                  4.389%            0.590%
72            R    3985                  0.631%            0.546%
80            R    2792                  0.442%            0.383%
88            R    2720                  0.431%            0.373%
104           R    2022                  0.320%            0.277%
96            R    1958                  0.310%            0.268%
0             W    1758                  1.791%            0.241%
112           R    1498                  0.237%            0.205%
128           R    1456                  0.231%            0.200%
120           R    1442                  0.228%            0.198%
136           R    1212                  0.192%            0.166%
144           R    896                   0.142%            0.123%
152           R    831                   0.132%            0.114%
160           R    719                   0.114%            0.099%
168           R    641                   0.102%            0.088%
176           R    573                   0.091%            0.079%
184           R    531                   0.084%            0.073%
192           R    513                   0.081%            0.070%
200           R    452                   0.072%            0.062%
208           R    426                   0.067%            0.058%
216           R    425                   0.067%            0.058%
224           R    349                   0.055%            0.048%
232           R    344                   0.054%            0.047%
240           R    291                   0.046%            0.040%
248           R    267                   0.042%            0.037%
22            W    74                    0.075%            0.010%
24            W    62                    0.063%            0.008%
1000          W    57                    0.058%            0.008%
23            W    50                    0.051%            0.007%
520           W    49                    0.050%            0.007%
3             W    48                    0.049%            0.007%
512           R    47                    0.007%            0.006%
128           W    47                    0.048%            0.006%
896           W    45                    0.046%            0.006%
744           W    40                    0.041%            0.005%
64            W    38                    0.039%            0.005%
728           W    34                    0.035%            0.005%
512           W    32                    0.033%            0.004%
16            W    32                    0.033%            0.004%
752           W    30                    0.031%            0.004%
25            W    29                    0.030%            0.004%
9             W    28                    0.029%            0.004%
760           W    27                    0.028%            0.004%
10            W    27                    0.028%            0.004%
288           R    26                    0.004%            0.004%
280           R    26                    0.004%            0.004%
120           W    25                    0.025%            0.003%
112           W    25                    0.025%            0.003%
736           W    24                    0.024%            0.003%
96            W    23                    0.023%            0.003%
776           W    23                    0.023%            0.003%
720           W    23                    0.023%            0.003%
968           W    22                    0.022%            0.003%
928           W    22                    0.022%            0.003%
912           W    22                    0.022%            0.003%
904           W    22                    0.022%            0.003%
17            W    22                    0.022%            0.003%
768           W    21                    0.021%            0.003%
56            W    21                    0.021%            0.003%
272           R    20                    0.003%            0.003%
264           R    20                    0.003%            0.003%
712           W    17                    0.017%            0.002%
312           R    16                    0.003%            0.002%
4             W    15                    0.015%            0.002%
15            W    15                    0.015%            0.002%
704           W    14                    0.014%            0.002%
320           R    14                    0.002%            0.002%
21            W    14                    0.014%            0.002%
20            W    14                    0.014%            0.002%
384           R    13                    0.002%            0.002%
352           R    13                    0.002%            0.002%
296           R    13                    0.002%            0.002%
26            W    13                    0.013%            0.002%
784           W    12                    0.012%            0.002%
32            W    12                    0.012%            0.002%
304           R    12                    0.002%            0.002%
688           W    11                    0.011%            0.002%
440           R    11                    0.002%            0.002%
31            W    11                    0.011%            0.002%
5             W    10                    0.010%            0.001%
336           R    10                    0.002%            0.001%
6             W    9                     0.009%            0.001%
2             W    9                     0.009%            0.001%
920           W    8                     0.008%            0.001%
424           R    8                     0.001%            0.001%
416           R    8                     0.001%            0.001%
376           R    8                     0.001%            0.001%
33            W    8                     0.008%            0.001%
328           R    8                     0.001%            0.001%
30            W    8                     0.008%            0.001%
29            W    8                     0.008%            0.001%
18            W    8                     0.008%            0.001%
14            W    8                     0.008%            0.001%
672           W    7                     0.007%            0.001%
408           W    7                     0.007%            0.001%
368           R    7                     0.001%            0.001%
360           R    7                     0.001%            0.001%
1             W    7                     0.007%            0.001%
792           W    6                     0.006%            0.001%
696           W    6                     0.006%            0.001%
400           R    6                     0.001%            0.001%
392           R    6                     0.001%            0.001%
368           W    6                     0.006%            0.001%
344           R    6                     0.001%            0.001%
328           W    6                     0.006%            0.001%
19            W    6                     0.006%            0.001%
12            W    6                     0.006%            0.001%
11            W    6                     0.006%            0.001%
104           W    6                     0.006%            0.001%
864           W    5                     0.005%            0.001%
680           W    5                     0.005%            0.001%
648           W    5                     0.005%            0.001%
640           W    5                     0.005%            0.001%
48            W    5                     0.005%            0.001%
424           W    5                     0.005%            0.001%
384           W    5                     0.005%            0.001%
28            W    5                     0.005%            0.001%
272           W    5                     0.005%            0.001%
160           W    5                     0.005%            0.001%
13            W    5                     0.005%            0.001%
808           W    4                     0.004%            0.001%
7             W    4                     0.004%            0.001%
600           W    4                     0.004%            0.001%
472           R    4                     0.001%            0.001%
432           R    4                     0.001%            0.001%
41            W    4                     0.004%            0.001%
360           W    4                     0.004%            0.001%
34            W    4                     0.004%            0.001%
336           W    4                     0.004%            0.001%
312           W    4                     0.004%            0.001%
27            W    4                     0.004%            0.001%
976           W    3                     0.003%            0.000%
80            W    3                     0.003%            0.000%
664           W    3                     0.003%            0.000%
656           W    3                     0.003%            0.000%
624           W    3                     0.003%            0.000%
592           W    3                     0.003%            0.000%
504           R    3                     0.000%            0.000%
464           R    3                     0.000%            0.000%
432           W    3                     0.003%            0.000%
408           R    3                     0.000%            0.000%
400           W    3                     0.003%            0.000%
38            W    3                     0.003%            0.000%
37            W    3                     0.003%            0.000%
35            W    3                     0.003%            0.000%
256           W    3                     0.003%            0.000%
144           W    3                     0.003%            0.000%
88            W    2                     0.002%            0.000%
872           W    2                     0.002%            0.000%
848           W    2                     0.002%            0.000%
832           W    2                     0.002%            0.000%
816           W    2                     0.002%            0.000%
632           W    2                     0.002%            0.000%
504           W    2                     0.002%            0.000%
488           R    2                     0.000%            0.000%
480           R    2                     0.000%            0.000%
464           W    2                     0.002%            0.000%
456           R    2                     0.000%            0.000%
448           R    2                     0.000%            0.000%
43            W    2                     0.002%            0.000%
352           W    2                     0.002%            0.000%
344           W    2                     0.002%            0.000%
320           W    2                     0.002%            0.000%
296           W    2                     0.002%            0.000%
280           W    2                     0.002%            0.000%
208           W    2                     0.002%            0.000%
1             R    2                     0.000%            0.000%
192           W    2                     0.002%            0.000%
152           W    2                     0.002%            0.000%
136           W    2                     0.002%            0.000%
984           W    1                     0.001%            0.000%
960           W    1                     0.001%            0.000%
888           W    1                     0.001%            0.000%
856           W    1                     0.001%            0.000%
824           W    1                     0.001%            0.000%
72            W    1                     0.001%            0.000%
616           W    1                     0.001%            0.000%
584           W    1                     0.001%            0.000%
552           W    1                     0.001%            0.000%
536           W    1                     0.001%            0.000%
528           W    1                     0.001%            0.000%
50            W    1                     0.001%            0.000%
496           W    1                     0.001%            0.000%
488           W    1                     0.001%            0.000%
480           W    1                     0.001%            0.000%
46            W    1                     0.001%            0.000%
448           W    1                     0.001%            0.000%
40            W    1                     0.001%            0.000%
376           W    1                     0.001%            0.000%
36            W    1                     0.001%            0.000%
304           W    1                     0.001%            0.000%
288           W    1                     0.001%            0.000%
264           W    1                     0.001%            0.000%
184           W    1                     0.001%            0.000%
176           W    1                     0.001%            0.000%
168           W    1                     0.001%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 631412         [ 86.549%]
Total write I/Os: 98134          [ 13.451%]
Total read sectors : 15628410    [ 16.081%,    7631.060MB]
Total write sectors: 81559371    [ 83.919%,   39823.912MB]
