Linux 4.4.132-0404132-generic (pl2) 	2018-10-21 	_x86_64_	(24 CPU)

11:55:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:55:33 PM  all    0.03    0.00    1.49    1.76    0.00    0.00    0.00    0.00    0.00   96.72
11:55:33 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:33 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:33 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:33 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:33 PM    4    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
11:55:33 PM    5    0.00    0.00    0.00    7.33    0.00    0.00    0.00    0.00    0.00   92.67
11:55:33 PM    6    0.00    0.00    0.00    2.66    0.00    0.00    0.00    0.00    0.00   97.34
11:55:33 PM    7    0.00    0.00    0.00   17.73    0.00    0.00    0.00    0.00    0.00   82.27
11:55:33 PM    8    0.33    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.00
11:55:33 PM    9    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.33
11:55:33 PM   10    0.00    0.00   34.00    0.00    0.00    0.00    0.00    0.00    0.00   66.00
11:55:33 PM   11    0.33    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   95.67
11:55:33 PM   12    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:55:33 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:33 PM   14    0.00    0.00    0.00    1.33    0.00    0.00    0.00    0.00    0.00   98.67
11:55:33 PM   15    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
11:55:33 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:33 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:33 PM   18    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:55:33 PM   19    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
11:55:33 PM   20    0.00    0.00    0.00    6.67    0.00    0.00    0.00    0.00    0.00   93.33
11:55:33 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:33 PM   22    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.33
11:55:33 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:55:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:55:36 PM  all    0.03    0.00    0.07    0.64    0.00    0.00    0.00    0.00    0.00   99.26
11:55:36 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:36 PM    1    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
11:55:36 PM    2    0.00    0.00    0.33    0.67    0.00    0.00    0.00    0.00    0.00   99.00
11:55:36 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:36 PM    4    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:55:36 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:36 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:36 PM    7    0.00    0.00    0.00    1.34    0.00    0.00    0.00    0.00    0.00   98.66
11:55:36 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:36 PM    9    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
11:55:36 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:36 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:36 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:36 PM   13    0.00    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00   99.34
11:55:36 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:36 PM   15    0.00    0.00    0.00    6.69    0.00    0.00    0.00    0.00    0.00   93.31
11:55:36 PM   16    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:55:36 PM   17    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
11:55:36 PM   18    0.00    0.00    0.00    1.67    0.00    0.00    0.00    0.00    0.00   98.33
11:55:36 PM   19    0.00    0.00    0.00    2.01    0.00    0.00    0.00    0.00    0.00   97.99
11:55:36 PM   20    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:55:36 PM   21    0.00    0.00    0.00    1.33    0.00    0.00    0.00    0.00    0.00   98.67
11:55:36 PM   22    0.33    0.00    0.66    0.66    0.00    0.00    0.00    0.00    0.00   98.34
11:55:36 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:55:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:55:39 PM  all    0.01    0.00    0.03    0.01    0.00    0.00    0.00    0.00    0.00   99.94
11:55:39 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:39 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:39 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:39 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:39 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
