Linux 4.4.132-0404132-generic (pl2) 	2018-10-23 	_x86_64_	(24 CPU)

01:01:41 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:01:44 AM  all    0.28    0.00    1.93    4.10    0.00    0.04    0.00    0.00    0.00   93.65
01:01:44 AM    0    0.00    0.00    0.00    2.33    0.00    0.00    0.00    0.00    0.00   97.67
01:01:44 AM    1    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
01:01:44 AM    2    0.00    0.00    0.33    1.33    0.00    0.00    0.00    0.00    0.00   98.33
01:01:44 AM    3    0.00    0.00   36.79    0.00    0.00    0.00    0.00    0.00    0.00   63.21
01:01:44 AM    4    0.34    0.00    0.00    2.36    0.00    0.00    0.00    0.00    0.00   97.30
01:01:44 AM    5    0.00    0.00    0.00    7.36    0.00    0.00    0.00    0.00    0.00   92.64
01:01:44 AM    6    0.33    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   92.67
01:01:44 AM    7    0.33    0.00    0.00    3.68    0.00    0.00    0.00    0.00    0.00   95.99
01:01:44 AM    8    0.00    0.00    0.00    3.36    0.00    0.00    0.00    0.00    0.00   96.64
01:01:44 AM    9    0.00    0.00    0.33    3.67    0.00    0.00    0.00    0.00    0.00   96.00
01:01:44 AM   10    0.33    0.00    0.33    5.98    0.00    0.33    0.00    0.00    0.00   93.02
01:01:44 AM   11    0.33    0.00    0.33   13.04    0.00    0.00    0.00    0.00    0.00   86.29
01:01:44 AM   12    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:01:44 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:44 AM   14    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
01:01:44 AM   15    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
01:01:44 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:44 AM   17    0.00    0.00    0.33    1.00    0.00    0.00    0.00    0.00    0.00   98.67
01:01:44 AM   18    0.00    0.00    0.00    3.33    0.00    0.00    0.00    0.00    0.00   96.67
01:01:44 AM   19    0.00    0.00    0.00    3.33    0.00    0.00    0.00    0.00    0.00   96.67
01:01:44 AM   20    0.00    0.00    0.00    4.01    0.00    0.00    0.00    0.00    0.00   95.99
01:01:44 AM   21    0.00    0.00    0.00    3.68    0.00    0.00    0.00    0.00    0.00   96.32
01:01:44 AM   22    4.33    0.00    6.00   14.33    0.00    0.33    0.00    0.00    0.00   75.00
01:01:44 AM   23    0.00    0.00    0.33   17.33    0.00    0.00    0.00    0.00    0.00   82.33

01:01:44 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:01:47 AM  all    1.06    0.00    0.58   16.88    0.00    0.00    0.00    0.00    0.00   81.48
01:01:47 AM    0    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:01:47 AM    1    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:01:47 AM    2    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:01:47 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:47 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:47 AM    5    0.00    0.00    0.67    1.00    0.00    0.00    0.00    0.00    0.00   98.33
01:01:47 AM    6    3.00    0.00    1.33   57.00    0.00    0.00    0.00    0.00    0.00   38.67
01:01:47 AM    7    0.33    0.00    0.33   37.12    0.00    0.00    0.00    0.00    0.00   62.21
01:01:47 AM    8    1.33    0.00    1.00   33.22    0.00    0.00    0.00    0.00    0.00   64.45
01:01:47 AM    9    2.00    0.00    0.33   34.00    0.00    0.00    0.00    0.00    0.00   63.67
01:01:47 AM   10    5.02    0.00    1.00   31.77    0.00    0.00    0.00    0.00    0.00   62.21
01:01:47 AM   11    5.67    0.00    5.33   40.00    0.00    0.33    0.00    0.00    0.00   48.67
01:01:47 AM   12    0.00    0.00    1.00    0.67    0.00    0.00    0.00    0.00    0.00   98.33
01:01:47 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:47 AM   14    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:01:47 AM   15    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:01:47 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:47 AM   17    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:01:47 AM   18    5.03    0.00    1.34   31.21    0.00    0.00    0.00    0.00    0.00   62.42
01:01:47 AM   19    0.00    0.00    0.00   37.58    0.00    0.00    0.00    0.00    0.00   62.42
01:01:47 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:47 AM   21    0.33    0.00    0.00   37.46    0.00    0.00    0.00    0.00    0.00   62.21
01:01:47 AM   22    0.34    0.00    0.34   41.28    0.00    0.00    0.00    0.00    0.00   58.05
01:01:47 AM   23    2.35    0.00    0.34   21.81    0.00    0.00    0.00    0.00    0.00   75.50

01:01:47 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:01:50 AM  all    2.21    0.00    0.79   35.11    0.00    0.04    0.00    0.00    0.00   61.85
01:01:50 AM    0    2.98    0.00    0.66    7.28    0.00    0.33    0.00    0.00    0.00   88.74
01:01:50 AM    1    0.66    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.34
01:01:50 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:50 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:50 AM    4   11.30    0.00    3.08   73.63    0.00    0.34    0.00    0.00    0.00   11.64
01:01:50 AM    5    3.99    0.00    1.33   12.62    0.00    0.00    0.00    0.00    0.00   82.06
01:01:50 AM    6    9.00    0.00    3.00   86.00    0.00    0.33    0.00    0.00    0.00    1.67
01:01:50 AM    7    1.33    0.00    0.66   97.01    0.00    0.00    0.00    0.00    0.00    1.00
01:01:50 AM    8    1.34    0.00    0.67   97.32    0.00    0.33    0.00    0.00    0.00    0.33
01:01:50 AM    9   11.26    0.00    3.31   82.45    0.00    0.00    0.00    0.00    0.00    2.98
01:01:50 AM   10    1.00    0.00    1.33   97.33    0.00    0.00    0.00    0.00    0.00    0.33
01:01:50 AM   11    6.31    0.00    1.99   74.42    0.00    0.00    0.00    0.00    0.00   17.28
01:01:50 AM   12    0.33    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.67
01:01:50 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:50 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:50 AM   15    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:01:50 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:50 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:50 AM   18    2.98    0.00    0.33    6.29    0.00    0.00    0.00    0.00    0.00   90.40
01:01:50 AM   19    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00
01:01:50 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:50 AM   21    0.33    0.00    0.33   99.33    0.00    0.00    0.00    0.00    0.00    0.00
01:01:50 AM   22    0.67    0.00    0.34   10.40    0.00    0.00    0.00    0.00    0.00   88.59
01:01:50 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:01:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:01:53 AM  all    2.02    0.00    0.74   36.50    0.00    0.01    0.00    0.00    0.00   60.73
01:01:53 AM    0    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:01:53 AM    1    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:01:53 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:53 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:53 AM    4   13.84    0.00    3.46   80.62    0.00    0.00    0.00    0.00    0.00    2.08
01:01:53 AM    5    7.28    0.00    1.66   42.05    0.00    0.00    0.00    0.00    0.00   49.01
01:01:53 AM    6   11.07    0.00    3.36   80.54    0.00    0.00    0.00    0.00    0.00    5.03
01:01:53 AM    7    1.33    0.00    1.00   97.00    0.00    0.00    0.00    0.00    0.00    0.67
01:01:53 AM    8    1.35    0.00    1.01   96.28    0.00    0.00    0.00    0.00    0.00    1.35
01:01:53 AM    9    2.64    0.00    1.98   95.38    0.00    0.00    0.00    0.00    0.00    0.00
01:01:53 AM   10    8.75    0.00    2.02   89.23    0.00    0.00    0.00    0.00    0.00    0.00
01:01:53 AM   11    0.34    0.00    0.34   99.33    0.00    0.00    0.00    0.00    0.00    0.00
01:01:53 AM   12    0.66    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   98.67
01:01:53 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:53 AM   14    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:01:53 AM   15    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:01:53 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:53 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:53 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:53 AM   19    0.66    0.00    0.99   98.34    0.00    0.00    0.00    0.00    0.00    0.00
01:01:53 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:53 AM   21    0.33    0.00    0.33   99.33    0.00    0.00    0.00    0.00    0.00    0.00
01:01:53 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:53 AM   23    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67

01:01:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:01:56 AM  all    2.14    0.00    0.68   32.71    0.00    0.04    0.00    0.00    0.00   64.43
01:01:56 AM    0    0.00    0.00    0.00    0.00    0.00    0.33    0.00    0.00    0.00   99.67
01:01:56 AM    1    0.00    0.00    0.33    0.66    0.00    0.00    0.00    0.00    0.00   99.00
01:01:56 AM    2    0.00    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:01:56 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:56 AM    4   16.38    0.00    3.75   76.79    0.00    0.00    0.00    0.00    0.00    3.07
01:01:56 AM    5    0.33    0.00    0.33    0.66    0.00    0.00    0.00    0.00    0.00   98.68
01:01:56 AM    6    2.33    0.00    1.33   93.69    0.00    0.00    0.00    0.00    0.00    2.66
01:01:56 AM    7    5.00    0.00    1.67   90.67    0.00    0.00    0.00    0.00    0.00    2.67
01:01:56 AM    8    7.05    0.00    2.01   86.58    0.00    0.00    0.00    0.00    0.00    4.36
01:01:56 AM    9    7.38    0.00    1.01   89.26    0.00    0.34    0.00    0.00    0.00    2.01
01:01:56 AM   10    9.60    0.00    2.65   83.77    0.00    0.00    0.00    0.00    0.00    3.97
01:01:56 AM   11    3.33    0.00    1.00   94.67    0.00    0.33    0.00    0.00    0.00    0.67
01:01:56 AM   12    0.33    0.00    0.67    1.34    0.00    0.00    0.00    0.00    0.00   97.66
01:01:56 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:56 AM   14    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:01:56 AM   15    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:01:56 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:56 AM   17    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:01:56 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:56 AM   19    0.00    0.00    0.00   69.46    0.00    0.00    0.00    0.00    0.00   30.54
01:01:56 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:56 AM   21    0.33    0.00    0.67   99.00    0.00    0.00    0.00    0.00    0.00    0.00
01:01:56 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:56 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:01:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:01:59 AM  all    1.36    0.00    0.51   32.45    0.00    0.01    0.00    0.00    0.00   65.66
01:01:59 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:59 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:59 AM    2    0.33    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:01:59 AM    3    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
01:01:59 AM    4   15.20    0.00    2.70   71.96    0.00    0.68    0.00    0.00    0.00    9.46
01:01:59 AM    5    0.66    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00   98.67
01:01:59 AM    6    0.67    0.00    0.67   97.67    0.00    0.00    0.00    0.00    0.00    1.00
01:01:59 AM    7    1.00    0.00    1.34   92.64    0.00    0.00    0.00    0.00    0.00    5.02
01:01:59 AM    8    4.68    0.00    2.01   90.97    0.00    0.00    0.00    0.00    0.00    2.34
01:01:59 AM    9    0.67    0.00    0.34   98.99    0.00    0.00    0.00    0.00    0.00    0.00
01:01:59 AM   10    6.76    0.00    1.69   90.54    0.00    0.00    0.00    0.00    0.00    1.01
01:01:59 AM   11    0.34    0.00    0.67   98.65    0.00    0.00    0.00    0.00    0.00    0.34
01:01:59 AM   12    0.33    0.00    0.67    0.67    0.00    0.00    0.00    0.00    0.00   98.33
01:01:59 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:59 AM   14    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:01:59 AM   15    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:01:59 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:59 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:59 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:59 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:01:59 AM   20    0.00    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:01:59 AM   21    1.67    0.00    0.67   93.98    0.00    0.00    0.00    0.00    0.00    3.68
01:01:59 AM   22    0.00    0.00    0.00   44.48    0.00    0.00    0.00    0.00    0.00   55.52
01:01:59 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:01:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:02 AM  all    2.62    0.00    1.06   30.66    0.00    0.07    0.00    0.00    0.00   65.59
01:02:02 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:02 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:02 AM    2    0.00    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:02:02 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:02 AM    4   12.77    0.00    3.90   22.70    0.00    0.35    0.00    0.00    0.00   60.28
01:02:02 AM    5    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
01:02:02 AM    6    6.69    0.00    2.68   88.63    0.00    0.33    0.00    0.00    0.00    1.67
01:02:02 AM    7    9.63    0.00    2.66   85.71    0.00    0.66    0.00    0.00    0.00    1.33
01:02:02 AM    8    4.67    0.00    2.67   90.00    0.00    0.00    0.00    0.00    0.00    2.67
01:02:02 AM    9    2.35    0.00    1.34   96.31    0.00    0.00    0.00    0.00    0.00    0.00
01:02:02 AM   10    9.09    0.00    3.03   85.52    0.00    0.00    0.00    0.00    0.00    2.36
01:02:02 AM   11   15.00    0.00    5.67   71.00    0.00    0.00    0.00    0.00    0.00    8.33
01:02:02 AM   12    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:02:02 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:02 AM   14    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:02:02 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:02 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:02 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:02 AM   18    1.00    0.00    1.33   64.45    0.00    0.00    0.00    0.00    0.00   33.22
01:02:02 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:02 AM   20    1.00    0.00    1.00   54.33    0.00    0.00    0.00    0.00    0.00   43.67
01:02:02 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:02 AM   22    1.33    0.00    1.00   75.75    0.00    0.00    0.00    0.00    0.00   21.93
01:02:02 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:02:02 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:05 AM  all    1.36    0.00    0.70   38.46    0.00    0.01    0.00    0.00    0.00   59.47
01:02:05 AM    0    1.33    0.00    1.00   34.55    0.00    0.00    0.00    0.00    0.00   63.12
01:02:05 AM    1    0.33    0.00    0.00    7.36    0.00    0.00    0.00    0.00    0.00   92.31
01:02:05 AM    2    0.33    0.00    0.66    4.65    0.00    0.00    0.00    0.00    0.00   94.35
01:02:05 AM    3    1.66    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   97.67
01:02:05 AM    4    8.84    0.00    3.06   75.85    0.00    0.34    0.00    0.00    0.00   11.90
01:02:05 AM    5    1.67    0.00    1.00   49.50    0.00    0.00    0.00    0.00    0.00   47.83
01:02:05 AM    6    8.05    0.00    4.03   85.23    0.00    0.00    0.00    0.00    0.00    2.68
01:02:05 AM    7    0.33    0.00    0.67   98.67    0.00    0.00    0.00    0.00    0.00    0.33
01:02:05 AM    8    1.67    0.00    0.67   85.62    0.00    0.00    0.00    0.00    0.00   12.04
01:02:05 AM    9    1.00    0.00    1.67   94.33    0.00    0.00    0.00    0.00    0.00    3.00
01:02:05 AM   10    5.65    0.00    1.00   89.37    0.00    0.00    0.00    0.00    0.00    3.99
01:02:05 AM   11    1.00    0.00    0.67   97.99    0.00    0.00    0.00    0.00    0.00    0.33
01:02:05 AM   12    0.34    0.00    0.67    2.02    0.00    0.00    0.00    0.00    0.00   96.97
01:02:05 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:05 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:05 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:05 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:05 AM   17    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:02:05 AM   18    0.33    0.00    0.66   99.00    0.00    0.00    0.00    0.00    0.00    0.00
01:02:05 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:05 AM   20    0.00    0.00    0.33   99.67    0.00    0.00    0.00    0.00    0.00    0.00
01:02:05 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:05 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:05 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:02:05 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:08 AM  all    1.25    0.00    0.42   44.83    0.00    0.01    0.00    0.00    0.00   53.49
01:02:08 AM    0    1.64    0.00    2.30   75.66    0.00    0.00    0.00    0.00    0.00   20.39
01:02:08 AM    1    0.67    0.00    0.34   53.20    0.00    0.00    0.00    0.00    0.00   45.79
01:02:08 AM    2    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
