Linux 4.4.132-0404132-generic (pl2) 	2018-10-23 	_x86_64_	(24 CPU)

01:09:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:09:47 PM  all    0.17    0.00    1.68    4.81    0.00    0.01    0.00    0.00    0.00   93.32
01:09:47 PM    0    0.33    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.67
01:09:47 PM    1    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:09:47 PM    2    0.00    0.00   30.67    0.00    0.00    0.00    0.00    0.00    0.00   69.33
01:09:47 PM    3    0.00    0.00    0.33    6.64    0.00    0.00    0.00    0.00    0.00   93.02
01:09:47 PM    4    0.00    0.00    0.68    2.70    0.00    0.00    0.00    0.00    0.00   96.62
01:09:47 PM    5    0.00    0.00    0.00    2.68    0.00    0.00    0.00    0.00    0.00   97.32
01:09:47 PM    6    1.32    0.00    2.65    3.97    0.00    0.00    0.00    0.00    0.00   92.05
01:09:47 PM    7    0.00    0.00    0.33    5.35    0.00    0.00    0.00    0.00    0.00   94.31
01:09:47 PM    8    0.33    0.00    0.33   11.00    0.00    0.00    0.00    0.00    0.00   88.33
01:09:47 PM    9    0.33    0.00    0.33    4.33    0.00    0.00    0.00    0.00    0.00   95.00
01:09:47 PM   10    0.99    0.00    1.32    6.62    0.00    0.33    0.00    0.00    0.00   90.73
01:09:47 PM   11    0.68    0.00    2.70    7.43    0.00    0.00    0.00    0.00    0.00   89.19
01:09:47 PM   12    0.00    0.00    0.33   32.11    0.00    0.00    0.00    0.00    0.00   67.56
01:09:47 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:47 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:47 PM   15    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
01:09:47 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:47 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:47 PM   18    0.33    0.00    0.67    5.00    0.00    0.00    0.00    0.00    0.00   94.00
01:09:47 PM   19    0.00    0.00    0.00    7.97    0.00    0.00    0.00    0.00    0.00   92.03
01:09:47 PM   20    0.00    0.00    0.00    2.01    0.00    0.00    0.00    0.00    0.00   97.99
01:09:47 PM   21    0.00    0.00    0.00    1.33    0.00    0.33    0.00    0.00    0.00   98.33
01:09:47 PM   22    0.33    0.00    0.33   11.96    0.00    0.00    0.00    0.00    0.00   87.38
01:09:47 PM   23    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00

01:09:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:09:50 PM  all    1.31    0.00    0.71    6.79    0.00    0.01    0.00    0.00    0.00   91.17
01:09:50 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:50 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:50 PM    2    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:09:50 PM    3    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
01:09:50 PM    4    3.81    0.00    3.46    4.50    0.00    0.00    0.00    0.00    0.00   88.24
01:09:50 PM    5    0.00    0.00    1.00    7.69    0.00    0.00    0.00    0.00    0.00   91.30
01:09:50 PM    6    5.03    0.00    2.68    9.73    0.00    0.00    0.00    0.00    0.00   82.55
01:09:50 PM    7    3.34    0.00    1.67   36.12    0.00    0.00    0.00    0.00    0.00   58.86
01:09:50 PM    8    0.67    0.00    0.33   14.05    0.00    0.00    0.00    0.00    0.00   84.95
01:09:50 PM    9    5.63    0.00    2.32    9.93    0.00    0.33    0.00    0.00    0.00   81.79
01:09:50 PM   10    2.34    0.00    0.00    9.36    0.00    0.00    0.00    0.00    0.00   88.29
01:09:50 PM   11    7.67    0.00    2.33   14.67    0.00    0.00    0.00    0.00    0.00   75.33
01:09:50 PM   12    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:09:50 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:50 PM   14    0.00    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00   99.34
01:09:50 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:50 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:50 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:50 PM   18    0.33    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   98.34
01:09:50 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:50 PM   20    1.33    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   98.33
01:09:50 PM   21    1.34    0.00    1.68   55.70    0.00    0.00    0.00    0.00    0.00   41.28
01:09:50 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:50 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:09:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:09:53 PM  all    1.79    0.00    0.78    9.55    0.00    0.01    0.00    0.00    0.00   87.87
01:09:53 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:53 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:53 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:09:53 PM    3    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:09:53 PM    4   12.37    0.00    3.44   19.93    0.00    0.34    0.00    0.00    0.00   63.92
01:09:53 PM    5    6.60    0.00    1.98    2.97    0.00    0.00    0.00    0.00    0.00   88.45
01:09:53 PM    6    7.72    0.00    2.68   22.82    0.00    0.00    0.00    0.00    0.00   66.78
01:09:53 PM    7    2.33    0.00    0.67   11.67    0.00    0.00    0.00    0.00    0.00   85.33
01:09:53 PM    8    2.34    0.00    0.67    2.68    0.00    0.00    0.00    0.00    0.00   94.31
