Linux 4.4.132-0404132-generic (pl2) 	2018-10-18 	_x86_64_	(24 CPU)

02:45:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:45:47 PM  all    0.03    0.00    3.93    0.35    0.00    0.00    0.00    0.00    0.00   95.69
02:45:47 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:47 PM    1    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
02:45:47 PM    2    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
02:45:47 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:47 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:47 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:47 PM    6    0.00    0.00    0.00    5.33    0.00    0.00    0.00    0.00    0.00   94.67
02:45:47 PM    7    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
02:45:47 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:47 PM    9    0.00    0.00   93.33    0.00    0.00    0.00    0.00    0.00    0.00    6.67
02:45:47 PM   10    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
02:45:47 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:47 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:47 PM   13    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
02:45:47 PM   14    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
02:45:47 PM   15    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.33
02:45:47 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:47 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:47 PM   18    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
02:45:47 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:47 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:47 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:47 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:47 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:45:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:45:50 PM  all    0.01    0.00    0.47    0.95    0.00    0.00    0.00    0.00    0.00   98.57
02:45:50 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:50 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:50 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:50 PM    3    0.00    0.00    0.00    3.01    0.00    0.00    0.00    0.00    0.00   96.99
02:45:50 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:50 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:50 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:50 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:50 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:50 PM    9    0.33    0.00   10.03    3.68    0.00    0.00    0.00    0.00    0.00   85.95
02:45:50 PM   10    0.00    0.00    0.00    3.01    0.00    0.00    0.00    0.00    0.00   96.99
02:45:50 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:50 PM   12    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
02:45:50 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:50 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:50 PM   15    0.33    0.00    0.33    0.67    0.00    0.00    0.00    0.00    0.00   98.66
02:45:50 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:50 PM   17    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
02:45:50 PM   18    0.00    0.00    0.00    6.69    0.00    0.00    0.00    0.00    0.00   93.31
02:45:50 PM   19    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
02:45:50 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:50 PM   21    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
02:45:50 PM   22    0.00    0.00    0.33    3.00    0.00    0.00    0.00    0.00    0.00   96.67
02:45:50 PM   23    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33

02:45:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:45:53 PM  all    0.01    0.00    0.03    0.18    0.00    0.00    0.00    0.00    0.00   99.78
02:45:53 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM    3    0.00    0.00    0.00    2.33    0.00    0.00    0.00    0.00    0.00   97.67
02:45:53 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM   11    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
02:45:53 PM   12    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
02:45:53 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM   15    0.00    0.00    0.67    0.33    0.00    0.00    0.00    0.00    0.00   99.00
02:45:53 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM   20    0.00    0.00    0.00    1.33    0.00    0.00    0.00    0.00    0.00   98.67
02:45:53 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:53 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:45:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:45:56 PM  all    0.00    0.00    0.03    0.15    0.00    0.00    0.00    0.00    0.00   99.82
02:45:56 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM    2    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
02:45:56 PM    3    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
02:45:56 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM   15    0.33    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:45:56 PM   16    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
02:45:56 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM   19    0.00    0.00    0.00    2.01    0.00    0.00    0.00    0.00    0.00   97.99
02:45:56 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:56 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:45:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:45:59 PM  all    0.85    0.00    1.06    4.15    0.00    0.03    0.00    0.00    0.00   93.91
02:45:59 PM    0    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
02:45:59 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:59 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:59 PM    3    0.33    0.00    0.33    9.00    0.00    0.00    0.00    0.00    0.00   90.33
02:45:59 PM    4    0.00    0.00    0.35    2.80    0.00    0.00    0.00    0.00    0.00   96.85
02:45:59 PM    5    0.33    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00   99.00
02:45:59 PM    6    8.25    0.00    9.24   27.06    0.00    0.33    0.00    0.00    0.00   55.12
02:45:59 PM    7    2.66    0.00    5.32    9.97    0.00    0.00    0.00    0.00    0.00   82.06
02:45:59 PM    8    1.33    0.00    2.99    6.98    0.00    0.00    0.00    0.00    0.00   88.70
02:45:59 PM    9    1.36    0.00    1.36    7.80    0.00    0.00    0.00    0.00    0.00   89.49
02:45:59 PM   10    1.67    0.00    1.67    7.69    0.00    0.33    0.00    0.00    0.00   88.63
02:45:59 PM   11    4.04    0.00    2.69   10.44    0.00    0.34    0.00    0.00    0.00   82.49
02:45:59 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:59 PM   13    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
02:45:59 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:59 PM   15    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.33
02:45:59 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:59 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:59 PM   18    0.00    0.00    0.33    6.31    0.00    0.00    0.00    0.00    0.00   93.36
02:45:59 PM   19    0.00    0.00    0.00    2.67    0.00    0.00    0.00    0.00    0.00   97.33
02:45:59 PM   20    0.00    0.00    0.00    2.34    0.00    0.00    0.00    0.00    0.00   97.66
02:45:59 PM   21    0.00    0.00    0.33    3.64    0.00    0.33    0.00    0.00    0.00   95.70
02:45:59 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:45:59 PM   23    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00

02:45:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:46:02 PM  all    0.08    0.00    0.17    4.40    0.00    0.00    0.00    0.00    0.00   95.35
02:46:02 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM    1    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
02:46:02 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM    4    0.00    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   99.33
02:46:02 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM    6    1.34    0.00    2.01   96.64    0.00    0.00    0.00    0.00    0.00    0.00
02:46:02 PM    7    0.00    0.00    0.00    1.66    0.00    0.00    0.00    0.00    0.00   98.34
02:46:02 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM   10    0.00    0.00    0.33    0.66    0.00    0.00    0.00    0.00    0.00   99.00
02:46:02 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM   15    0.66    0.00    0.66    0.33    0.00    0.00    0.00    0.00    0.00   98.34
02:46:02 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM   18    0.00    0.00    0.33    6.67    0.00    0.00    0.00    0.00    0.00   93.00
02:46:02 PM   19    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
02:46:02 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:02 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:46:02 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:46:05 PM  all    0.14    0.00    0.11    3.99    0.00    0.00    0.00    0.00    0.00   95.76
02:46:05 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM    6    2.69    0.00    1.68   95.62    0.00    0.00    0.00    0.00    0.00    0.00
02:46:05 PM    7    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
02:46:05 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM   15    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
02:46:05 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM   18    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
02:46:05 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:46:05 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

