Linux 4.4.132-0404132-generic (pl2) 	2018-10-21 	_x86_64_	(24 CPU)

04:50:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:50:08 PM  all    0.11    0.00    6.71    1.47    0.00    0.00    0.00    0.00    0.00   91.71
04:50:08 PM    0    0.00    0.00    0.33    0.67    0.00    0.00    0.00    0.00    0.00   99.00
04:50:08 PM    1    0.00    0.00   89.30    0.00    0.00    0.00    0.00    0.00    0.00   10.70
04:50:08 PM    2    0.00    0.00    0.33    0.66    0.00    0.00    0.00    0.00    0.00   99.00
04:50:08 PM    3    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
04:50:08 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:08 PM    5    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
04:50:08 PM    6    0.00    0.00    0.33    4.67    0.00    0.00    0.00    0.00    0.00   95.00
04:50:08 PM    7    0.33    0.00   67.33    0.33    0.00    0.00    0.00    0.00    0.00   32.00
04:50:08 PM    8    0.00    0.00    0.00    2.34    0.00    0.00    0.00    0.00    0.00   97.66
04:50:08 PM    9    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
04:50:08 PM   10    0.33    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   99.00
04:50:08 PM   11    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
04:50:08 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:08 PM   13    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
04:50:08 PM   14    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
04:50:08 PM   15    0.33    0.00    0.00   11.63    0.00    0.00    0.00    0.00    0.00   88.04
04:50:08 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:08 PM   17    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
04:50:08 PM   18    0.00    0.00    0.00    3.67    0.00    0.00    0.00    0.00    0.00   96.33
04:50:08 PM   19    0.33    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00   94.67
04:50:08 PM   20    0.33    0.00    0.67    0.33    0.00    0.00    0.00    0.00    0.00   98.66
04:50:08 PM   21    0.00    0.00    0.33    1.67    0.00    0.00    0.00    0.00    0.00   97.99
04:50:08 PM   22    0.33    0.00    0.33    1.33    0.00    0.00    0.00    0.00    0.00   98.01
04:50:08 PM   23    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33

04:50:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:50:11 PM  all    0.40    0.00    2.91    6.60    0.00    0.06    0.00    0.00    0.00   90.04
04:50:11 PM    0    4.35    0.00    6.02   16.72    0.00    0.00    0.00    0.00    0.00   72.91
04:50:11 PM    1    0.33    0.00   27.67    3.67    0.00    0.00    0.00    0.00    0.00   68.33
04:50:11 PM    2    0.00    0.00    0.67    4.00    0.00    0.00    0.00    0.00    0.00   95.33
04:50:11 PM    3    0.34    0.00    0.00    3.02    0.00    0.00    0.00    0.00    0.00   96.64
04:50:11 PM    4    0.34    0.00    1.02    3.41    0.00    1.02    0.00    0.00    0.00   94.20
04:50:11 PM    5    0.00    0.00    0.34   26.94    0.00    0.00    0.00    0.00    0.00   72.73
04:50:11 PM    6    0.00    0.00    0.00    2.34    0.00    0.00    0.00    0.00    0.00   97.66
04:50:11 PM    7    0.00    0.00   27.91    0.66    0.00    0.00    0.00    0.00    0.00   71.43
04:50:11 PM    8    0.33    0.00    0.33    1.00    0.00    0.00    0.00    0.00    0.00   98.34
04:50:11 PM    9    0.66    0.00    1.00   24.58    0.00    0.00    0.00    0.00    0.00   73.75
04:50:11 PM   10    0.33    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   91.67
04:50:11 PM   11    1.69    0.00    2.03   24.07    0.00    0.00    0.00    0.00    0.00   72.20
04:50:11 PM   12    0.33    0.00    0.00    2.99    0.00    0.00    0.00    0.00    0.00   96.68
04:50:11 PM   13    0.00    0.00    0.00    1.67    0.00    0.00    0.00    0.00    0.00   98.33
04:50:11 PM   14    0.33    0.00    0.33    2.66    0.00    0.00    0.00    0.00    0.00   96.68
04:50:11 PM   15    0.00    0.00    0.67   11.71    0.00    0.00    0.00    0.00    0.00   87.63
04:50:11 PM   16    0.00    0.00    0.00    4.33    0.00    0.00    0.00    0.00    0.00   95.67
04:50:11 PM   17    0.00    0.00    0.33    2.66    0.00    0.00    0.00    0.00    0.00   97.01
04:50:11 PM   18    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
04:50:11 PM   19    0.00    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   99.34
04:50:11 PM   20    0.00    0.00    1.00   11.37    0.00    0.00    0.00    0.00    0.00   87.63
04:50:11 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:11 PM   22    0.00    0.00    0.33    2.99    0.00    0.00    0.00    0.00    0.00   96.68
04:50:11 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:50:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:50:14 PM  all    0.65    0.00    0.70    7.56    0.00    0.00    0.00    0.00    0.00   91.09
04:50:14 PM    0    0.00    0.00    0.00   12.71    0.00    0.00    0.00    0.00    0.00   87.29
04:50:14 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:14 PM    2    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
04:50:14 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:14 PM    4    3.07    0.00    4.44   53.24    0.00    0.00    0.00    0.00    0.00   39.25
04:50:14 PM    5    0.00    0.00    1.00    8.67    0.00    0.00    0.00    0.00    0.00   90.33
04:50:14 PM    6    1.00    0.00    0.33   19.33    0.00    0.00    0.00    0.00    0.00   79.33
04:50:14 PM    7    2.67    0.00    3.67   31.67    0.00    0.00    0.00    0.00    0.00   62.00
04:50:14 PM    8    2.01    0.00    0.33    1.67    0.00    0.00    0.00    0.00    0.00   95.99
04:50:14 PM    9    1.67    0.00    1.00    4.67    0.00    0.00    0.00    0.00    0.00   92.67
04:50:14 PM   10    1.00    0.00    0.33    4.33    0.00    0.00    0.00    0.00    0.00   94.33
04:50:14 PM   11    2.66    0.00    3.99   34.88    0.00    0.00    0.00    0.00    0.00   58.47
04:50:14 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:14 PM   13    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
04:50:14 PM   14    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
04:50:14 PM   15    0.00    0.00    0.33    2.99    0.00    0.00    0.00    0.00    0.00   96.68
04:50:14 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:14 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:14 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:14 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:14 PM   20    1.33    0.00    0.67    8.33    0.00    0.00    0.00    0.00    0.00   89.67
04:50:14 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:14 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:14 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:50:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:50:17 PM  all    0.99    0.00    0.82   14.69    0.00    0.01    0.00    0.00    0.00   83.49
04:50:17 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:17 PM    1    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
04:50:17 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:17 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:17 PM    4    2.40    0.00    2.05   20.89    0.00    0.00    0.00    0.00    0.00   74.66
04:50:17 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:50:17 PM    6    2.33    0.00    1.33   59.33    0.00    0.00    0.00    0.00    0.00   37.00
04:50:17 PM    7    5.32    0.00    3.65   54.82    0.00    0.00    0.00    0.00    0.00   36.21
04:50:17 PM    8    2.35    0.00    2.01   30.87    0.00    0.00    0.00    0.00    0.00   64.77
