procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 2  0       900152     17799892        36608     43736132    0    0   428   306    2    0   0   0  99   1   0 2018-09-25 12:17:16
 1  0       900152     26130408          544     35428748    0    0   248   752 1807 2816   3   2  93   2   0 2018-09-25 12:17:19
 1  0       900152     51684000          796      9878920    0    0    92     0 1674 2866   0   4  95   0   0 2018-09-25 12:17:22
 0  3       900152     61226936         2836       352716    0    0  3176    17 1900 2828   1   2  94   3   0 2018-09-25 12:17:25
 0  1       900152     61155928         5532       383732    0    0 10919     1 2750 4630   2   1  93   4   0 2018-09-25 12:17:28
 2  1       900152     60960736         7520       392812    0    0  3713    66 3267 15600   8   1  89   2   0 2018-09-25 12:17:31
 4  0       900152     60852728        10384       401388    0    0  4049     0 8149 7675   4   0  91   4   0 2018-09-25 12:17:34
 7  0       900152     60669016        11368       410496    0    0  3205    55 13502 9199  12   1  86   2   0 2018-09-25 12:17:37
 1  0       900152     60586052        11748       423732    0    0  4507   103 21591 16884  16   1  82   2   0 2018-09-25 12:17:40
 3  0       900152     61128852        14520       440284    0    0  4413  1995 8761 9878   8   1  89   2   0 2018-09-25 12:17:43
 3 16       900152     59530892        14664      1263240    0    0 271645    93 20555 29035   4   2  69  25   0 2018-09-25 12:17:46
 0 18       900152     58552860        14664      2216200    0    0 304945     8 45012 53960   6   3  38  53   0 2018-09-25 12:17:49
 1 18       900152     57285340        14672      3160852    0    0 304424     9 51916 53903   6   3  50  41   0 2018-09-25 12:17:52
 2 17       900152     56157388        14672      4108404    0    0 306776   161 50578 54507   6   3  46  45   0 2018-09-25 12:17:55
 2 17       900152     55042360        14680      5041432    0    0 303764    32 211713 54137   8   5  34  53   0 2018-09-25 12:17:58
 2 18       900152     54111208        14680      5974936    0    0 305000    62 74164 54527   6   4  37  53   0 2018-09-25 12:18:01
 4 16       900152     53175240        14700      6910336    0    0 306467   181 51901 55144   6   3  41  49   0 2018-09-25 12:18:04
