Linux 4.4.132-0404132-generic (pl2) 	2018-09-25 	_x86_64_	(24 CPU)

11:38:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:38:15 AM  all    2.53    0.00    2.11    1.15    0.00    0.01    0.00    0.00    0.00   94.19
11:38:15 AM    0    0.33    0.00   30.00    7.33    0.00    0.00    0.00    0.00    0.00   62.33
11:38:15 AM    1    1.99    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.67
11:38:15 AM    2    1.00    0.00    0.33    0.00    0.00    0.33    0.00    0.00    0.00   98.34
11:38:15 AM    3    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:38:15 AM    4    0.00    0.00    0.00    7.67    0.00    0.00    0.00    0.00    0.00   92.33
11:38:15 AM    5    7.97    0.00    5.32    1.33    0.00    0.00    0.00    0.00    0.00   85.38
11:38:15 AM    6    8.72    0.00    6.38    6.71    0.00    0.00    0.00    0.00    0.00   78.19
11:38:15 AM    7    0.67    0.00    0.67    0.00    0.00    0.33    0.00    0.00    0.00   98.33
11:38:15 AM    8    4.00    0.00    1.00    0.67    0.00    0.00    0.00    0.00    0.00   94.33
11:38:15 AM    9    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
11:38:15 AM   10   23.92    0.00    1.99    0.00    0.00    0.00    0.00    0.00    0.00   74.09
11:38:15 AM   11    2.68    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   96.99
11:38:15 AM   12    4.32    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   94.68
11:38:15 AM   13    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:38:15 AM   14    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:38:15 AM   15    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:38:15 AM   16    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:38:15 AM   17    0.33    0.00    0.33    2.34    0.00    0.00    0.00    0.00    0.00   96.99
11:38:15 AM   18    3.32    0.00    1.00    0.33    0.00    0.00    0.00    0.00    0.00   95.35
11:38:15 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:38:15 AM   20    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:38:15 AM   21    0.00    0.00    0.33    0.67    0.00    0.00    0.00    0.00    0.00   99.00
11:38:15 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:38:15 AM   23    0.33    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.00

11:38:15 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:38:18 AM  all    0.33    0.00    4.30    0.24    0.00    0.00    0.00    0.00    0.00   95.13
11:38:18 AM    0    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:38:18 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:38:18 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:38:18 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:38:18 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:38:18 AM    5    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:38:18 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
