Linux 4.4.132-0404132-generic (pl2) 	2018-09-25 	_x86_64_	(24 CPU)

05:13:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:13:49 PM  all    2.79    0.00    2.82    1.71    0.00    0.01    0.00    0.00    0.00   92.66
05:13:49 PM    0    2.66    0.00    0.66    0.00    0.00    0.33    0.00    0.00    0.00   96.35
05:13:49 PM    1    0.00    0.00    0.67    1.34    0.00    0.00    0.00    0.00    0.00   97.99
05:13:49 PM    2    2.68    0.00    2.01    4.68    0.00    0.00    0.00    0.00    0.00   90.64
05:13:49 PM    3    0.00    0.00    0.34    1.01    0.00    0.00    0.00    0.00    0.00   98.65
05:13:49 PM    4    6.95    0.00    1.32    0.33    0.00    0.00    0.00    0.00    0.00   91.39
05:13:49 PM    5    5.02    0.00    2.34    6.02    0.00    0.00    0.00    0.00    0.00   86.62
05:13:49 PM    6    0.00    0.00    0.00   11.04    0.00    0.00    0.00    0.00    0.00   88.96
05:13:49 PM    7    1.66    0.00    1.33    1.00    0.00    0.00    0.00    0.00    0.00   96.01
05:13:49 PM    8    0.34    0.00    0.00    0.34    0.00    0.00    0.00    0.00    0.00   99.33
05:13:49 PM    9    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
05:13:49 PM   10    0.00    0.00   41.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
05:13:49 PM   11    5.02    0.00    1.00    1.67    0.00    0.00    0.00    0.00    0.00   92.31
05:13:49 PM   12    0.00    0.00    0.33    8.03    0.00    0.00    0.00    0.00    0.00   91.64
05:13:49 PM   13    0.33    0.00    0.33    1.00    0.00    0.00    0.00    0.00    0.00   98.33
05:13:49 PM   14   14.72    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   84.62
05:13:49 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:49 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:49 PM   17   17.67    0.00   11.67    3.67    0.00    0.00    0.00    0.00    0.00   67.00
05:13:49 PM   18    3.01    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   96.66
05:13:49 PM   19    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
05:13:49 PM   20    1.34    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.66
05:13:49 PM   21    0.67    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.33
05:13:49 PM   22    2.68    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   96.66
05:13:49 PM   23    0.67    0.00    0.67    0.67    0.00    0.00    0.00    0.00    0.00   98.00

05:13:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:13:52 PM  all    0.48    0.00    4.34    0.46    0.00    0.00    0.00    0.00    0.00   94.72
05:13:52 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:52 PM    1    0.33    0.00    0.66    2.33    0.00    0.33    0.00    0.00    0.00   96.35
05:13:52 PM    2    0.99    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   98.34
05:13:52 PM    3    1.97    0.00    0.33    0.66    0.00    0.00    0.00    0.00    0.00   97.04
05:13:52 PM    4    5.77    0.00    1.28    0.00    0.00    0.00    0.00    0.00    0.00   92.95
05:13:52 PM    5    1.66    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.01
05:13:52 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:52 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:52 PM    8    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
05:13:52 PM    9    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
05:13:52 PM   10    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:13:52 PM   11    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
05:13:52 PM   12    0.00    0.00    0.00    3.67    0.00    0.00    0.00    0.00    0.00   96.33
05:13:52 PM   13    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
05:13:52 PM   14    0.00    0.00    0.67    1.33    0.00    0.00    0.00    0.00    0.00   98.00
05:13:52 PM   15    0.33    0.00    0.33    1.66    0.00    0.00    0.00    0.00    0.00   97.67
05:13:52 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:52 PM   17    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
05:13:52 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:52 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:52 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:52 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:52 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:52 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:13:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:13:55 PM  all    0.68    0.00    1.61    4.93    0.00    0.03    0.00    0.00    0.00   92.75
05:13:55 PM    0    0.00    0.00    0.33    0.67    0.00    0.00    0.00    0.00    0.00   99.00
05:13:55 PM    1    0.33    0.00    0.00    2.67    0.00    0.00    0.00    0.00    0.00   97.00
05:13:55 PM    2    0.33    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.67
05:13:55 PM    3    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
05:13:55 PM    4    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
05:13:55 PM    5    4.25    0.00    0.98    0.98    0.00    0.00    0.00    0.00    0.00   93.79
05:13:55 PM    6    0.00    0.00    0.33    5.32    0.00    0.00    0.00    0.00    0.00   94.35
05:13:55 PM    7    0.00    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   96.00
05:13:55 PM    8    5.69    0.00    4.35   37.12    0.00    0.67    0.00    0.00    0.00   52.17
05:13:55 PM    9    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
05:13:55 PM   10    0.33    0.00   29.67    3.67    0.00    0.00    0.00    0.00    0.00   66.33
05:13:55 PM   11    0.00    0.00    0.33   12.71    0.00    0.00    0.00    0.00    0.00   86.96
05:13:55 PM   12    1.67    0.00    0.67    1.00    0.00    0.00    0.00    0.00    0.00   96.67
05:13:55 PM   13    0.00    0.00    0.00    7.05    0.00    0.00    0.00    0.00    0.00   92.95
05:13:55 PM   14    0.33    0.00    0.33    2.99    0.00    0.00    0.00    0.00    0.00   96.35
05:13:55 PM   15    0.00    0.00    0.00    3.01    0.00    0.00    0.00    0.00    0.00   96.99
05:13:55 PM   16    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
05:13:55 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:55 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:55 PM   19    0.00    0.00    0.00    5.69    0.00    0.00    0.00    0.00    0.00   94.31
05:13:55 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:55 PM   21    0.00    0.00    0.00   11.33    0.00    0.00    0.00    0.00    0.00   88.67
05:13:55 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:55 PM   23    2.65    0.00    0.99   19.87    0.00    0.33    0.00    0.00    0.00   76.16

05:13:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:13:58 PM  all    1.97    0.00    0.93    3.46    0.00    0.03    0.00    0.00    0.00   93.61
05:13:58 PM    0   16.00    0.00    9.67    0.00    0.00    0.00    0.00    0.00    0.00   74.33
