procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 2  0       883400      2668188       209316     58627576    0    0   429   354    1    2   0   0  99   1   0 2018-09-23 21:52:42
 0  0       883400      2683716       209320     58627684    0    0    49   267 2334 3619   2   1  96   1   0 2018-09-23 21:52:45
 0  0       883400      2675156       209320     58627696    0    0     0   133 1564 2643   0   0 100   0   0 2018-09-23 21:52:48
 0  0       883400      2676572       209320     58628020    0    0     0   324 1097 2179   0   0  99   1   0 2018-09-23 21:52:51
 9  0       883400      2488920       209320     58629560    0    0     1    23 3010 13993   8   1  91   0   0 2018-09-23 21:52:54
 5  0       883400      2188868       209532     58638264    0    0  2679    79 25843 11381  16   1  81   2   0 2018-09-23 21:52:57
 3  1       883400      2072668       209532     58645884    0    0  2545   113 12539 16521  20   1  78   2   0 2018-09-23 21:53:00
 0  0       883400      2114928       209640     58658584    0    0   356  2141 11801 17391   9   2  89   0   0 2018-09-23 21:53:03
 6 23       884556      1071724       209468     59137852    0  385 249331   537 45142 77169  18  11  26  45   0 2018-09-23 21:53:06
 6 23       885264       521292       209324     59678084    0  236 260755   296 82468 73088  17  11  15  58   0 2018-09-23 21:53:09
 6 24       885268       278288       209272     59922144    0    1 254733     9 173905 71792  18  12  28  42   0 2018-09-23 21:53:12
 8 24       885272       259516       208952     59323724    0    1 262147  5455 40980 72823  16  12  29  43   0 2018-09-23 21:53:15
 5 24       885272       267708       208872     59307208    0    0 261399  3343 100276 72317  17  12  33  38   0 2018-09-23 21:53:18
 5 25       885272       255780       208780     59308772    0    0 259829 15793 36774 72044  16  11  33  40   0 2018-09-23 21:53:21
 9 20       885272       271272       203148     59291224    0    0 162239    24 33113 45992   9   8  39  44   0 2018-09-23 21:53:24
 7 22       885272       264672       203092     59295948    0    0 261653    19 44581 72181  16  12  36  36   0 2018-09-23 21:53:27
 8 22       885272       260452       203012     59300320    0    0 258113     0 41204 71476  17  11  37  35   0 2018-09-23 21:53:30
10 19       885272       276504       202836     58982816    0    0 258336    16 47521 71586  17  12  36  35   0 2018-09-23 21:53:33
 8 21       885272       266400       202740     58972756    0    0 261641     0 38033 71862  16  11  37  36   0 2018-09-23 21:53:36
 5 24       885272       280104       202524     58655612    0    0 262167    15 36828 72994  15  11  28  46   0 2018-09-23 21:53:39
 5 24       885272       257448       202412     58678192    0    0 262457 13719 38489 72117  16  11  32  41   0 2018-09-23 21:53:42
 5 24       885272       271848       202308     58665588    0    0 260035     0 108274 71588  17  12  32  39   0 2018-09-23 21:53:45
 4 26       885272       256068       202220     58684536    0    0 259289 25245 37915 71418  16  11  36  36   0 2018-09-23 21:53:48
12 18       885292       277112       201988     58663268    0    7 261265     7 74859 72124  16  11  29  44   0 2018-09-23 21:53:51
 1 28       885296       257048       201860     58681396    0    1 162112    33 96226 45533  10   9  42  38   0 2018-09-23 21:53:54
11 18       885300       264040       201704     58676352    0    1 165644    11 27505 46778  10   8  42  40   0 2018-09-23 21:53:57
 7 22       885308       279772       201496     58655740    0    3 257659     3 105957 70849  17  12  36  35   0 2018-09-23 21:54:00
 7 22       885340       269364       201264     58624992    0   11 260155    19 38034 71724  16  11  33  40   0 2018-09-23 21:54:03
 7 22       885340       263692       200972     58413256    0    0 258233     0 57864 71739  16  11  27  45   0 2018-09-23 21:54:06
14 17       885340       263476       200760     58360368    0    0 258993  5957 91676 71356  17  12  37  34   0 2018-09-23 21:54:09
 4 28       885340       258232       200556     58360028    0    0 259627  6072 102444 71167  17  13  36  34   0 2018-09-23 21:54:12
 9 21       885340       251604       200256     57956464    0    0 257272 20399 35465 71670  16  12  35  38   0 2018-09-23 21:54:15
 3 26       885340       262000       196436     57942212    0    0 261909    31 113251 71539  16  13  36  35   0 2018-09-23 21:54:18
 6 23       885340       273988       196200     57929624    0    0 262349     0 33953 71863  15  11  34  41   0 2018-09-23 21:54:21
 2  0       885340      2896504       196052     57885284    0    0 176428    33 63403 50020  11  10  56  22   0 2018-09-23 21:54:24
 2  0       885340      3420548       196608     57890544    0    0  4967    60 4113 3245   2   5  89   4   0 2018-09-23 21:54:27
 3  0       885340      3417984       196864     57895836    0    0  1245     7 4979 4300   4   6  90   0   0 2018-09-23 21:54:30
 1  1       885340      3366992       197136     57907832    0    0  4599  7491 4695 5177   3   6  89   2   0 2018-09-23 21:54:33
 4  0       885340      3130688       198012     57914300    0    0  2435     0 2975 17261  10   5  84   1   0 2018-09-23 21:54:36
 4  0       885340      2922056       198668     57918148    0    0  1311  9685 4937 8488   9   5  84   2   0 2018-09-23 21:54:39
 1  1       885340      2846004       198924     57927264    0    0  3284   111 18032 16254  19   5  75   1   0 2018-09-23 21:54:42
 2  0       885340      3342188       200324     57934988    0    0  2188  2040 10770 12056  11   5  83   1   0 2018-09-23 21:54:45
19 14       885340      1937760       200328     58503892    0    0 184627    86 39589 64699  14  10  46  31   0 2018-09-23 21:54:48
20 13       885340      1380292       200180     59047832    0    0 258757     0 66612 73611  16  11  17  56   0 2018-09-23 21:54:51
 9 20       885340       749624       200128     59680580    0    0 238263    49 147631 67808  16  11  26  47   0 2018-09-23 21:54:54
 5 24       885340       280284       199920     59791572    0    0 246285     9 43472 70454  17  11  34  38   0 2018-09-23 21:54:57
 3 26       885340       276924       199580     59479704    0    0 260541   348 51007 72524  16  12  32  39   0 2018-09-23 21:55:00
 3 26       885340       264408       199296     59286252    0    0 261523    36 40618 72565  16  11  32  41   0 2018-09-23 21:55:03
 6 23       885340       258348       199080     59289760    0    0 261336 27967 45831 72551  16  11  32  41   0 2018-09-23 21:55:06
 7 22       885340       277072       198868     59267944    0    0 261109    45 53217 72095  17  12  35  36   0 2018-09-23 21:55:09
 6 23       885340       264788       198672     59285760    0    0 254643    11 37524 70872  17  11  36  37   0 2018-09-23 21:55:12
12 19       885340       254680       196360     59056356    0    0 236483     0 37584 66276  15  10  30  45   0 2018-09-23 21:55:15
 3 26       885340       263584       196024     58824336    0    0 261435     9 56167 72786  16  11  21  52   0 2018-09-23 21:55:18
 9 20       885340       274772       195816     58821220    0    0 261209     9 111369 71840  17  12  36  35   0 2018-09-23 21:55:21
