Linux 4.4.132-0404132-generic (pl2) 	2018-10-23 	_x86_64_	(24 CPU)

05:31:06 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:31:09 PM  all    3.87    0.00    1.17    0.36    0.00    0.00    0.00    0.00    0.00   94.61
05:31:09 PM    0    0.66    0.00    0.33    0.00    0.00    0.33    0.00    0.00    0.00   98.67
05:31:09 PM    1    0.33    0.00    0.67    0.00    0.00    0.33    0.00    0.00    0.00   98.66
05:31:09 PM    2   11.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   81.00
05:31:09 PM    3    4.65    0.00    1.00    5.65    0.00    0.00    0.00    0.00    0.00   88.70
05:31:09 PM    4    1.33    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   97.34
05:31:09 PM    5    1.33    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   97.33
05:31:09 PM    6    2.68    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   95.99
05:31:09 PM    7   43.29    0.00    2.68    1.01    0.00    0.00    0.00    0.00    0.00   53.02
05:31:09 PM    8    0.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.33
05:31:09 PM    9    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.67
05:31:09 PM   10    3.67    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   94.67
05:31:09 PM   11    2.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.99
05:31:09 PM   12    2.33    0.00    1.67    0.67    0.00    0.00    0.00    0.00    0.00   95.33
05:31:09 PM   13    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
05:31:09 PM   14    2.68    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   96.98
05:31:09 PM   15    3.36    0.00    0.67    1.34    0.00    0.00    0.00    0.00    0.00   94.63
05:31:09 PM   16    1.33    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   98.01
05:31:09 PM   17    1.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.67
05:31:09 PM   18    1.34    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.33
05:31:09 PM   19    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
05:31:09 PM   20    3.01    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.99
05:31:09 PM   21    2.34    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   96.99
05:31:09 PM   22    1.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.33
05:31:09 PM   23    0.66    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   98.01

05:31:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:31:12 PM  all    1.16    0.00    2.19    0.44    0.00    0.03    0.00    0.00    0.00   96.17
05:31:12 PM    0    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
05:31:12 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
