procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PST
 1  0       997432     32038144        51136     33076004    0    0   428  1492    0    1   1   0  92   7   0 2018-11-13 22:52:26
 0  0       997432     32024124        52224     33077368    0    0  2293   376 2434 3524   3   1  94   1   0 2018-11-13 22:52:29
 0  1       997432     32025396        52260     33076776    0    0 26005    35 6500 7547   1   2  94   2   0 2018-11-13 22:52:32
 0  0       997432     32021172        52296     33076748    0    0 26749    28 6505 7567   1   2  95   2   0 2018-11-13 22:52:35
 0  1       997432     32020432        52588     33077252    0    0 15765   468 5133 6330   0   1  95   3   0 2018-11-13 22:52:38
 0  1       997432     32017796        52752     33077092    0    0 18673   323 5496 6622   0   2  95   3   0 2018-11-13 22:52:41
 1  0       997432     32020416        52800     33077004    0    0 24476    44 6384 7296   0   2  95   2   0 2018-11-13 22:52:44
 2  0       997432     32017884        52860     33076640    0    0 25764   117 6504 7354   1   2  95   3   0 2018-11-13 22:52:47
 0  0       997432     32016240        52900     33076368    0    0 26388    29 6542 7470   1   2  95   2   0 2018-11-13 22:52:50
 0  0       997432     32019404        52932     33077068    0    0 26759    36 6548 7562   1   2  95   2   0 2018-11-13 22:52:53
 0  1       997432     32020184        52976     33076888    0    0 25653    44 6356 7424   0   2  95   2   0 2018-11-13 22:52:56
 0  1       997432     32020396        53072     33077308    0    0 25112   148 6336 7782   0   2  95   2   0 2018-11-13 22:52:59
 0  1       997432     32018756        53108     33077296    0    0 25931    39 6409 7337   1   2  95   2   0 2018-11-13 22:53:02
 0  1       997432     32020724        52108     33077560    0    0 25828    37 6528 7366   0   2  95   2   0 2018-11-13 22:53:05
 2  0       997432     32019616        53184     33078300    0    0 26836    29 6666 7679   1   2  95   2   0 2018-11-13 22:53:08
 1  1       997432     32020608        53532     33076916    0    0 13047   568 4647 5894   0   1  95   3   0 2018-11-13 22:53:11
 0  1       997432     32020300        53672     33077288    0    0 20644   257 5759 6919   1   2  95   2   0 2018-11-13 22:53:14
