Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    316055               73.161%           45.189%
256           R    143657               53.722%           20.540%
8             W    51757                11.981%            7.400%
512           R    51202                19.148%            7.321%
1016          W    43194                 9.999%            6.176%
264           W    3889                  0.900%            0.556%
32            R    3041                  1.137%            0.435%
16            R    2918                  1.091%            0.417%
24            R    2316                  0.866%            0.331%
8             R    2276                  0.851%            0.325%
64            R    2219                  0.830%            0.317%
192           R    2102                  0.786%            0.301%
240           R    2030                  0.759%            0.290%
248           R    1961                  0.733%            0.280%
40            R    1954                  0.731%            0.279%
128           R    1928                  0.721%            0.276%
48            R    1885                  0.705%            0.270%
56            R    1863                  0.697%            0.266%
200           R    1851                  0.692%            0.265%
232           R    1831                  0.685%            0.262%
152           R    1824                  0.682%            0.261%
208           R    1787                  0.668%            0.256%
160           R    1756                  0.657%            0.251%
176           R    1749                  0.654%            0.250%
168           R    1713                  0.641%            0.245%
184           R    1705                  0.638%            0.244%
224           R    1647                  0.616%            0.235%
216           R    1579                  0.590%            0.226%
96            R    1555                  0.582%            0.222%
88            R    1550                  0.580%            0.222%
104           R    1525                  0.570%            0.218%
80            R    1520                  0.568%            0.217%
72            R    1489                  0.557%            0.213%
136           R    1488                  0.556%            0.213%
144           R    1470                  0.550%            0.210%
112           R    1464                  0.547%            0.209%
120           R    1429                  0.534%            0.204%
488           R    1054                  0.394%            0.151%
496           R    991                   0.371%            0.142%
480           R    956                   0.358%            0.137%
472           R    796                   0.298%            0.114%
120           W    786                   0.182%            0.112%
112           W    762                   0.176%            0.109%
448           R    681                   0.255%            0.097%
464           R    680                   0.254%            0.097%
456           R    669                   0.250%            0.096%
304           R    655                   0.245%            0.094%
312           R    578                   0.216%            0.083%
296           R    565                   0.211%            0.081%
344           R    547                   0.205%            0.078%
336           R    522                   0.195%            0.075%
104           W    519                   0.120%            0.074%
320           R    514                   0.192%            0.073%
328           R    503                   0.188%            0.072%
272           R    490                   0.183%            0.070%
128           W    482                   0.112%            0.069%
88            W    470                   0.109%            0.067%
32            W    444                   0.103%            0.063%
352           R    428                   0.160%            0.061%
384           R    414                   0.155%            0.059%
280           R    409                   0.153%            0.058%
264           R    405                   0.151%            0.058%
288           R    398                   0.149%            0.057%
408           W    384                   0.089%            0.055%
520           W    362                   0.084%            0.052%
48            W    360                   0.083%            0.051%
16            W    359                   0.083%            0.051%
96            W    357                   0.083%            0.051%
416           W    351                   0.081%            0.050%
528           W    338                   0.078%            0.048%
80            W    307                   0.071%            0.044%
64            W    306                   0.071%            0.044%
424           R    298                   0.111%            0.043%
408           R    298                   0.111%            0.043%
