Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    2441642              51.626%           47.126%
16            R    942310               19.924%           18.188%
8             R    486893               10.295%            9.398%
1024          W    327455               72.521%            6.320%
40            R    121590                2.571%            2.347%
32            R    85974                 1.818%            1.659%
56            R    85911                 1.816%            1.658%
8             W    65874                14.589%            1.271%
72            R    65015                 1.375%            1.255%
88            R    50314                 1.064%            0.971%
1016          W    49194                10.895%            0.949%
104           R    39962                 0.845%            0.771%
256           R    34565                 0.731%            0.667%
120           R    32566                 0.689%            0.629%
48            R    29643                 0.627%            0.572%
64            R    25698                 0.543%            0.496%
136           R    25625                 0.542%            0.495%
80            R    20218                 0.427%            0.390%
152           R    20172                 0.427%            0.389%
96            R    16849                 0.356%            0.325%
168           R    16313                 0.345%            0.315%
112           R    14943                 0.316%            0.288%
512           R    14833                 0.314%            0.286%
184           R    13294                 0.281%            0.257%
128           R    13218                 0.279%            0.255%
200           R    10733                 0.227%            0.207%
144           R    10646                 0.225%            0.205%
192           R    9755                  0.206%            0.188%
216           R    9530                  0.202%            0.184%
160           R    9346                  0.198%            0.180%
232           R    7943                  0.168%            0.153%
176           R    7827                  0.165%            0.151%
248           R    6499                  0.137%            0.125%
208           R    5864                  0.124%            0.113%
240           R    5430                  0.115%            0.105%
224           R    5384                  0.114%            0.104%
264           R    3693                  0.078%            0.071%
280           R    3089                  0.065%            0.060%
296           R    2642                  0.056%            0.051%
272           R    2480                  0.052%            0.048%
312           R    2371                  0.050%            0.046%
288           R    2130                  0.045%            0.041%
328           R    1948                  0.041%            0.038%
304           R    1821                  0.039%            0.035%
344           R    1720                  0.036%            0.033%
360           R    1560                  0.033%            0.030%
320           R    1556                  0.033%            0.030%
336           R    1469                  0.031%            0.028%
352           R    1372                  0.029%            0.026%
376           R    1324                  0.028%            0.026%
368           R    1234                  0.026%            0.024%
384           R    1232                  0.026%            0.024%
392           R    1211                  0.026%            0.023%
408           R    1083                  0.023%            0.021%
400           R    992                   0.021%            0.019%
424           R    944                   0.020%            0.018%
416           R    875                   0.019%            0.017%
448           R    826                   0.017%            0.016%
432           R    807                   0.017%            0.016%
440           R    776                   0.016%            0.015%
456           R    770                   0.016%            0.015%
464           R    695                   0.015%            0.013%
480           R    693                   0.015%            0.013%
408           W    688                   0.152%            0.013%
416           W    667                   0.148%            0.013%
472           R    629                   0.013%            0.012%
488           R    407                   0.009%            0.008%
496           R    392                   0.008%            0.008%
64            W    320                   0.071%            0.006%
16            W    278                   0.062%            0.005%
504           R    269                   0.006%            0.005%
32            W    260                   0.058%            0.005%
264           W    209                   0.046%            0.004%
3             W    208                   0.046%            0.004%
30            W    183                   0.041%            0.004%
28            W    174                   0.039%            0.003%
31            W    171                   0.038%            0.003%
13            W    169                   0.037%            0.003%
29            W    157                   0.035%            0.003%
26            W    151                   0.033%            0.003%
27            W    149                   0.033%            0.003%
744           W    126                   0.028%            0.002%
400           W    122                   0.027%            0.002%
96            W    121                   0.027%            0.002%
112           W    117                   0.026%            0.002%
120           W    116                   0.026%            0.002%
24            W    115                   0.025%            0.002%
25            W    113                   0.025%            0.002%
920           W    112                   0.025%            0.002%
896           W    111                   0.025%            0.002%
952           W    103                   0.023%            0.002%
888           W    102                   0.023%            0.002%
14            W    101                   0.022%            0.002%
33            W    100                   0.022%            0.002%
904           W    98                    0.022%            0.002%
1             W    98                    0.022%            0.002%
4             W    97                    0.021%            0.002%
23            W    95                    0.021%            0.002%
136           W    89                    0.020%            0.002%
736           W    86                    0.019%            0.002%
424           W    82                    0.018%            0.002%
22            W    80                    0.018%            0.002%
34            W    75                    0.017%            0.001%
784           W    70                    0.016%            0.001%
15            W    69                    0.015%            0.001%
36            W    67                    0.015%            0.001%
768           W    66                    0.015%            0.001%
9             W    64                    0.014%            0.001%
40            W    64                    0.014%            0.001%
21            W    61                    0.014%            0.001%
35            W    59                    0.013%            0.001%
128           W    53                    0.012%            0.001%
37            W    52                    0.012%            0.001%
48            W    51                    0.011%            0.001%
7             W    49                    0.011%            0.001%
38            W    49                    0.011%            0.001%
6             W    48                    0.011%            0.001%
5             W    48                    0.011%            0.001%
41            W    45                    0.010%            0.001%
39            W    44                    0.010%            0.001%
10            W    44                    0.010%            0.001%
728           W    42                    0.009%            0.001%
20            W    41                    0.009%            0.001%
12            W    41                    0.009%            0.001%
17            W    37                    0.008%            0.001%
11            W    37                    0.008%            0.001%
72            W    36                    0.008%            0.001%
720           W    35                    0.008%            0.001%
392           W    35                    0.008%            0.001%
752           W    34                    0.008%            0.001%
88            W    33                    0.007%            0.001%
2             W    33                    0.007%            0.001%
19            W    31                    0.007%            0.001%
42            W    30                    0.007%            0.001%
18            W    30                    0.007%            0.001%
712           W    28                    0.006%            0.001%
280           W    28                    0.006%            0.001%
296           W    27                    0.006%            0.001%
272           W    27                    0.006%            0.001%
320           W    26                    0.006%            0.001%
160           W    26                    0.006%            0.001%
144           W    26                    0.006%            0.001%
288           W    25                    0.006%            0.000%
528           W    24                    0.005%            0.000%
152           W    23                    0.005%            0.000%
80            W    22                    0.005%            0.000%
984           W    20                    0.004%            0.000%
928           W    20                    0.004%            0.000%
56            W    20                    0.004%            0.000%
45            W    20                    0.004%            0.000%
384           W    20                    0.004%            0.000%
312           W    20                    0.004%            0.000%
568           W    19                    0.004%            0.000%
46            W    19                    0.004%            0.000%
43            W    19                    0.004%            0.000%
432           W    19                    0.004%            0.000%
368           W    18                    0.004%            0.000%
336           W    18                    0.004%            0.000%
192           W    18                    0.004%            0.000%
168           W    18                    0.004%            0.000%
104           W    18                    0.004%            0.000%
976           W    17                    0.004%            0.000%
776           W    17                    0.004%            0.000%
472           W    17                    0.004%            0.000%
376           W    17                    0.004%            0.000%
328           W    17                    0.004%            0.000%
256           W    17                    0.004%            0.000%
872           W    16                    0.004%            0.000%
592           W    16                    0.004%            0.000%
47            W    16                    0.004%            0.000%
304           W    16                    0.004%            0.000%
200           W    16                    0.004%            0.000%
552           W    15                    0.003%            0.000%
248           W    15                    0.003%            0.000%
680           W    14                    0.003%            0.000%
656           W    14                    0.003%            0.000%
240           W    14                    0.003%            0.000%
208           W    14                    0.003%            0.000%
184           W    14                    0.003%            0.000%
824           W    13                    0.003%            0.000%
664           W    13                    0.003%            0.000%
624           W    13                    0.003%            0.000%
456           W    13                    0.003%            0.000%
352           W    13                    0.003%            0.000%
944           W    12                    0.003%            0.000%
912           W    12                    0.003%            0.000%
808           W    12                    0.003%            0.000%
688           W    12                    0.003%            0.000%
560           W    12                    0.003%            0.000%
544           W    12                    0.003%            0.000%
49            W    12                    0.003%            0.000%
464           W    12                    0.003%            0.000%
216           W    12                    0.003%            0.000%
968           W    11                    0.002%            0.000%
880           W    11                    0.002%            0.000%
848           W    11                    0.002%            0.000%
792           W    11                    0.002%            0.000%
704           W    11                    0.002%            0.000%
696           W    11                    0.002%            0.000%
640           W    11                    0.002%            0.000%
