Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    325919               74.473%           50.742%
256           R    145748               71.213%           22.692%
8             W    52847                12.076%            8.228%
1016          W    44509                10.170%            6.930%
512           R    19705                 9.628%            3.068%
264           W    1995                  0.456%            0.311%
32            R    1540                  0.752%            0.240%
16            R    1503                  0.734%            0.234%
8             R    1318                  0.644%            0.205%
24            R    1285                  0.628%            0.200%
64            R    1274                  0.622%            0.198%
192           R    1242                  0.607%            0.193%
240           R    1228                  0.600%            0.191%
128           R    1213                  0.593%            0.189%
40            R    1142                  0.558%            0.178%
168           R    1135                  0.555%            0.177%
176           R    1133                  0.554%            0.176%
152           R    1131                  0.553%            0.176%
136           R    1121                  0.548%            0.175%
232           R    1119                  0.547%            0.174%
208           R    1119                  0.547%            0.174%
200           R    1114                  0.544%            0.173%
112           R    1104                  0.539%            0.172%
48            R    1097                  0.536%            0.171%
160           R    1096                  0.536%            0.171%
184           R    1094                  0.535%            0.170%
56            R    1093                  0.534%            0.170%
104           R    1090                  0.533%            0.170%
144           R    1062                  0.519%            0.165%
88            R    1049                  0.513%            0.163%
96            R    1048                  0.512%            0.163%
72            R    1046                  0.511%            0.163%
80            R    1045                  0.511%            0.163%
120           R    1041                  0.509%            0.162%
224           R    1033                  0.505%            0.161%
216           R    1019                  0.498%            0.159%
248           R    951                   0.465%            0.148%
32            W    679                   0.155%            0.106%
24            W    545                   0.125%            0.085%
120           W    545                   0.125%            0.085%
16            W    484                   0.111%            0.075%
88            W    414                   0.095%            0.064%
48            W    391                   0.089%            0.061%
456           W    325                   0.074%            0.051%
40            W    303                   0.069%            0.047%
488           R    296                   0.145%            0.046%
480           R    284                   0.139%            0.044%
112           W    284                   0.065%            0.044%
496           R    271                   0.132%            0.042%
416           W    261                   0.060%            0.041%
968           W    241                   0.055%            0.038%
896           W    240                   0.055%            0.037%
768           W    234                   0.053%            0.036%
928           W    233                   0.053%            0.036%
472           R    229                   0.112%            0.036%
984           W    224                   0.051%            0.035%
784           W    224                   0.051%            0.035%
904           W    216                   0.049%            0.034%
128           W    209                   0.048%            0.033%
96            W    191                   0.044%            0.030%
80            W    191                   0.044%            0.030%
304           R    186                   0.091%            0.029%
408           W    178                   0.041%            0.028%
456           R    171                   0.084%            0.027%
464           R    168                   0.082%            0.026%
296           R    166                   0.081%            0.026%
312           R    159                   0.078%            0.025%
448           R    157                   0.077%            0.024%
360           W    149                   0.034%            0.023%
384           R    145                   0.071%            0.023%
200           W    145                   0.033%            0.023%
352           W    135                   0.031%            0.021%
320           R    130                   0.064%            0.020%
192           W    130                   0.030%            0.020%
816           W    128                   0.029%            0.020%
64            W    128                   0.029%            0.020%
336           R    126                   0.062%            0.020%
3             W    125                   0.029%            0.019%
344           R    124                   0.061%            0.019%
368           W    122                   0.028%            0.019%
328           R    115                   0.056%            0.018%
352           R    109                   0.053%            0.017%
104           W    109                   0.025%            0.017%
824           W    107                   0.024%            0.017%
27            W    101                   0.023%            0.016%
72            W    99                    0.023%            0.015%
272           R    98                    0.048%            0.015%
288           R    86                    0.042%            0.013%
464           W    84                    0.019%            0.013%
376           W    82                    0.019%            0.013%
25            W    77                    0.018%            0.012%
56            W    75                    0.017%            0.012%
344           W    75                    0.017%            0.012%
21            W    75                    0.017%            0.012%
4             W    72                    0.016%            0.011%
13            W    72                    0.016%            0.011%
280           R    71                    0.035%            0.011%
26            W    71                    0.016%            0.011%
736           W    70                    0.016%            0.011%
5             W    69                    0.016%            0.011%
264           R    69                    0.034%            0.011%
136           W    69                    0.016%            0.011%
400           R    64                    0.031%            0.010%
320           W    62                    0.014%            0.010%
23            W    62                    0.014%            0.010%
2             W    61                    0.014%            0.009%
28            W    61                    0.014%            0.009%
