Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    1998244              45.025%           39.945%
16            R    950051               21.407%           18.992%
8             R    541929               12.211%           10.833%
1024          W    407127               72.129%            8.139%
40            R    123249                2.777%            2.464%
256           R    116005                2.614%            2.319%
56            R    84840                 1.912%            1.696%
8             W    83090                14.721%            1.661%
32            R    82015                 1.848%            1.639%
512           R    64812                 1.460%            1.296%
1016          W    63431                11.238%            1.268%
72            R    60283                 1.358%            1.205%
88            R    44808                 1.010%            0.896%
104           R    34192                 0.770%            0.684%
48            R    30315                 0.683%            0.606%
120           R    26774                 0.603%            0.535%
64            R    26267                 0.592%            0.525%
136           R    20263                 0.457%            0.405%
80            R    19082                 0.430%            0.381%
152           R    16155                 0.364%            0.323%
96            R    15612                 0.352%            0.312%
112           R    13532                 0.305%            0.271%
168           R    12856                 0.290%            0.257%
128           R    12595                 0.284%            0.252%
184           R    10663                 0.240%            0.213%
144           R    9720                  0.219%            0.194%
200           R    8866                  0.200%            0.177%
160           R    8503                  0.192%            0.170%
192           R    8448                  0.190%            0.169%
216           R    8135                  0.183%            0.163%
176           R    7539                  0.170%            0.151%
232           R    7337                  0.165%            0.147%
240           R    6530                  0.147%            0.131%
248           R    6172                  0.139%            0.123%
208           R    6162                  0.139%            0.123%
224           R    5468                  0.123%            0.109%
264           R    2908                  0.066%            0.058%
280           R    2536                  0.057%            0.051%
296           R    2319                  0.052%            0.046%
272           R    2189                  0.049%            0.044%
312           R    2169                  0.049%            0.043%
288           R    2077                  0.047%            0.042%
328           R    1979                  0.045%            0.040%
304           R    1895                  0.043%            0.038%
344           R    1874                  0.042%            0.037%
360           R    1807                  0.041%            0.036%
320           R    1797                  0.040%            0.036%
384           R    1789                  0.040%            0.036%
336           R    1705                  0.038%            0.034%
352           R    1625                  0.037%            0.032%
368           R    1620                  0.037%            0.032%
376           R    1616                  0.036%            0.032%
392           R    1542                  0.035%            0.031%
408           R    1504                  0.034%            0.030%
400           R    1458                  0.033%            0.029%
424           R    1424                  0.032%            0.028%
