Linux 4.4.132-0404132-generic (pl2) 	2018-10-25 	_x86_64_	(24 CPU)

02:57:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:57:45 PM  all    3.94    0.00    1.30    0.18    0.00    0.01    0.00    0.00    0.00   94.56
02:57:45 PM    0   41.45    0.00    2.30    0.00    0.00    0.33    0.00    0.00    0.00   55.92
02:57:45 PM    1    0.99    0.00    0.66    0.00    0.00    0.33    0.00    0.00    0.00   98.01
02:57:45 PM    2    0.33    0.00    1.00    0.33    0.00    0.00    0.00    0.00    0.00   98.33
02:57:45 PM    3    0.67    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.33
02:57:45 PM    4    0.99    0.00    0.66    0.66    0.00    0.00    0.00    0.00    0.00   97.69
02:57:45 PM    5    4.00    0.00    2.33    0.00    0.00    0.00    0.00    0.00    0.00   93.67
02:57:45 PM    6    6.33    0.00    4.67    0.00    0.00    0.00    0.00    0.00    0.00   89.00
02:57:45 PM    7    5.70    0.00    3.69    0.00    0.00    0.00    0.00    0.00    0.00   90.60
02:57:45 PM    8    0.34    0.00    0.34    1.01    0.00    0.00    0.00    0.00    0.00   98.32
02:57:45 PM    9    7.67    0.00    3.67    1.33    0.00    0.00    0.00    0.00    0.00   87.33
02:57:45 PM   10    3.68    0.00    1.67    0.67    0.00    0.00    0.00    0.00    0.00   93.98
02:57:45 PM   11    3.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   96.33
02:57:45 PM   12    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.34
02:57:45 PM   13    1.34    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.99
02:57:45 PM   14    0.33    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   98.33
02:57:45 PM   15    1.34    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.33
02:57:45 PM   16    4.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   95.33
02:57:45 PM   17    2.99    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   95.68
02:57:45 PM   18    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
02:57:45 PM   19    1.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02:57:45 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:57:45 PM   21    1.67    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.33
02:57:45 PM   22    3.67    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   95.00
02:57:45 PM   23    1.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.00

02:57:45 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:57:48 PM  all    1.10    0.00    1.56    1.03    0.00    0.01    0.00    0.00    0.00   96.30
