procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 3  0        14180     17917772        39840     46950504    0    0   314   761    0    1   0   0  93   6   0 2018-10-31 21:51:02
 2  0        14180     17882288        39852     46951456    0    0   104     0 2328 3043   8   2  91   0   0 2018-10-31 21:51:05
 2  0        14180     18162464          620     46714612    0    0     1   908 1950 2852   5   2  92   1   0 2018-10-31 21:51:08
 1  2        14180     32994148         2388     31905244    0    0  1097     5 1957 2752   4   3  91   2   0 2018-10-31 21:51:11
 2  0        14180     32988756         5488     31921220    0    0  5767    40 2378 2899   5   1  89   4   0 2018-10-31 21:51:14
 1  1        14180     32771056         7136     31951308    0    0 10427     1 2637 11445   8   1  88   3   0 2018-10-31 21:51:17
 2  1        14180     32583304        11916     31958356    0    0  4005   164 3238 11972  12   1  84   3   0 2018-10-31 21:51:20
 6  1        14180     32402420        12936     31969752    0    0  3972   153 3818 8406  13   1  84   2   0 2018-10-31 21:51:23
 1  2        14180     32342596        13536     31982524    0    0  4331    48 6186 14908  20   1  77   2   0 2018-10-31 21:51:26
 5  0        14180     32271684        14844     31988388    0    0  2283   372 10057 9570  11   1  86   3   0 2018-10-31 21:51:29
 2 15        14180     32450768        17444     32264236    0    0 76145 30068 7023 12491   8   1  83   8   0 2018-10-31 21:51:32
 3 14        14180     31747216        17456     32872464    0    0 129291 66813 14576 14487   6   2  49  43   0 2018-10-31 21:51:35
 3 15        14180     31017568        17464     33466720    0    0 125073 70074 26653 13449  12   2  38  48   0 2018-10-31 21:51:38
 1 15        14180     30019412        17464     34307640    0    0 174229 91984 21211 18886   8   2  45  45   0 2018-10-31 21:51:41
 1 15        14180     29940320        17472     34376340    0    0 122699 65469 14821 14242   5   2  45  48   0 2018-10-31 21:51:44
 1 15        14180     29500864        17472     34784144    0    0 173720 86421 17483 19054   6   3  38  53   0 2018-10-31 21:51:47
 1 15        14180     28853256        17480     35405396    0    0 124340 68191 14487 15330   6   2  40  52   0 2018-10-31 21:51:50
 1 15        14180     27881968        17488     36273648    0    0 171059 92636 26623 21370   7   4  38  51   0 2018-10-31 21:51:53
 1 17        14180     27568840        17628     36587616    0    0 28519 148595 5354 11978   4   2  54  40   0 2018-10-31 21:51:56
 1 20        14180     27697196        17792     36534108    0    0 64444 97319 6779 5397   5   2  40  53   0 2018-10-31 21:51:59
 1 20        14180     26898736        17928     37240952    0    0 102539 125392 9483 7391   5   2  37  55   0 2018-10-31 21:52:02
 1 18        14180     26442552        17936     37730308    0    0 70027 86607 7140 6028   5   2  39  55   0 2018-10-31 21:52:05
 1 19        14180     25949488        17936     38226076    0    0 70323 87261 6879 6378   5   2  41  53   0 2018-10-31 21:52:08
 4 16        14180     25320184        17944     38851372    0    0 82652 117833 8314 7129   5   2  42  51   0 2018-10-31 21:52:11
 2 16        14180     24726464        17944     39393912    0    0 87631 84789 8197 7295   5   2  39  54   0 2018-10-31 21:52:14
 5 11        14180     26461432        17952     37651804    0    0 108066 54603 16664 15523   7   3  40  50   0 2018-10-31 21:52:17
 1 16        14180     26372548        17952     37717732    0    0 100979 92882 11721 12135   7   2  40  52   0 2018-10-31 21:52:20
 5 12        14180     26458236        17960     37663416    0    0 34292 108615 5522 11710   5   2  44  50   0 2018-10-31 21:52:23
 4 13        14180     25732112        17960     38371012    0    0 175980 85776 20413 19665   8   4  40  47   0 2018-10-31 21:52:26
 1 18        14180     25163876        17968     38856612    0    0 86101 118765 15955 13573   7   3  31  59   0 2018-10-31 21:52:29
 1 19        14180     24782856        17968     39226560    0    0 29528 159201 7397 10167   5   2  39  53   0 2018-10-31 21:52:32
 1 18        14164     25183952        20236     38981156    0    0  7075 74004 3657 6384   4   1  47  48   0 2018-10-31 21:52:35
 2  1        14164     24871048        20932     39320288    0    0 16805 87659 7005 6451   5   2  39  54   0 2018-10-31 21:52:38
 1 15        14164     24123588        20940     40007340    0    0 83973 106254 15873 16158   9   4  45  43   0 2018-10-31 21:52:41
 1 16        14164     23419940        20940     40585236    0    0 70756 161599 12444 17383   7   3  46  44   0 2018-10-31 21:52:44
 3 13        14164     24314572        20948     39798288    0    0 84507 50159 14344 14672   8   4  41  47   0 2018-10-31 21:52:47
 1 16        14164     23746388        20948     40330592    0    0 85056 125756 14500 18100   9   4  41  46   0 2018-10-31 21:52:50
 1 15        14164     24216728        20956     39974792    0    0 21876 65611 7911 8952   5   2  49  44   0 2018-10-31 21:52:53
 1 15        14164     23515636        20956     40606324    0    0 87413 75368 16755 16977  10   5  42  43   0 2018-10-31 21:52:56
 1 16        14164     23015356        20964     41015984    0    0 39372 145804 8781 14427   7   2  56  35   0 2018-10-31 21:52:59
 2 19        14164     23277732        20964     40877476    0    0  5821 173314 3226 3406   5   2  53  40   0 2018-10-31 21:53:02
 1 19        14164     22859728        20976     41328200    0    0  5096 141411 3204 3106   5   1  53  41   0 2018-10-31 21:53:05
 2 18        14164     22569924        20976     41620220    0    0  7389 85124 3370 3528   5   1  45  49   0 2018-10-31 21:53:08
 6 13        14164     22266684        20984     41926484    0    0 10992 87306 3589 3655   5   1  42  52   0 2018-10-31 21:53:11
 1 18        14164     21661392        20984     42454100    0    0 66276 87378 10270 9288   7   2  34  57   0 2018-10-31 21:53:14
 1 17        14164     20931308        20992     43124168    0    0 88179 102650 12669 11524   8   3  32  57   0 2018-10-31 21:53:17
 1 17        14164     20502668        20992     43532224    0    0 24603 166792 6027 9839   6   2  39  54   0 2018-10-31 21:53:20
 1 16        14164     20358860        21000     43762500    0    0 58427 55934 10309 10392   8   3  36  53   0 2018-10-31 21:53:23
 2 16        14164     19806644        21000     44257484    0    0 62085 101445 11001 11125   9   3  35  53   0 2018-10-31 21:53:26
 1 16        14164     19657804        21008     44470620    0    0 18516 138651 5904 10154   6   2  41  51   0 2018-10-31 21:53:29
 2 14        14164     21720292        21008     42345708    0    0 47785 108841 27865 13576  11   5  44  40   0 2018-10-31 21:53:32
 1 17        14164     21252796        21016     42821700    0    0  1807 149625 2587 3041   5   1  52  42   0 2018-10-31 21:53:35
 5 15        14164     20863156        21016     43175884    0    0  1707 112484 2449 3110   4   1  57  37   0 2018-10-31 21:53:38
 1 16        14164     21063452        21024     42961316    0    0  8301 143972 5644 7697   5   2  57  36   0 2018-10-31 21:53:41
 1 15        14164     22252632        21024     41888812    0    0 46028 88192 13275 15374   9   4  47  40   0 2018-10-31 21:53:44
 1 15        14164     21575916        21032     42508036    0    0 28797 147228 7936 8545   8   3  44  45   0 2018-10-31 21:53:47
 1 16        14164     21302800        21032     42750080    0    0  8472 197445 4326 6156   6   2  52  40   0 2018-10-31 21:53:50
 1 16        14164     20991412        21452     43025892    0    0  2979 119411 4144 12198   5   1  56  38   0 2018-10-31 21:53:53
 5 11        14164     21531156        21452     42454740    0    0 25899 85884 7744 9387   7   3  45  45   0 2018-10-31 21:53:56
 2 15        14164     21288124        21460     42523088    0    0 53027 123091 22314 20980  11   5  47  36   0 2018-10-31 21:53:59
 8  8        14164     21344792        21460     42564076    0    0 58061 89297 15633 25198  12   5  45  38   0 2018-10-31 21:54:02
 4 15        14164     21010580        21468     42864792    0    0 19484 131576 6059 12573   7   2  60  31   0 2018-10-31 21:54:05
 1 22        14164     20973096        21468     42992924    0    0  2259 106673 2531 3008   5   1  48  46   0 2018-10-31 21:54:08
 1 22        14164     20656776        21476     43316416    0    0  2204 100133 2683 3185   5   1  53  42   0 2018-10-31 21:54:11
 2 21        14164     20325932        21480     43711480    0    0  1997 125948 2609 2912   5   1  48  45   0 2018-10-31 21:54:14
