Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    350649               73.898%           45.458%
256           R    210755               70.994%           27.322%
8             W    58213                12.268%            7.547%
1016          W    49125                10.353%            6.369%
512           R    32852                11.066%            4.259%
264           W    2644                  0.557%            0.343%
32            R    2352                  0.792%            0.305%
16            R    2296                  0.773%            0.298%
64            R    1915                  0.645%            0.248%
24            R    1860                  0.627%            0.241%
240           R    1858                  0.626%            0.241%
8             R    1763                  0.594%            0.229%
128           R    1745                  0.588%            0.226%
232           R    1696                  0.571%            0.220%
224           R    1611                  0.543%            0.209%
192           R    1591                  0.536%            0.206%
40            R    1582                  0.533%            0.205%
48            R    1497                  0.504%            0.194%
56            R    1484                  0.500%            0.192%
216           R    1482                  0.499%            0.192%
208           R    1476                  0.497%            0.191%
200           R    1433                  0.483%            0.186%
176           R    1431                  0.482%            0.186%
152           R    1420                  0.478%            0.184%
248           R    1409                  0.475%            0.183%
168           R    1393                  0.469%            0.181%
184           R    1379                  0.465%            0.179%
136           R    1368                  0.461%            0.177%
160           R    1363                  0.459%            0.177%
112           R    1327                  0.447%            0.172%
104           R    1314                  0.443%            0.170%
144           R    1310                  0.441%            0.170%
72            R    1302                  0.439%            0.169%
96            R    1287                  0.434%            0.167%
80            R    1271                  0.428%            0.165%
120           R    1253                  0.422%            0.162%
88            R    1250                  0.421%            0.162%
120           W    988                   0.208%            0.128%
32            W    663                   0.140%            0.086%
24            W    588                   0.124%            0.076%
16            W    586                   0.123%            0.076%
456           W    457                   0.096%            0.059%
488           R    398                   0.134%            0.052%
128           W    398                   0.084%            0.052%
480           R    359                   0.121%            0.047%
48            W    357                   0.075%            0.046%
496           R    341                   0.115%            0.044%
112           W    317                   0.067%            0.041%
472           R    301                   0.101%            0.039%
448           R    299                   0.101%            0.039%
456           R    288                   0.097%            0.037%
768           W    281                   0.059%            0.036%
464           R    272                   0.092%            0.035%
40            W    272                   0.057%            0.035%
416           W    265                   0.056%            0.034%
784           W    262                   0.055%            0.034%
88            W    259                   0.055%            0.034%
968           W    258                   0.054%            0.033%
304           R    253                   0.085%            0.033%
896           W    245                   0.052%            0.032%
928           W    234                   0.049%            0.030%
984           W    226                   0.048%            0.029%
904           W    209                   0.044%            0.027%
344           R    208                   0.070%            0.027%
272           R    207                   0.070%            0.027%
296           R    205                   0.069%            0.027%
312           R    204                   0.069%            0.026%
384           R    203                   0.068%            0.026%
360           W    197                   0.042%            0.026%
280           R    197                   0.066%            0.026%
320           R    190                   0.064%            0.025%
336           R    189                   0.064%            0.025%
408           W    182                   0.038%            0.024%
328           R    181                   0.061%            0.023%
200           W    165                   0.035%            0.021%
288           R    163                   0.055%            0.021%
264           R    162                   0.055%            0.021%
352           W    160                   0.034%            0.021%
368           W    156                   0.033%            0.020%
352           R    150                   0.051%            0.019%
192           W    148                   0.031%            0.019%
64            W    143                   0.030%            0.019%
816           W    133                   0.028%            0.017%
824           W    125                   0.026%            0.016%
464           W    123                   0.026%            0.016%
344           W    108                   0.023%            0.014%
312           W    101                   0.021%            0.013%
440           R    100                   0.034%            0.013%
3             W    95                    0.020%            0.012%
136           W    89                    0.019%            0.012%
104           W    89                    0.019%            0.012%
80            W    88                    0.019%            0.011%
376           W    87                    0.018%            0.011%
30            W    85                    0.018%            0.011%
216           W    84                    0.018%            0.011%
432           R    83                    0.028%            0.011%
224           W    81                    0.017%            0.011%
26            W    78                    0.016%            0.010%
96            W    77                    0.016%            0.010%
19            W    77                    0.016%            0.010%
10            W    77                    0.016%            0.010%
360           R    76                    0.026%            0.010%
320           W    73                    0.015%            0.009%
152           W    72                    0.015%            0.009%
376           R    71                    0.024%            0.009%
23            W    71                    0.015%            0.009%
56            W    68                    0.014%            0.009%
11            W    68                    0.014%            0.009%
424           R    66                    0.022%            0.009%
