Generating events file /tmp/ycsb-rocksdb/data/output_myworkloada/events.dat
Extracting sectors from events file to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    394225               51.774%           46.430%
16            R    157652               20.705%           18.568%
8             R    90511                11.887%           10.660%
1024          W    63039                71.930%            7.424%
40            R    17957                 2.358%            2.115%
32            R    13526                 1.776%            1.593%
8             W    11840                13.510%            1.394%
56            R    11794                 1.549%            1.389%
1016          W    9189                 10.485%            1.082%
256           R    8910                  1.170%            1.049%
72            R    8360                  1.098%            0.985%
88            R    6284                  0.825%            0.740%
104           R    4849                  0.637%            0.571%
48            R    4238                  0.557%            0.499%
120           R    3822                  0.502%            0.450%
64            R    3605                  0.473%            0.425%
136           R    3042                  0.400%            0.358%
80            R    2516                  0.330%            0.296%
152           R    2389                  0.314%            0.281%
96            R    2224                  0.292%            0.262%
168           R    2063                  0.271%            0.243%
0             W    1956                  2.232%            0.230%
112           R    1831                  0.240%            0.216%
128           R    1765                  0.232%            0.208%
184           R    1739                  0.228%            0.205%
144           R    1449                  0.190%            0.171%
512           R    1441                  0.189%            0.170%
216           R    1357                  0.178%            0.160%
200           R    1337                  0.176%            0.157%
192           R    1276                  0.168%            0.150%
160           R    1156                  0.152%            0.136%
176           R    1073                  0.141%            0.126%
232           R    1018                  0.134%            0.120%
248           R    840                   0.110%            0.099%
208           R    819                   0.108%            0.096%
240           R    810                   0.106%            0.095%
224           R    735                   0.097%            0.087%
264           R    396                   0.052%            0.047%
280           R    338                   0.044%            0.040%
296           R    314                   0.041%            0.037%
312           R    270                   0.035%            0.032%
272           R    251                   0.033%            0.030%
328           R    249                   0.033%            0.029%
288           R    237                   0.031%            0.028%
344           R    195                   0.026%            0.023%
360           R    193                   0.025%            0.023%
336           R    191                   0.025%            0.022%
304           R    188                   0.025%            0.022%
320           R    186                   0.024%            0.022%
376           R    164                   0.022%            0.019%
384           R    160                   0.021%            0.019%
352           R    147                   0.019%            0.017%
392           R    146                   0.019%            0.017%
368           R    132                   0.017%            0.016%
464           W    128                   0.146%            0.015%
408           R    110                   0.014%            0.013%
400           R    107                   0.014%            0.013%
440           R    95                    0.012%            0.011%
416           R    95                    0.012%            0.011%
472           W    91                    0.104%            0.011%
424           R    88                    0.012%            0.010%
432           R    82                    0.011%            0.010%
456           R    80                    0.011%            0.009%
30            W    78                    0.089%            0.009%
448           R    76                    0.010%            0.009%
472           R    69                    0.009%            0.008%
64            W    67                    0.076%            0.008%
464           R    66                    0.009%            0.008%
480           R    63                    0.008%            0.007%
3             W    55                    0.063%            0.006%
28            W    53                    0.060%            0.006%
29            W    51                    0.058%            0.006%
496           R    44                    0.006%            0.005%
32            W    43                    0.049%            0.005%
31            W    41                    0.047%            0.005%
504           R    40                    0.005%            0.005%
13            W    40                    0.046%            0.005%
488           R    38                    0.005%            0.004%
14            W    35                    0.040%            0.004%
16            W    34                    0.039%            0.004%
27            W    33                    0.038%            0.004%
120           W    33                    0.038%            0.004%
896           W    32                    0.037%            0.004%
752           W    32                    0.037%            0.004%
112           W    31                    0.035%            0.004%
744           W    30                    0.034%            0.004%
96            W    29                    0.033%            0.003%
960           W    29                    0.033%            0.003%
904           W    28                    0.032%            0.003%
408           W    28                    0.032%            0.003%
56            W    27                    0.031%            0.003%
416           W    27                    0.031%            0.003%
920           W    26                    0.030%            0.003%
26            W    26                    0.030%            0.003%
1008          W    26                    0.030%            0.003%
152           W    22                    0.025%            0.003%
872           W    18                    0.021%            0.002%
4             W    15                    0.017%            0.002%
25            W    15                    0.017%            0.002%
15            W    15                    0.017%            0.002%
736           W    13                    0.015%            0.002%
36            W    12                    0.014%            0.001%
33            W    12                    0.014%            0.001%
1             W    11                    0.013%            0.001%
440           W    10                    0.011%            0.001%
2             W    10                    0.011%            0.001%
6             W    9                     0.010%            0.001%
456           W    9                     0.010%            0.001%
34            W    9                     0.010%            0.001%
