Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    2027243              46.406%           41.104%
16            R    908198               20.790%           18.414%
8             R    507595               11.620%           10.292%
1024          W    406695               72.170%            8.246%
40            R    114164                2.613%            2.315%
256           R    99280                 2.273%            2.013%
8             W    82918                14.714%            1.681%
32            R    79569                 1.821%            1.613%
56            R    79120                 1.811%            1.604%
1016          W    63364                11.244%            1.285%
512           R    62068                 1.421%            1.258%
72            R    57410                 1.314%            1.164%
88            R    43502                 0.996%            0.882%
104           R    33672                 0.771%            0.683%
48            R    29073                 0.666%            0.589%
120           R    27022                 0.619%            0.548%
64            R    25668                 0.588%            0.520%
136           R    21191                 0.485%            0.430%
80            R    19112                 0.437%            0.388%
152           R    16985                 0.389%            0.344%
96            R    16433                 0.376%            0.333%
112           R    13996                 0.320%            0.284%
168           R    13886                 0.318%            0.282%
128           R    13254                 0.303%            0.269%
184           R    11442                 0.262%            0.232%
144           R    10317                 0.236%            0.209%
200           R    9729                  0.223%            0.197%
192           R    9352                  0.214%            0.190%
160           R    9252                  0.212%            0.188%
216           R    9005                  0.206%            0.183%
176           R    8339                  0.191%            0.169%
232           R    7940                  0.182%            0.161%
240           R    7144                  0.164%            0.145%
248           R    7021                  0.161%            0.142%
208           R    6776                  0.155%            0.137%
224           R    6115                  0.140%            0.124%
264           R    3111                  0.071%            0.063%
280           R    2947                  0.067%            0.060%
296           R    2793                  0.064%            0.057%
272           R    2581                  0.059%            0.052%
312           R    2553                  0.058%            0.052%
288           R    2391                  0.055%            0.048%
328           R    2314                  0.053%            0.047%
304           R    2185                  0.050%            0.044%
344           R    2105                  0.048%            0.043%
360           R    2004                  0.046%            0.041%
320           R    2002                  0.046%            0.041%
384           R    1994                  0.046%            0.040%
376           R    1935                  0.044%            0.039%
352           R    1920                  0.044%            0.039%
336           R    1857                  0.043%            0.038%
392           R    1831                  0.042%            0.037%
368           R    1815                  0.042%            0.037%
408           R    1717                  0.039%            0.035%
448           R    1614                  0.037%            0.033%
400           R    1570                  0.036%            0.032%
416           R    1569                  0.036%            0.032%
456           R    1552                  0.036%            0.031%
424           R    1529                  0.035%            0.031%
464           R    1488                  0.034%            0.030%
432           R    1482                  0.034%            0.030%
440           R    1481                  0.034%            0.030%
480           R    1479                  0.034%            0.030%
472           R    1406                  0.032%            0.029%
488           R    882                   0.020%            0.018%
408           W    844                   0.150%            0.017%
496           R    817                   0.019%            0.017%
416           W    795                   0.141%            0.016%
504           R    669                   0.015%            0.014%
64            W    418                   0.074%            0.008%
32            W    373                   0.066%            0.008%
16            W    280                   0.050%            0.006%
3             W    259                   0.046%            0.005%
28            W    199                   0.035%            0.004%
26            W    195                   0.035%            0.004%
128           W    186                   0.033%            0.004%
30            W    175                   0.031%            0.004%
24            W    169                   0.030%            0.003%
13            W    165                   0.029%            0.003%
896           W    158                   0.028%            0.003%
27            W    158                   0.028%            0.003%
29            W    155                   0.028%            0.003%
96            W    153                   0.027%            0.003%
768           W    150                   0.027%            0.003%
25            W    148                   0.026%            0.003%
31            W    146                   0.026%            0.003%
784           W    144                   0.026%            0.003%
120           W    142                   0.025%            0.003%
112           W    142                   0.025%            0.003%
744           W    133                   0.024%            0.003%
920           W    131                   0.023%            0.003%
23            W    130                   0.023%            0.003%
400           W    123                   0.022%            0.002%
34            W    121                   0.021%            0.002%
952           W    116                   0.021%            0.002%
904           W    115                   0.020%            0.002%
888           W    115                   0.020%            0.002%
14            W    111                   0.020%            0.002%
37            W    109                   0.019%            0.002%
1             W    109                   0.019%            0.002%
33            W    105                   0.019%            0.002%
22            W    105                   0.019%            0.002%
35            W    104                   0.018%            0.002%
36            W    101                   0.018%            0.002%
12            W    101                   0.018%            0.002%
21            W    92                    0.016%            0.002%
424           W    90                    0.016%            0.002%
20            W    90                    0.016%            0.002%
736           W    87                    0.015%            0.002%
10            W    85                    0.015%            0.002%
38            W    83                    0.015%            0.002%
4             W    82                    0.015%            0.002%
19            W    82                    0.015%            0.002%
40            W    74                    0.013%            0.002%
6             W    71                    0.013%            0.001%
39            W    68                    0.012%            0.001%
9             W    67                    0.012%            0.001%
11            W    67                    0.012%            0.001%
5             W    66                    0.012%            0.001%
48            W    64                    0.011%            0.001%
15            W    59                    0.010%            0.001%
18            W    57                    0.010%            0.001%
17            W    57                    0.010%            0.001%
2             W    55                    0.010%            0.001%
7             W    53                    0.009%            0.001%
712           W    51                    0.009%            0.001%
728           W    50                    0.009%            0.001%
41            W    49                    0.009%            0.001%
43            W    43                    0.008%            0.001%
968           W    40                    0.007%            0.001%
392           W    38                    0.007%            0.001%
42            W    33                    0.006%            0.001%
984           W    32                    0.006%            0.001%
752           W    32                    0.006%            0.001%
720           W    32                    0.006%            0.001%
928           W    29                    0.005%            0.001%
44            W    26                    0.005%            0.001%
45            W    25                    0.004%            0.001%
88            W    24                    0.004%            0.000%
152           W    24                    0.004%            0.000%
1008          W    23                    0.004%            0.000%
992           W    21                    0.004%            0.000%
824           W    21                    0.004%            0.000%
49            W    21                    0.004%            0.000%
