Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    437865               52.112%           47.901%
16            R    183722               21.865%           20.099%
8             R    113508               13.509%           12.418%
1024          W    54742                74.120%            5.989%
40            R    19472                 2.317%            2.130%
32            R    14481                 1.723%            1.584%
56            R    11878                 1.414%            1.299%
8             W    10035                13.587%            1.098%
256           R    8133                  0.968%            0.890%
72            R    7849                  0.934%            0.859%
1016          W    7701                 10.427%            0.842%
88            R    5494                  0.654%            0.601%
48            R    3882                  0.462%            0.425%
104           R    3849                  0.458%            0.421%
64            R    2952                  0.351%            0.323%
120           R    2768                  0.329%            0.303%
512           R    2417                  0.288%            0.264%
136           R    2068                  0.246%            0.226%
80            R    2010                  0.239%            0.220%
96            R    1651                  0.196%            0.181%
152           R    1506                  0.179%            0.165%
112           R    1365                  0.162%            0.149%
168           R    1235                  0.147%            0.135%
128           R    1205                  0.143%            0.132%
184           R    1029                  0.122%            0.113%
144           R    972                   0.116%            0.106%
216           R    801                   0.095%            0.088%
200           R    791                   0.094%            0.087%
160           R    784                   0.093%            0.086%
192           R    670                   0.080%            0.073%
176           R    669                   0.080%            0.073%
232           R    608                   0.072%            0.067%
208           R    502                   0.060%            0.055%
240           R    491                   0.058%            0.054%
248           R    462                   0.055%            0.051%
224           R    421                   0.050%            0.046%
264           R    206                   0.025%            0.023%
280           R    197                   0.023%            0.022%
296           R    139                   0.017%            0.015%
272           R    134                   0.016%            0.015%
328           R    129                   0.015%            0.014%
312           R    127                   0.015%            0.014%
288           R    125                   0.015%            0.014%
344           R    120                   0.014%            0.013%
376           R    103                   0.012%            0.011%
304           R    101                   0.012%            0.011%
336           R    97                    0.012%            0.011%
464           W    95                    0.129%            0.010%
384           R    94                    0.011%            0.010%
320           R    89                    0.011%            0.010%
352           R    84                    0.010%            0.009%
368           R    81                    0.010%            0.009%
392           R    78                    0.009%            0.009%
360           R    76                    0.009%            0.008%
456           R    71                    0.008%            0.008%
408           R    67                    0.008%            0.007%
432           R    66                    0.008%            0.007%
448           R    65                    0.008%            0.007%
472           W    64                    0.087%            0.007%
400           R    61                    0.007%            0.007%
424           R    60                    0.007%            0.007%
464           R    59                    0.007%            0.006%
416           R    58                    0.007%            0.006%
472           R    57                    0.007%            0.006%
440           R    56                    0.007%            0.006%
64            W    53                    0.072%            0.006%
480           R    48                    0.006%            0.005%
3             W    40                    0.054%            0.004%
28            W    38                    0.051%            0.004%
13            W    38                    0.051%            0.004%
32            W    37                    0.050%            0.004%
29            W    36                    0.049%            0.004%
26            W    36                    0.049%            0.004%
744           W    34                    0.046%            0.004%
496           R    30                    0.004%            0.003%
896           W    29                    0.039%            0.003%
752           W    29                    0.039%            0.003%
152           W    29                    0.039%            0.003%
120           W    29                    0.039%            0.003%
864           W    28                    0.038%            0.003%
16            W    28                    0.038%            0.003%
904           W    26                    0.035%            0.003%
488           R    26                    0.003%            0.003%
96            W    25                    0.034%            0.003%
960           W    25                    0.034%            0.003%
920           W    25                    0.034%            0.003%
56            W    25                    0.034%            0.003%
112           W    25                    0.034%            0.003%
1008          W    23                    0.031%            0.003%
504           R    22                    0.003%            0.002%
4             W    21                    0.028%            0.002%
14            W    21                    0.028%            0.002%
416           W    19                    0.026%            0.002%
408           W    19                    0.026%            0.002%
22            W    19                    0.026%            0.002%
30            W    17                    0.023%            0.002%
27            W    17                    0.023%            0.002%
24            W    17                    0.023%            0.002%
15            W    16                    0.022%            0.002%
7             W    15                    0.020%            0.002%
31            W    15                    0.020%            0.002%
25            W    15                    0.020%            0.002%
23            W    15                    0.020%            0.002%
480           W    13                    0.018%            0.001%
21            W    13                    0.018%            0.001%
20            W    12                    0.016%            0.001%
6             W    11                    0.015%            0.001%
456           W    11                    0.015%            0.001%
19            W    10                    0.014%            0.001%
12            W    10                    0.014%            0.001%
5             W    9                     0.012%            0.001%
2             W    8                     0.011%            0.001%
440           W    7                     0.009%            0.001%
984           W    6                     0.008%            0.001%
784           W    6                     0.008%            0.001%
1             W    6                     0.008%            0.001%
936           W    5                     0.007%            0.001%
824           W    5                     0.007%            0.001%
80            W    5                     0.007%            0.001%
40            W    5                     0.007%            0.001%
39            W    5                     0.007%            0.001%
37            W    5                     0.007%            0.001%
192           W    5                     0.007%            0.001%
18            W    5                     0.007%            0.001%
9             W    4                     0.005%            0.000%
992           W    4                     0.005%            0.000%
792           W    4                     0.005%            0.000%
768           W    4                     0.005%            0.000%
760           W    4                     0.005%            0.000%
736           W    4                     0.005%            0.000%
34            W    4                     0.005%            0.000%
272           W    4                     0.005%            0.000%
1             R    4                     0.000%            0.000%
17            W    4                     0.005%            0.000%
11            W    4                     0.005%            0.000%
10            W    4                     0.005%            0.000%
968           W    3                     0.004%            0.000%
944           W    3                     0.004%            0.000%
776           W    3                     0.004%            0.000%
672           W    3                     0.004%            0.000%
528           W    3                     0.004%            0.000%
47            W    3                     0.004%            0.000%
44            W    3                     0.004%            0.000%
448           W    3                     0.004%            0.000%
43            W    3                     0.004%            0.000%
42            W    3                     0.004%            0.000%
424           W    3                     0.004%            0.000%
36            W    3                     0.004%            0.000%
344           W    3                     0.004%            0.000%
264           W    3                     0.004%            0.000%
256           W    3                     0.004%            0.000%
240           W    3                     0.004%            0.000%
208           W    3                     0.004%            0.000%
848           W    2                     0.003%            0.000%
840           W    2                     0.003%            0.000%
808           W    2                     0.003%            0.000%
720           W    2                     0.003%            0.000%
704           W    2                     0.003%            0.000%
688           W    2                     0.003%            0.000%
616           W    2                     0.003%            0.000%
584           W    2                     0.003%            0.000%
536           W    2                     0.003%            0.000%
51            W    2                     0.003%            0.000%
504           W    2                     0.003%            0.000%
496           W    2                     0.003%            0.000%
432           W    2                     0.003%            0.000%
392           W    2                     0.003%            0.000%
38            W    2                     0.003%            0.000%
384           W    2                     0.003%            0.000%
376           W    2                     0.003%            0.000%
35            W    2                     0.003%            0.000%
352           W    2                     0.003%            0.000%
33            W    2                     0.003%            0.000%
336           W    2                     0.003%            0.000%
320           W    2                     0.003%            0.000%
248           W    2                     0.003%            0.000%
232           W    2                     0.003%            0.000%
160           W    2                     0.003%            0.000%
128           W    2                     0.003%            0.000%
1000          W    2                     0.003%            0.000%
912           W    1                     0.001%            0.000%
88            W    1                     0.001%            0.000%
888           W    1                     0.001%            0.000%
832           W    1                     0.001%            0.000%
696           W    1                     0.001%            0.000%
664           W    1                     0.001%            0.000%
656           W    1                     0.001%            0.000%
640           W    1                     0.001%            0.000%
624           W    1                     0.001%            0.000%
61            W    1                     0.001%            0.000%
48            W    1                     0.001%            0.000%
488           W    1                     0.001%            0.000%
46            W    1                     0.001%            0.000%
400           W    1                     0.001%            0.000%
368           W    1                     0.001%            0.000%
360           W    1                     0.001%            0.000%
328           W    1                     0.001%            0.000%
296           W    1                     0.001%            0.000%
288           W    1                     0.001%            0.000%
280           W    1                     0.001%            0.000%
184           W    1                     0.001%            0.000%
176           W    1                     0.001%            0.000%
144           W    1                     0.001%            0.000%
136           W    1                     0.001%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 840240         [ 91.920%]
Total write I/Os: 73856          [  8.080%]
Total read sectors : 25650476    [ 28.493%,   12524.646MB]
Total write sectors: 64374600    [ 71.507%,   31432.910MB]
