Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    92874                77.755%           77.743%
8             W    13373                11.196%           11.194%
1016          W    11061                 9.260%            9.259%
32            W    98                    0.082%            0.082%
48            W    91                    0.076%            0.076%
968           W    88                    0.074%            0.074%
984           W    85                    0.071%            0.071%
120           W    84                    0.070%            0.070%
112           W    84                    0.070%            0.070%
896           W    82                    0.069%            0.069%
88            W    82                    0.069%            0.069%
904           W    81                    0.068%            0.068%
928           W    80                    0.067%            0.067%
816           W    49                    0.041%            0.041%
200           W    46                    0.039%            0.039%
824           W    44                    0.037%            0.037%
192           W    42                    0.035%            0.035%
3             W    41                    0.034%            0.034%
64            W    38                    0.032%            0.032%
16            W    33                    0.028%            0.028%
728           W    29                    0.024%            0.024%
12            W    23                    0.019%            0.019%
768           W    22                    0.018%            0.018%
11            W    20                    0.017%            0.017%
10            W    20                    0.017%            0.017%
80            W    18                    0.015%            0.015%
784           W    18                    0.015%            0.015%
6             W    18                    0.015%            0.015%
24            W    18                    0.015%            0.015%
14            W    18                    0.015%            0.015%
9             W    17                    0.014%            0.014%
2             W    17                    0.014%            0.014%
128           W    17                    0.014%            0.014%
5             W    16                    0.013%            0.013%
4             W    16                    0.013%            0.013%
21            W    16                    0.013%            0.013%
13            W    16                    0.013%            0.013%
936           W    15                    0.013%            0.013%
20            W    15                    0.013%            0.013%
1             W    15                    0.013%            0.013%
888           W    14                    0.012%            0.012%
22            W    14                    0.012%            0.012%
144           W    14                    0.012%            0.012%
992           W    13                    0.011%            0.011%
736           W    13                    0.011%            0.011%
7             W    12                    0.010%            0.010%
40            W    12                    0.010%            0.010%
216           W    12                    0.010%            0.010%
18            W    12                    0.010%            0.010%
17            W    12                    0.010%            0.010%
15            W    12                    0.010%            0.010%
920           W    11                    0.009%            0.009%
224           W    11                    0.009%            0.009%
19            W    11                    0.009%            0.009%
952           W    10                    0.008%            0.008%
840           W    10                    0.008%            0.008%
832           W    10                    0.008%            0.008%
408           W    10                    0.008%            0.008%
25            W    10                    0.008%            0.008%
176           W    10                    0.008%            0.008%
976           W    9                     0.008%            0.008%
96            W    9                     0.008%            0.008%
872           W    9                     0.008%            0.008%
744           W    9                     0.008%            0.008%
23            W    9                     0.008%            0.008%
184           W    9                     0.008%            0.008%
168           W    9                     0.008%            0.008%
8             R    8                    44.444%            0.007%
848           W    8                     0.007%            0.007%
792           W    8                     0.007%            0.007%
720           W    8                     0.007%            0.007%
56            W    8                     0.007%            0.007%
1             R    8                    44.444%            0.007%
152           W    8                     0.007%            0.007%
1000          W    8                     0.007%            0.007%
864           W    7                     0.006%            0.006%
800           W    7                     0.006%            0.006%
504           W    7                     0.006%            0.006%
432           W    7                     0.006%            0.006%
352           W    7                     0.006%            0.006%
296           W    7                     0.006%            0.006%
280           W    7                     0.006%            0.006%
26            W    7                     0.006%            0.006%
248           W    7                     0.006%            0.006%
104           W    7                     0.006%            0.006%
912           W    6                     0.005%            0.005%
640           W    6                     0.005%            0.005%
416           W    6                     0.005%            0.005%
376           W    6                     0.005%            0.005%
28            W    6                     0.005%            0.005%
776           W    5                     0.004%            0.004%
672           W    5                     0.004%            0.004%
552           W    5                     0.004%            0.004%
312           W    5                     0.004%            0.004%
27            W    5                     0.004%            0.004%
232           W    5                     0.004%            0.004%
760           W    4                     0.003%            0.003%
688           W    4                     0.003%            0.003%
544           W    4                     0.003%            0.003%
440           W    4                     0.003%            0.003%
392           W    4                     0.003%            0.003%
320           W    4                     0.003%            0.003%
29            W    4                     0.003%            0.003%
288           W    4                     0.003%            0.003%
256           W    4                     0.003%            0.003%
160           W    4                     0.003%            0.003%
944           W    3                     0.003%            0.003%
680           W    3                     0.003%            0.003%
624           W    3                     0.003%            0.003%
608           W    3                     0.003%            0.003%
600           W    3                     0.003%            0.003%
592           W    3                     0.003%            0.003%
584           W    3                     0.003%            0.003%
536           W    3                     0.003%            0.003%
528           W    3                     0.003%            0.003%
512           W    3                     0.003%            0.003%
488           W    3                     0.003%            0.003%
480           W    3                     0.003%            0.003%
472           W    3                     0.003%            0.003%
456           W    3                     0.003%            0.003%
344           W    3                     0.003%            0.003%
33            W    3                     0.003%            0.003%
336           W    3                     0.003%            0.003%
272           W    3                     0.003%            0.003%
240           W    3                     0.003%            0.003%
960           W    2                     0.002%            0.002%
856           W    2                     0.002%            0.002%
72            W    2                     0.002%            0.002%
704           W    2                     0.002%            0.002%
696           W    2                     0.002%            0.002%
664           W    2                     0.002%            0.002%
576           W    2                     0.002%            0.002%
568           W    2                     0.002%            0.002%
560           W    2                     0.002%            0.002%
520           W    2                     0.002%            0.002%
464           W    2                     0.002%            0.002%
424           W    2                     0.002%            0.002%
400           W    2                     0.002%            0.002%
384           W    2                     0.002%            0.002%
36            W    2                     0.002%            0.002%
368           W    2                     0.002%            0.002%
32            R    2                    11.111%            0.002%
328           W    2                     0.002%            0.002%
208           W    2                     0.002%            0.002%
808           W    1                     0.001%            0.001%
752           W    1                     0.001%            0.001%
712           W    1                     0.001%            0.001%
656           W    1                     0.001%            0.001%
