Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    88937                77.910%           77.903%
8             W    12506                10.955%           10.954%
1016          W    10428                 9.135%            9.134%
32            W    100                   0.088%            0.088%
928           W    91                    0.080%            0.080%
904           W    80                    0.070%            0.070%
984           W    79                    0.069%            0.069%
48            W    78                    0.068%            0.068%
968           W    76                    0.067%            0.067%
88            W    75                    0.066%            0.066%
896           W    73                    0.064%            0.064%
120           W    73                    0.064%            0.064%
112           W    70                    0.061%            0.061%
408           W    59                    0.052%            0.052%
416           W    56                    0.049%            0.049%
816           W    53                    0.046%            0.046%
16            W    53                    0.046%            0.046%
3             W    43                    0.038%            0.038%
200           W    41                    0.036%            0.036%
824           W    39                    0.034%            0.034%
192           W    39                    0.034%            0.034%
64            W    37                    0.032%            0.032%
11            W    27                    0.024%            0.024%
2             W    26                    0.023%            0.023%
912           W    23                    0.020%            0.020%
1             W    23                    0.020%            0.020%
920           W    22                    0.019%            0.019%
24            W    22                    0.019%            0.019%
18            W    22                    0.019%            0.019%
6             W    21                    0.018%            0.018%
936           W    20                    0.018%            0.018%
888           W    20                    0.018%            0.018%
4             W    20                    0.018%            0.018%
7             W    18                    0.016%            0.016%
21            W    17                    0.015%            0.015%
80            W    16                    0.014%            0.014%
40            W    16                    0.014%            0.014%
28            W    16                    0.014%            0.014%
800           W    15                    0.013%            0.013%
5             W    15                    0.013%            0.013%
22            W    15                    0.013%            0.013%
19            W    15                    0.013%            0.013%
17            W    15                    0.013%            0.013%
14            W    15                    0.013%            0.013%
952           W    14                    0.012%            0.012%
128           W    14                    0.012%            0.012%
9             W    13                    0.011%            0.011%
992           W    13                    0.011%            0.011%
792           W    13                    0.011%            0.011%
25            W    12                    0.011%            0.011%
23            W    12                    0.011%            0.011%
12            W    12                    0.011%            0.011%
10            W    12                    0.011%            0.011%
104           W    12                    0.011%            0.011%
840           W    11                    0.010%            0.010%
832           W    11                    0.010%            0.010%
768           W    11                    0.010%            0.010%
30            W    11                    0.010%            0.010%
27            W    11                    0.010%            0.010%
232           W    11                    0.010%            0.010%
864           W    10                    0.009%            0.009%
848           W    10                    0.009%            0.009%
72            W    10                    0.009%            0.009%
29            W    10                    0.009%            0.009%
296           W    10                    0.009%            0.009%
216           W    10                    0.009%            0.009%
20            W    10                    0.009%            0.009%
13            W    10                    0.009%            0.009%
976           W    9                     0.008%            0.008%
872           W    9                     0.008%            0.008%
280           W    9                     0.008%            0.008%
176           W    9                     0.008%            0.008%
168           W    9                     0.008%            0.008%
1000          W    9                     0.008%            0.008%
808           W    8                     0.007%            0.007%
784           W    8                     0.007%            0.007%
760           W    8                     0.007%            0.007%
680           W    8                     0.007%            0.007%
352           W    8                     0.007%            0.007%
256           W    8                     0.007%            0.007%
144           W    8                     0.007%            0.007%
96            W    7                     0.006%            0.006%
944           W    7                     0.006%            0.006%
696           W    7                     0.006%            0.006%
56            W    7                     0.006%            0.006%
568           W    7                     0.006%            0.006%
184           W    7                     0.006%            0.006%
736           W    6                     0.005%            0.005%
720           W    6                     0.005%            0.005%
704           W    6                     0.005%            0.005%
688           W    6                     0.005%            0.005%
672           W    6                     0.005%            0.005%
26            W    6                     0.005%            0.005%
248           W    6                     0.005%            0.005%
15            W    6                     0.005%            0.005%
152           W    6                     0.005%            0.005%
960           W    5                     0.004%            0.004%
744           W    5                     0.004%            0.004%
536           W    5                     0.004%            0.004%
528           W    5                     0.004%            0.004%
456           W    5                     0.004%            0.004%
344           W    5                     0.004%            0.004%
320           W    5                     0.004%            0.004%
31            W    5                     0.004%            0.004%
224           W    5                     0.004%            0.004%
1008          W    5                     0.004%            0.004%
8             R    4                    40.000%            0.004%
880           W    4                     0.004%            0.004%
640           W    4                     0.004%            0.004%
592           W    4                     0.004%            0.004%
584           W    4                     0.004%            0.004%
576           W    4                     0.004%            0.004%
552           W    4                     0.004%            0.004%
520           W    4                     0.004%            0.004%
464           W    4                     0.004%            0.004%
376           W    4                     0.004%            0.004%
1             R    4                    40.000%            0.004%
776           W    3                     0.003%            0.003%
728           W    3                     0.003%            0.003%
656           W    3                     0.003%            0.003%
504           W    3                     0.003%            0.003%
488           W    3                     0.003%            0.003%
448           W    3                     0.003%            0.003%
440           W    3                     0.003%            0.003%
424           W    3                     0.003%            0.003%
33            W    3                     0.003%            0.003%
160           W    3                     0.003%            0.003%
712           W    2                     0.002%            0.002%
648           W    2                     0.002%            0.002%
624           W    2                     0.002%            0.002%
616           W    2                     0.002%            0.002%
608           W    2                     0.002%            0.002%
560           W    2                     0.002%            0.002%
544           W    2                     0.002%            0.002%
512           W    2                     0.002%            0.002%
480           W    2                     0.002%            0.002%
432           W    2                     0.002%            0.002%
400           W    2                     0.002%            0.002%
384           W    2                     0.002%            0.002%
37            W    2                     0.002%            0.002%
368           W    2                     0.002%            0.002%
360           W    2                     0.002%            0.002%
32            R    2                    20.000%            0.002%
328           W    2                     0.002%            0.002%
288           W    2                     0.002%            0.002%
136           W    2                     0.002%            0.002%
632           W    1                     0.001%            0.001%
600           W    1                     0.001%            0.001%
496           W    1                     0.001%            0.001%
472           W    1                     0.001%            0.001%
43            W    1                     0.001%            0.001%
41            W    1                     0.001%            0.001%
39            W    1                     0.001%            0.001%
392           W    1                     0.001%            0.001%
38            W    1                     0.001%            0.001%
36            W    1                     0.001%            0.001%
35            W    1                     0.001%            0.001%
336           W    1                     0.001%            0.001%
312           W    1                     0.001%            0.001%
304           W    1                     0.001%            0.001%
272           W    1                     0.001%            0.001%
264           W    1                     0.001%            0.001%
240           W    1                     0.001%            0.001%
208           W    1                     0.001%            0.001%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 10             [  0.009%]
Total write I/Os: 114154         [ 99.991%]
Total read sectors : 100         [  0.000%,       0.049MB]
Total write sectors: 102685503   [100.000%,   50139.406MB]
