Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    290717               42.760%           33.985%
1024          W    127830               72.817%           14.943%
16            R    100011               14.710%           11.691%
8             R    86121                12.667%           10.068%
256           R    37684                 5.543%            4.405%
40            R    32757                 4.818%            3.829%
8             W    24893                14.180%            2.910%
1016          W    20028                11.409%            2.341%
56            R    17511                 2.576%            2.047%
32            R    16869                 2.481%            1.972%
72            R    11822                 1.739%            1.382%
88            R    8784                  1.292%            1.027%
48            R    8631                  1.269%            1.009%
64            R    7126                  1.048%            0.833%
104           R    6825                  1.004%            0.798%
120           R    5154                  0.758%            0.603%
80            R    4891                  0.719%            0.572%
96            R    4208                  0.619%            0.492%
136           R    3954                  0.582%            0.462%
112           R    3254                  0.479%            0.380%
128           R    3205                  0.471%            0.375%
152           R    3043                  0.448%            0.356%
168           R    2446                  0.360%            0.286%
512           R    2336                  0.344%            0.273%
144           R    2289                  0.337%            0.268%
184           R    2227                  0.328%            0.260%
160           R    1982                  0.292%            0.232%
176           R    1743                  0.256%            0.204%
192           R    1714                  0.252%            0.200%
200           R    1687                  0.248%            0.197%
216           R    1557                  0.229%            0.182%
240           R    1510                  0.222%            0.177%
208           R    1488                  0.219%            0.174%
232           R    1268                  0.187%            0.148%
224           R    1223                  0.180%            0.143%
248           R    1092                  0.161%            0.128%
416           W    188                   0.107%            0.022%
408           W    151                   0.086%            0.018%
264           R    147                   0.022%            0.017%
296           R    142                   0.021%            0.017%
280           R    141                   0.021%            0.016%
768           W    131                   0.075%            0.015%
784           W    123                   0.070%            0.014%
312           R    116                   0.017%            0.014%
288           R    112                   0.016%            0.013%
272           R    112                   0.016%            0.013%
344           R    110                   0.016%            0.013%
304           R    108                   0.016%            0.013%
368           R    99                    0.015%            0.012%
328           R    99                    0.015%            0.012%
32            W    96                    0.055%            0.011%
3             W    95                    0.054%            0.011%
320           R    93                    0.014%            0.011%
400           R    92                    0.014%            0.011%
384           R    91                    0.013%            0.011%
424           R    90                    0.013%            0.011%
392           R    90                    0.013%            0.011%
456           R    83                    0.012%            0.010%
352           R    82                    0.012%            0.010%
64            W    80                    0.046%            0.009%
408           R    80                    0.012%            0.009%
448           R    79                    0.012%            0.009%
16            W    79                    0.045%            0.009%
376           R    78                    0.011%            0.009%
472           R    75                    0.011%            0.009%
360           R    74                    0.011%            0.009%
440           R    72                    0.011%            0.008%
336           R    72                    0.011%            0.008%
480           R    71                    0.010%            0.008%
464           R    67                    0.010%            0.008%
432           R    67                    0.010%            0.008%
416           R    66                    0.010%            0.008%
18            W    65                    0.037%            0.008%
488           R    60                    0.009%            0.007%
896           W    52                    0.030%            0.006%
19            W    49                    0.028%            0.006%
17            W    48                    0.027%            0.006%
112           W    48                    0.027%            0.006%
22            W    47                    0.027%            0.005%
496           R    46                    0.007%            0.005%
23            W    46                    0.026%            0.005%
120           W    46                    0.026%            0.005%
24            W    44                    0.025%            0.005%
21            W    41                    0.023%            0.005%
