Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    87018                78.303%           78.295%
8             W    12149                10.932%           10.931%
1016          W    10059                 9.052%            9.051%
32            W    79                    0.071%            0.071%
896           W    74                    0.067%            0.067%
48            W    74                    0.067%            0.067%
88            W    73                    0.066%            0.066%
968           W    72                    0.065%            0.065%
928           W    69                    0.062%            0.062%
112           W    69                    0.062%            0.062%
984           W    68                    0.061%            0.061%
120           W    68                    0.061%            0.061%
904           W    61                    0.055%            0.055%
64            W    44                    0.040%            0.040%
824           W    41                    0.037%            0.037%
816           W    40                    0.036%            0.036%
200           W    39                    0.035%            0.035%
192           W    38                    0.034%            0.034%
16            W    37                    0.033%            0.033%
3             W    36                    0.032%            0.032%
408           W    29                    0.026%            0.026%
416           W    24                    0.022%            0.022%
22            W    21                    0.019%            0.019%
24            W    19                    0.017%            0.017%
11            W    19                    0.017%            0.017%
14            W    18                    0.016%            0.016%
12            W    18                    0.016%            0.016%
4             W    17                    0.015%            0.015%
6             W    16                    0.014%            0.014%
18            W    16                    0.014%            0.014%
9             W    15                    0.013%            0.013%
13            W    15                    0.013%            0.013%
560           W    14                    0.013%            0.013%
2             W    14                    0.013%            0.013%
20            W    14                    0.013%            0.013%
5             W    13                    0.012%            0.012%
280           W    13                    0.012%            0.012%
1             W    13                    0.012%            0.012%
128           W    13                    0.012%            0.012%
10            W    13                    0.012%            0.012%
296           W    12                    0.011%            0.011%
23            W    12                    0.011%            0.011%
21            W    12                    0.011%            0.011%
15            W    12                    0.011%            0.011%
888           W    11                    0.010%            0.010%
80            W    11                    0.010%            0.010%
7             W    11                    0.010%            0.010%
720           W    11                    0.010%            0.010%
672           W    11                    0.010%            0.010%
576           W    11                    0.010%            0.010%
784           W    10                    0.009%            0.009%
25            W    10                    0.009%            0.009%
976           W    9                     0.008%            0.008%
96            W    9                     0.008%            0.008%
936           W    9                     0.008%            0.008%
768           W    9                     0.008%            0.008%
736           W    9                     0.008%            0.008%
696           W    9                     0.008%            0.008%
640           W    9                     0.008%            0.008%
40            W    9                     0.008%            0.008%
19            W    9                     0.008%            0.008%
168           W    9                     0.008%            0.008%
104           W    9                     0.008%            0.008%
952           W    8                     0.007%            0.007%
920           W    8                     0.007%            0.007%
912           W    8                     0.007%            0.007%
352           W    8                     0.007%            0.007%
848           W    7                     0.006%            0.006%
792           W    7                     0.006%            0.006%
552           W    7                     0.006%            0.006%
424           W    7                     0.006%            0.006%
256           W    7                     0.006%            0.006%
248           W    7                     0.006%            0.006%
224           W    7                     0.006%            0.006%
184           W    7                     0.006%            0.006%
17            W    7                     0.006%            0.006%
