Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    242777               41.911%           32.095%
1024          W    128835               72.718%           17.032%
16            R    84475                14.583%           11.168%
8             R    71323                12.313%            9.429%
256           R    41864                 7.227%            5.534%
8             W    25145                14.193%            3.324%
40            R    24906                 4.300%            3.293%
1016          W    20148                11.372%            2.664%
56            R    14289                 2.467%            1.889%
32            R    14284                 2.466%            1.888%
72            R    9984                  1.724%            1.320%
88            R    7947                  1.372%            1.051%
48            R    6821                  1.178%            0.902%
64            R    6349                  1.096%            0.839%
104           R    6285                  1.085%            0.831%
120           R    4756                  0.821%            0.629%
80            R    4185                  0.722%            0.553%
96            R    3711                  0.641%            0.491%
136           R    3647                  0.630%            0.482%
128           R    3114                  0.538%            0.412%
112           R    3019                  0.521%            0.399%
152           R    2918                  0.504%            0.386%
168           R    2370                  0.409%            0.313%
144           R    2246                  0.388%            0.297%
184           R    1974                  0.341%            0.261%
160           R    1806                  0.312%            0.239%
200           R    1675                  0.289%            0.221%
176           R    1667                  0.288%            0.220%
192           R    1538                  0.266%            0.203%
216           R    1432                  0.247%            0.189%
240           R    1323                  0.228%            0.175%
208           R    1247                  0.215%            0.165%
224           R    1158                  0.200%            0.153%
232           R    1096                  0.189%            0.145%
248           R    910                   0.157%            0.120%
512           R    648                   0.112%            0.086%
416           W    190                   0.107%            0.025%
408           W    158                   0.089%            0.021%
32            W    139                   0.078%            0.018%
264           R    138                   0.024%            0.018%
280           R    130                   0.022%            0.017%
768           W    117                   0.066%            0.015%
3             W    109                   0.062%            0.014%
784           W    104                   0.059%            0.014%
296           R    103                   0.018%            0.014%
64            W    95                    0.054%            0.013%
16            W    94                    0.053%            0.012%
312           R    84                    0.015%            0.011%
288           R    84                    0.015%            0.011%
272           R    80                    0.014%            0.011%
328           R    79                    0.014%            0.010%
23            W    78                    0.044%            0.010%
896           W    73                    0.041%            0.010%
120           W    72                    0.041%            0.010%
