procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PST
 1  1       998320      1836752        45044     63320684    0    0   386  1252    0    1   1   0  92   7   0 2018-11-07 18:50:56
 3  1       998316      6195328        45196     58945636    0    0 84512     6 4146 8482   5   3  89   3   0 2018-11-07 18:50:59
 3  0       998316     22533480        45216     42604472    0    0 91945   121 4670 8495   3   5  90   3   0 2018-11-07 18:51:02
 1  3       998316     22394412        45244     42732144    0    0 21292 44260 2892 5311   1   1  90   8   0 2018-11-07 18:51:05
 0  2       998316     22379828        45248     42750152    0    0  2987 81637 2260 3880   0   0  91   9   0 2018-11-07 18:51:08
 0  2       998316     22367132        45260     42764644    0    0  2475 83031 2121 4505   0   0  90  10   0 2018-11-07 18:51:11
 0  2       998316     22337696        45268     42795692    0    0  5205 75776 2775 5014   0   0  91   8   0 2018-11-07 18:51:14
 0  3       998316     22319172        45284     42816872    0    0  3456 69187 2326 5456   0   0  89  10   0 2018-11-07 18:51:17
 0  3       998316     22297604        45292     42839544    0    0  3840 77443 2702 4859   0   0  91   8   0 2018-11-07 18:51:20
 0  2       998316     22279996        45300     42859444    0    0  3285 62573 2506 4492   0   0  94   6   0 2018-11-07 18:51:23
 1  2       998316     22116508        46416     43017924    0    0 27285 23813 3044 5857   1   0  92   6   0 2018-11-07 18:51:26
 1  2       998316     21918736        46488     43215092    0    0 33956 33312 3465 6987   1   0  94   4   0 2018-11-07 18:51:29
 0  2       998316     21555192        46488     43578716    0    0 60373 38879 2547 6094   2   1  92   6   0 2018-11-07 18:51:32
 0  2       998316     21390300        46520     43745700    0    0 28296 53388 2371 4440   1   0  92   6   0 2018-11-07 18:51:35
 1  3       998316     21181180        46560     43954816    0    0 35299 24767 2873 5958   1   0  93   6   0 2018-11-07 18:51:38
 2  2       998316     20809136        45540     44326856    0    0 62196 20140 3266 7390   2   1  91   7   0 2018-11-07 18:51:41
 1  2       998316     20630052        46616     44502932    0    0 29597 59285 2426 4916   1   0  92   7   0 2018-11-07 18:51:44
 0  2       998316     20408460        45588     44727156    0    0 37464 39145 2993 6120   1   0  92   7   0 2018-11-07 18:51:47
 1  1       998316     20220544        45616     44916040    0    0 31929 41064 2712 4975   1   0  92   6   0 2018-11-07 18:51:50
 0  2       998316     19993688        46676     45141708    0    0 37731 43991 2966 6141   1   0  93   5   0 2018-11-07 18:51:53
 0  2       998316     19647704        46852     45487052    0    0 58023 16257 3447 6395   2   1  91   6   0 2018-11-07 18:51:56
 0  2       998316     19524040        46860     45610588    0    0 20523 67067 2567 3767   1   0  91   8   0 2018-11-07 18:51:59
 0  2       998316     19337356        45856     45796720    0    0 31497 31203 3325 5523   1   0  91   7   0 2018-11-07 18:52:02
 0  2       998316     19136668        46972     45995972    0    0 34169 31047 3697 6422   1   0  92   7   0 2018-11-07 18:52:05
 0  2       998316     18857336        45928     46277192    0    0 46805 41235 3149 5394   1   1  91   8   0 2018-11-07 18:52:08
 0  2       998316     18610696        46988     46523244    0    0 41357 43121 2237 5138   1   0  92   6   0 2018-11-07 18:52:11
 1  1       998316     18396036        47056     46738816    0    0 14317 45340 2521 7946   2   1  93   5   0 2018-11-07 18:52:14
 1  1       998316     18004868        47076     47129592    0    0     3 72895 1849 10688   4   1  92   4   0 2018-11-07 18:52:17
 2  1       998316     17607256        47096     47528268    0    0     3 75777 1818 10760   4   1  92   4   0 2018-11-07 18:52:20
 1  2       998316     17212492        47112     47922408    0    0     1 75808 1889 12745   3   1  89   7   0 2018-11-07 18:52:23
 0  3       998316     17199312        47376     47937988    0    0    88 63167 1897 3207   1   0  93   6   0 2018-11-07 18:52:26
 0  2       998316     17200924        46356     47938016    0    0    36 85408 1667 2319   0   0  91   9   0 2018-11-07 18:52:30
 1  2       998316     17197544        47868     47939184    0    0   672 46567 1678 2381   0   0  92   8   0 2018-11-07 18:52:33
 0  2       998316     17189644        47232     47941172    0    0 16660  1223 4710 5569   1   1  95   3   0 2018-11-07 18:52:36
 0  1       998316     17183400        48276     47941028    0    0 27452    39 6918 7498   0   2  95   3   0 2018-11-07 18:52:39
 0  1       998316     17183992        47284     47941464    0    0 26124    48 6770 7431   1   2  95   3   0 2018-11-07 18:52:42
 0  1       998316     17184452        48152     47940916    0    0 27344    64 6932 7614   0   2  95   3   0 2018-11-07 18:52:45
 0  1       998316     17183104        48416     47941200    0    0 28533    27 7136 7790   0   2  95   3   0 2018-11-07 18:52:48
 1  1       998316     17185920        47468     47941740    0    0 27173   133 6936 7839   0   2  95   3   0 2018-11-07 18:52:51
 0  1       998316     17184400        47488     47941904    0    0 28411    45 7120 7624   0   2  95   3   0 2018-11-07 18:52:54
 0  1       998316     17182320        47616     47941456    0    0 23653   215 6293 7019   0   1  95   3   0 2018-11-07 18:52:57
 0  1       998316     17182432        48904     47940944    0    0 13056   613 4681 5876   0   1  96   3   0 2018-11-07 18:53:00
 2  0       998316     17182968        49072     47941852    0    0 28621    28 7225 7711   0   2  95   3   0 2018-11-07 18:53:03
 1  1       998316     17183548        48128     47941796    0    0 26284   131 6873 7469   0   2  95   3   0 2018-11-07 18:53:06
 0  1       998316     17180920        49176     47941244    0    0 27791    43 7113 7641   0   2  95   3   0 2018-11-07 18:53:09
 1  1       998316     17181588        48352     47941664    0    0 28211    28 7071 7600   0   2  95   3   0 2018-11-07 18:53:12
 0  1       998316     17181348        48908     47941764    0    0 28200    51 7083 7548   0   2  95   3   0 2018-11-07 18:53:15
 0  1       998316     17181956        49056     47941940    0    0 28200    37 7018 7650   0   2  95   3   0 2018-11-07 18:53:18
 1  1       998316     17183572        48880     47941692    0    0 26443   140 6685 7827   0   2  95   3   0 2018-11-07 18:53:21
 1  1       998316     17183452        49288     47941844    0    0 26776    52 6856 7403   0   2  95   3   0 2018-11-07 18:53:24
 1  1       998316     17181436        49456     47942504    0    0 28508    33 7004 7511   0   2  95   3   0 2018-11-07 18:53:27
 0  2       998316     17180752        49628     47942392    0    0 22177   311 6134 6962   0   1  95   3   0 2018-11-07 18:53:30
 1  0       998316     17180236        48868     47941288    0    0 16696   488 5107 6158   0   1  95   3   0 2018-11-07 18:53:33
 3  0       998316     17180324        48920     47941812    0    0 27611   113 6893 7468   0   2  95   3   0 2018-11-07 18:53:36
 0  1       998316     17179908        50004     47941440    0    0 28956    45 7213 7618   0   2  95   3   0 2018-11-07 18:53:39
 0  1       998316     17178956        49812     47941512    0    0 28519    28 7087 7664   0   2  95   3   0 2018-11-07 18:53:42
 1  1       998316     17181880        49076     47941796    0    0 27513    48 6834 7364   1   2  95   3   0 2018-11-07 18:53:45
 2  0       998316     17181596        49080     47942072    0    0 28716    37 7224 7704   0   2  94   3   0 2018-11-07 18:53:48
 0  1       998316     17178100        49696     47942160    0    0 28353    35 7099 7696   1   2  95   3   0 2018-11-07 18:53:51
 0  1       998316     17180316        49164     47941636    0    0 26723    43 6927 7603   0   2  95   3   0 2018-11-07 18:53:54
 0  1       998316     17182752        49228     47941832    0    0 28199   125 7104 8029   1   2  95   3   0 2018-11-07 18:53:57
 0  1       998316     17181536        49268     47941200    0    0 28623    56 7045 7547   0   2  95   3   0 2018-11-07 18:54:00
 0  0       998316     17181800        50564     47942192    0    0 19103   428 5661 6654   0   1  95   3   0 2018-11-07 18:54:03
 0  1       998316     17180084        50424     47941412    0    0 19355   437 5617 6607   0   1  95   3   0 2018-11-07 18:54:06
 0  1       998316     17181260        49784     47941644    0    0 28207    44 7059 7608   0   2  95   3   0 2018-11-07 18:54:09
 2  0       998316     17182524        49852     47941704    0    0 26404    56 6873 7460   1   2  95   3   0 2018-11-07 18:54:12
 0  0       998316     16776508        49828     48351808    0    0 22035  4659 6127 6729   1   2  95   2   0 2018-11-07 18:54:15
 0  0       998316     16778244        49828     48351984    0    0     0 301739 7167 7136   0   0 100   0   0 2018-11-07 18:54:18
 0  0       998316     16780948        49840     48352016    0    0     0 301129 6372 7015   0   0  99   0   0 2018-11-07 18:54:21
 1  0       998316     16784096        49840     48352008    0    0     0 303104 6391 7060   0   0 100   0   0 2018-11-07 18:54:24
 0  0       998316     16786612        49848     48352000    0    0     0 308076 6576 7198   0   0  99   0   0 2018-11-07 18:54:27
 0  0       998316     16789068        49848     48352008    0    0     0 303940 6569 7168   0   0  99   0   0 2018-11-07 18:54:30
 0  0       998316     16790760        49856     48352024    0    0     0 303243 6488 7546   0   0  99   0   0 2018-11-07 18:54:33
 0  0       998316     16790180        49856     48352076    0    0     0 303516 7131 7801   0   0  99   0   0 2018-11-07 18:54:36
 0  0       998316     16791004        49864     48352068    0    0     0 304044 7237 7255   0   0  99   0   0 2018-11-07 18:54:39
 0  0       998316     16791360        49872     48352084    0    0     0 307156 7144 7120   0   0 100   0   0 2018-11-07 18:54:42
 0  0       998316     16791592        49872     48352148    0    0     0 302891 7035 7053   0   0 100   0   0 2018-11-07 18:54:45
 0  0       998316     16791872        49880     48352140    0    0     0 305029 6708 7079   0   0 100   0   0 2018-11-07 18:54:48
 0  0       998316     16791884        49880     48352200    0    0     0 302549 6404 7022   0   0 100   0   0 2018-11-07 18:54:51
 0  0       998316     16792080        49888     48352152    0    0     0 302640 6411 7034   0   0  99   0   0 2018-11-07 18:54:54
 0  0       998316     16792328        49888     48352164    0    0     0 303403 6403 7029   0   0 100   0   0 2018-11-07 18:54:57
 1  0       998316     16792204        49896     48352152    0    0     0 301401 6369 7034   0   0 100   0   0 2018-11-07 18:55:00
 1  0       998316     16792064        49896     48352156    0    0     0 301184 6477 7125   0   0 100   0   0 2018-11-07 18:55:03
 0  0       998316     16792564        49904     48352092    0    0     0 302099 6488 7109   0   0  99   0   0 2018-11-07 18:55:06
 0  0       998316     16791936        49904     48352128    0    0     0 299307 6986 8319   0   0  99   0   0 2018-11-07 18:55:09
