Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/sdb/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    1332628              58.327%           53.655%
16            R    450266               19.707%           18.129%
8             R    160749                7.036%            6.472%
1024          W    144848               72.803%            5.832%
40            R    51037                 2.234%            2.055%
32            R    40355                 1.766%            1.625%
56            R    37897                 1.659%            1.526%
8             W    28883                14.517%            1.163%
72            R    28424                 1.244%            1.144%
88            R    22481                 0.984%            0.905%
1016          W    21072                10.591%            0.848%
104           R    17209                 0.753%            0.693%
256           R    14451                 0.632%            0.582%
120           R    13731                 0.601%            0.553%
48            R    13262                 0.580%            0.534%
64            R    12649                 0.554%            0.509%
136           R    10009                 0.438%            0.403%
80            R    8831                  0.387%            0.356%
152           R    7684                  0.336%            0.309%
96            R    7321                  0.320%            0.295%
112           R    6284                  0.275%            0.253%
128           R    5879                  0.257%            0.237%
168           R    5832                  0.255%            0.235%
184           R    4510                  0.197%            0.182%
144           R    4177                  0.183%            0.168%
200           R    3405                  0.149%            0.137%
160           R    3401                  0.149%            0.137%
216           R    3194                  0.140%            0.129%
176           R    2919                  0.128%            0.118%
192           R    2895                  0.127%            0.117%
208           R    2190                  0.096%            0.088%
232           R    2013                  0.088%            0.081%
240           R    1781                  0.078%            0.072%
224           R    1665                  0.073%            0.067%
248           R    1531                  0.067%            0.062%
264           R    483                   0.021%            0.019%
280           R    401                   0.018%            0.016%
296           R    311                   0.014%            0.013%
512           R    277                   0.012%            0.011%
272           R    264                   0.012%            0.011%
312           R    256                   0.011%            0.010%
408           W    248                   0.125%            0.010%
64            W    237                   0.119%            0.010%
32            W    219                   0.110%            0.009%
416           W    215                   0.108%            0.009%
288           R    207                   0.009%            0.008%
328           R    178                   0.008%            0.007%
344           R    174                   0.008%            0.007%
304           R    170                   0.007%            0.007%
336           R    165                   0.007%            0.007%
16            W    157                   0.079%            0.006%
320           R    148                   0.006%            0.006%
3             W    141                   0.071%            0.006%
360           R    121                   0.005%            0.005%
352           R    114                   0.005%            0.005%
424           W    101                   0.051%            0.004%
376           R    96                    0.004%            0.004%
368           R    88                    0.004%            0.004%
13            W    87                    0.044%            0.004%
400           W    83                    0.042%            0.003%
24            W    82                    0.041%            0.003%
384           R    81                    0.004%            0.003%
23            W    81                    0.041%            0.003%
22            W    80                    0.040%            0.003%
1             W    77                    0.039%            0.003%
392           R    74                    0.003%            0.003%
26            W    74                    0.037%            0.003%
25            W    70                    0.035%            0.003%
96            W    69                    0.035%            0.003%
21            W    69                    0.035%            0.003%
744           W    66                    0.033%            0.003%
27            W    60                    0.030%            0.002%
120           W    60                    0.030%            0.002%
408           R    59                    0.003%            0.002%
952           W    58                    0.029%            0.002%
896           W    58                    0.029%            0.002%
20            W    57                    0.029%            0.002%
424           R    56                    0.002%            0.002%
128           W    56                    0.028%            0.002%
904           W    55                    0.028%            0.002%
920           W    54                    0.027%            0.002%
888           W    54                    0.027%            0.002%
112           W    54                    0.027%            0.002%
29            W    53                    0.027%            0.002%
400           R    50                    0.002%            0.002%
30            W    50                    0.025%            0.002%
416           R    49                    0.002%            0.002%
18            W    48                    0.024%            0.002%
19            W    46                    0.023%            0.002%
2             W    43                    0.022%            0.002%
432           R    39                    0.002%            0.002%
17            W    39                    0.020%            0.002%
392           W    38                    0.019%            0.002%
456           R    36                    0.002%            0.001%
28            W    36                    0.018%            0.001%
14            W    35                    0.018%            0.001%
448           R    34                    0.001%            0.001%
10            W    34                    0.017%            0.001%
472           R    32                    0.001%            0.001%
440           R    32                    0.001%            0.001%
712           W    30                    0.015%            0.001%
4             W    30                    0.015%            0.001%
736           W    29                    0.015%            0.001%
72            W    29                    0.015%            0.001%
464           R    29                    0.001%            0.001%
9             W    28                    0.014%            0.001%
40            W    27                    0.014%            0.001%
728           W    26                    0.013%            0.001%
31            W    25                    0.013%            0.001%
12            W    25                    0.013%            0.001%
11            W    25                    0.013%            0.001%
720           W    22                    0.011%            0.001%
480           R    22                    0.001%            0.001%
5             W    21                    0.011%            0.001%
38            W    21                    0.011%            0.001%
48            W    20                    0.010%            0.001%
752           W    19                    0.010%            0.001%
504           R    19                    0.001%            0.001%
136           W    18                    0.009%            0.001%
7             W    17                    0.009%            0.001%
56            W    17                    0.009%            0.001%
6             W    16                    0.008%            0.001%
34            W    16                    0.008%            0.001%
15            W    15                    0.008%            0.001%
768           W    14                    0.007%            0.001%
36            W    14                    0.007%            0.001%
35            W    14                    0.007%            0.001%
37            W    13                    0.007%            0.001%
33            W    13                    0.007%            0.001%
504           W    11                    0.006%            0.000%
39            W    11                    0.006%            0.000%
640           W    9                     0.005%            0.000%
88            W    8                     0.004%            0.000%
840           W    8                     0.004%            0.000%
760           W    8                     0.004%            0.000%
496           R    8                     0.000%            0.000%
488           R    8                     0.000%            0.000%
176           W    8                     0.004%            0.000%
152           W    8                     0.004%            0.000%
1008          W    8                     0.004%            0.000%
80            W    7                     0.004%            0.000%
792           W    7                     0.004%            0.000%
776           W    7                     0.004%            0.000%
632           W    7                     0.004%            0.000%
43            W    7                     0.004%            0.000%
432           W    7                     0.004%            0.000%
200           W    7                     0.004%            0.000%
1             R    7                     0.000%            0.000%
160           W    7                     0.004%            0.000%
984           W    6                     0.003%            0.000%
880           W    6                     0.003%            0.000%
864           W    6                     0.003%            0.000%
856           W    6                     0.003%            0.000%
848           W    6                     0.003%            0.000%
784           W    6                     0.003%            0.000%
608           W    6                     0.003%            0.000%
49            W    6                     0.003%            0.000%
46            W    6                     0.003%            0.000%
45            W    6                     0.003%            0.000%
448           W    6                     0.003%            0.000%
42            W    6                     0.003%            0.000%
344           W    6                     0.003%            0.000%
288           W    6                     0.003%            0.000%
232           W    6                     0.003%            0.000%
960           W    5                     0.003%            0.000%
928           W    5                     0.003%            0.000%
912           W    5                     0.003%            0.000%
592           W    5                     0.003%            0.000%
512           W    5                     0.003%            0.000%
464           W    5                     0.003%            0.000%
41            W    5                     0.003%            0.000%
328           W    5                     0.003%            0.000%
320           W    5                     0.003%            0.000%
280           W    5                     0.003%            0.000%
256           W    5                     0.003%            0.000%
216           W    5                     0.003%            0.000%
144           W    5                     0.003%            0.000%
976           W    4                     0.002%            0.000%
968           W    4                     0.002%            0.000%
936           W    4                     0.002%            0.000%
816           W    4                     0.002%            0.000%
696           W    4                     0.002%            0.000%
688           W    4                     0.002%            0.000%
664           W    4                     0.002%            0.000%
616           W    4                     0.002%            0.000%
552           W    4                     0.002%            0.000%
544           W    4                     0.002%            0.000%
53            W    4                     0.002%            0.000%
536           W    4                     0.002%            0.000%
51            W    4                     0.002%            0.000%
496           W    4                     0.002%            0.000%
47            W    4                     0.002%            0.000%
456           W    4                     0.002%            0.000%
44            W    4                     0.002%            0.000%
360           W    4                     0.002%            0.000%
312           W    4                     0.002%            0.000%
264           W    4                     0.002%            0.000%
192           W    4                     0.002%            0.000%
104           W    4                     0.002%            0.000%
