Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/sdb/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    219693               78.058%           78.055%
8             W    30716                10.914%           10.913%
1016          W    24177                 8.590%            8.590%
3             W    667                   0.237%            0.237%
896           W    410                   0.146%            0.146%
32            W    410                   0.146%            0.146%
416           W    254                   0.090%            0.090%
408           W    223                   0.079%            0.079%
48            W    217                   0.077%            0.077%
968           W    208                   0.074%            0.074%
928           W    206                   0.073%            0.073%
88            W    206                   0.073%            0.073%
984           W    205                   0.073%            0.073%
120           W    205                   0.073%            0.073%
112           W    204                   0.072%            0.072%
16            W    199                   0.071%            0.071%
824           W    179                   0.064%            0.064%
192           W    174                   0.062%            0.062%
19            W    140                   0.050%            0.050%
6             W    121                   0.043%            0.043%
12            W    119                   0.042%            0.042%
7             W    108                   0.038%            0.038%
464           W    107                   0.038%            0.038%
600           W    106                   0.038%            0.038%
15            W    106                   0.038%            0.038%
2             W    104                   0.037%            0.037%
17            W    96                    0.034%            0.034%
24            W    95                    0.034%            0.034%
18            W    92                    0.033%            0.033%
760           W    91                    0.032%            0.032%
14            W    90                    0.032%            0.032%
13            W    80                    0.028%            0.028%
23            W    79                    0.028%            0.028%
21            W    79                    0.028%            0.028%
20            W    79                    0.028%            0.028%
25            W    72                    0.026%            0.026%
768           W    64                    0.023%            0.023%
22            W    61                    0.022%            0.022%
10            W    60                    0.021%            0.021%
64            W    57                    0.020%            0.020%
11            W    56                    0.020%            0.020%
752           W    52                    0.018%            0.018%
26            W    45                    0.016%            0.016%
816           W    39                    0.014%            0.014%
28            W    33                    0.012%            0.012%
200           W    33                    0.012%            0.012%
5             W    32                    0.011%            0.011%
27            W    29                    0.010%            0.010%
1             W    29                    0.010%            0.010%
9             W    27                    0.010%            0.010%
728           W    26                    0.009%            0.009%
56            W    26                    0.009%            0.009%
30            W    24                    0.009%            0.009%
744           W    20                    0.007%            0.007%
776           W    19                    0.007%            0.007%
29            W    19                    0.007%            0.007%
72            W    16                    0.006%            0.006%
584           W    14                    0.005%            0.005%
80            W    13                    0.005%            0.005%
592           W    13                    0.005%            0.005%
96            W    12                    0.004%            0.004%
840           W    12                    0.004%            0.004%
736           W    12                    0.004%            0.004%
832           W    10                    0.004%            0.004%
800           W    10                    0.004%            0.004%
40            W    10                    0.004%            0.004%
576           W    9                     0.003%            0.003%
520           W    8                     0.003%            0.003%
240           W    8                     0.003%            0.003%
848           W    7                     0.002%            0.002%
808           W    7                     0.002%            0.002%
792           W    7                     0.002%            0.002%
720           W    7                     0.002%            0.002%
688           W    7                     0.002%            0.002%
560           W    7                     0.002%            0.002%
456           W    7                     0.002%            0.002%
280           W    7                     0.002%            0.002%
8             R    6                    42.857%            0.002%
712           W    6                     0.002%            0.002%
31            W    6                     0.002%            0.002%
1             R    6                    42.857%            0.002%
952           W    5                     0.002%            0.002%
880           W    5                     0.002%            0.002%
856           W    5                     0.002%            0.002%
568           W    5                     0.002%            0.002%
504           W    5                     0.002%            0.002%
4             W    5                     0.002%            0.002%
784           W    4                     0.001%            0.001%
680           W    4                     0.001%            0.001%
608           W    4                     0.001%            0.001%
552           W    4                     0.001%            0.001%
544           W    4                     0.001%            0.001%
496           W    4                     0.001%            0.001%
336           W    4                     0.001%            0.001%
184           W    4                     0.001%            0.001%
992           W    3                     0.001%            0.001%
936           W    3                     0.001%            0.001%
920           W    3                     0.001%            0.001%
888           W    3                     0.001%            0.001%
656           W    3                     0.001%            0.001%
640           W    3                     0.001%            0.001%
632           W    3                     0.001%            0.001%
512           W    3                     0.001%            0.001%
448           W    3                     0.001%            0.001%
376           W    3                     0.001%            0.001%
33            W    3                     0.001%            0.001%
272           W    3                     0.001%            0.001%
208           W    3                     0.001%            0.001%
960           W    2                     0.001%            0.001%
904           W    2                     0.001%            0.001%
872           W    2                     0.001%            0.001%
696           W    2                     0.001%            0.001%
672           W    2                     0.001%            0.001%
664           W    2                     0.001%            0.001%
648           W    2                     0.001%            0.001%
624           W    2                     0.001%            0.001%
480           W    2                     0.001%            0.001%
432           W    2                     0.001%            0.001%
384           W    2                     0.001%            0.001%
368           W    2                     0.001%            0.001%
360           W    2                     0.001%            0.001%
32            R    2                    14.286%            0.001%
256           W    2                     0.001%            0.001%
248           W    2                     0.001%            0.001%
232           W    2                     0.001%            0.001%
168           W    2                     0.001%            0.001%
152           W    2                     0.001%            0.001%
