Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/sdc/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    2200007              62.919%           59.556%
16            R    476122               13.617%           12.889%
8             R    334916                9.578%            9.066%
1024          W    143787               72.823%            3.892%
256           R    59875                 1.712%            1.621%
32            R    55367                 1.583%            1.499%
40            R    43157                 1.234%            1.168%
56            R    29732                 0.850%            0.805%
8             W    28700                14.535%            0.777%
72            R    22664                 0.648%            0.614%
1016          W    20832                10.551%            0.564%
88            R    19304                 0.552%            0.523%
104           R    16784                 0.480%            0.454%
64            R    15226                 0.435%            0.412%
120           R    15136                 0.433%            0.410%
48            R    14544                 0.416%            0.394%
136           R    12887                 0.369%            0.349%
152           R    11514                 0.329%            0.312%
80            R    11228                 0.321%            0.304%
128           R    10229                 0.293%            0.277%
96            R    10202                 0.292%            0.276%
168           R    9881                  0.283%            0.267%
512           R    9792                  0.280%            0.265%
112           R    9616                  0.275%            0.260%
184           R    8552                  0.245%            0.232%
144           R    7963                  0.228%            0.216%
200           R    7716                  0.221%            0.209%
160           R    7417                  0.212%            0.201%
216           R    7332                  0.210%            0.198%
192           R    7101                  0.203%            0.192%
176           R    6743                  0.193%            0.183%
240           R    6181                  0.177%            0.167%
232           R    6169                  0.176%            0.167%
208           R    5902                  0.169%            0.160%
248           R    5487                  0.157%            0.149%
224           R    5372                  0.154%            0.145%
264           R    1692                  0.048%            0.046%
280           R    1506                  0.043%            0.041%
296           R    1384                  0.040%            0.037%
272           R    1258                  0.036%            0.034%
312           R    1213                  0.035%            0.033%
288           R    1144                  0.033%            0.031%
328           R    1138                  0.033%            0.031%
344           R    1127                  0.032%            0.031%
304           R    1118                  0.032%            0.030%
360           R    975                   0.028%            0.026%
336           R    962                   0.028%            0.026%
320           R    943                   0.027%            0.026%
376           R    893                   0.026%            0.024%
352           R    858                   0.025%            0.023%
368           R    837                   0.024%            0.023%
392           R    816                   0.023%            0.022%
408           R    787                   0.023%            0.021%
384           R    779                   0.022%            0.021%
400           R    717                   0.021%            0.019%
440           R    689                   0.020%            0.019%
424           R    672                   0.019%            0.018%
432           R    665                   0.019%            0.018%
416           R    654                   0.019%            0.018%
456           R    597                   0.017%            0.016%
448           R    545                   0.016%            0.015%
472           R    534                   0.015%            0.014%
464           R    531                   0.015%            0.014%
480           R    507                   0.015%            0.014%
488           R    367                   0.010%            0.010%
496           R    303                   0.009%            0.008%
408           W    249                   0.126%            0.007%
64            W    215                   0.109%            0.006%
32            W    214                   0.108%            0.006%
504           R    212                   0.006%            0.006%
416           W    197                   0.100%            0.005%
16            W    152                   0.077%            0.004%
3             W    144                   0.073%            0.004%
400           W    92                    0.047%            0.002%
24            W    92                    0.047%            0.002%
22            W    89                    0.045%            0.002%
25            W    81                    0.041%            0.002%
1             W    78                    0.040%            0.002%
96            W    74                    0.037%            0.002%
23            W    74                    0.037%            0.002%
424           W    71                    0.036%            0.002%
26            W    67                    0.034%            0.002%
744           W    65                    0.033%            0.002%
128           W    65                    0.033%            0.002%
920           W    62                    0.031%            0.002%
21            W    59                    0.030%            0.002%
896           W    58                    0.029%            0.002%
27            W    57                    0.029%            0.002%
904           W    56                    0.028%            0.002%
120           W    56                    0.028%            0.002%
28            W    55                    0.028%            0.001%
14            W    55                    0.028%            0.001%
13            W    55                    0.028%            0.001%
112           W    55                    0.028%            0.001%
888           W    53                    0.027%            0.001%
952           W    51                    0.026%            0.001%
20            W    50                    0.025%            0.001%
2             W    40                    0.020%            0.001%
29            W    38                    0.019%            0.001%
30            W    37                    0.019%            0.001%
12            W    37                    0.019%            0.001%
392           W    36                    0.018%            0.001%
19            W    35                    0.018%            0.001%
4             W    34                    0.017%            0.001%
736           W    33                    0.017%            0.001%
40            W    33                    0.017%            0.001%
728           W    32                    0.016%            0.001%
15            W    30                    0.015%            0.001%
48            W    29                    0.015%            0.001%
720           W    28                    0.014%            0.001%
18            W    28                    0.014%            0.001%
35            W    27                    0.014%            0.001%
31            W    26                    0.013%            0.001%
34            W    25                    0.013%            0.001%
17            W    25                    0.013%            0.001%
11            W    25                    0.013%            0.001%
10            W    24                    0.012%            0.001%
88            W    23                    0.012%            0.001%
7             W    23                    0.012%            0.001%
5             W    23                    0.012%            0.001%
72            W    20                    0.010%            0.001%
9             W    19                    0.010%            0.001%
768           W    19                    0.010%            0.001%
6             W    19                    0.010%            0.001%
33            W    19                    0.010%            0.001%
136           W    16                    0.008%            0.000%
56            W    15                    0.008%            0.000%
752           W    13                    0.007%            0.000%
39            W    13                    0.007%            0.000%
38            W    13                    0.007%            0.000%
37            W    13                    0.007%            0.000%
448           W    12                    0.006%            0.000%
160           W    12                    0.006%            0.000%
784           W    11                    0.006%            0.000%
712           W    11                    0.006%            0.000%
976           W    9                     0.005%            0.000%
80            W    9                     0.005%            0.000%
800           W    9                     0.005%            0.000%
672           W    9                     0.005%            0.000%
1             R    9                     0.000%            0.000%
464           W    8                     0.004%            0.000%
36            W    8                     0.004%            0.000%
264           W    8                     0.004%            0.000%
992           W    7                     0.004%            0.000%
984           W    7                     0.004%            0.000%
928           W    7                     0.004%            0.000%
912           W    7                     0.004%            0.000%
704           W    7                     0.004%            0.000%
608           W    7                     0.004%            0.000%
352           W    7                     0.004%            0.000%
344           W    7                     0.004%            0.000%
288           W    7                     0.004%            0.000%
168           W    7                     0.004%            0.000%
944           W    6                     0.003%            0.000%
880           W    6                     0.003%            0.000%
632           W    6                     0.003%            0.000%
520           W    6                     0.003%            0.000%
480           W    6                     0.003%            0.000%
47            W    6                     0.003%            0.000%
440           W    6                     0.003%            0.000%
432           W    6                     0.003%            0.000%
42            W    6                     0.003%            0.000%
360           W    6                     0.003%            0.000%
312           W    6                     0.003%            0.000%
296           W    6                     0.003%            0.000%
256           W    6                     0.003%            0.000%
240           W    6                     0.003%            0.000%
224           W    6                     0.003%            0.000%
104           W    6                     0.003%            0.000%
968           W    5                     0.003%            0.000%
872           W    5                     0.003%            0.000%
848           W    5                     0.003%            0.000%
840           W    5                     0.003%            0.000%
688           W    5                     0.003%            0.000%
656           W    5                     0.003%            0.000%
616           W    5                     0.003%            0.000%
592           W    5                     0.003%            0.000%
45            W    5                     0.003%            0.000%
336           W    5                     0.003%            0.000%
304           W    5                     0.003%            0.000%
216           W    5                     0.003%            0.000%
