Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/sdd/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    2147553              63.197%           59.481%
16            R    456454               13.432%           12.643%
8             R    274961                8.091%            7.616%
1024          W    154163               72.631%            4.270%
256           R    65390                 1.924%            1.811%
32            R    51874                 1.527%            1.437%
40            R    38325                 1.128%            1.061%
8             W    30955                14.584%            0.857%
56            R    28041                 0.825%            0.777%
1016          W    22764                10.725%            0.631%
72            R    22312                 0.657%            0.618%
512           R    19350                 0.569%            0.536%
88            R    19248                 0.566%            0.533%
104           R    16975                 0.500%            0.470%
120           R    15893                 0.468%            0.440%
64            R    15505                 0.456%            0.429%
48            R    14259                 0.420%            0.395%
136           R    13676                 0.402%            0.379%
152           R    12084                 0.356%            0.335%
80            R    11825                 0.348%            0.328%
128           R    11159                 0.328%            0.309%
96            R    10934                 0.322%            0.303%
168           R    10683                 0.314%            0.296%
112           R    10224                 0.301%            0.283%
184           R    9477                  0.279%            0.262%
144           R    8625                  0.254%            0.239%
200           R    8492                  0.250%            0.235%
216           R    8239                  0.242%            0.228%
160           R    8140                  0.240%            0.225%
192           R    7980                  0.235%            0.221%
176           R    7769                  0.229%            0.215%
232           R    7055                  0.208%            0.195%
240           R    6968                  0.205%            0.193%
208           R    6590                  0.194%            0.183%
248           R    6358                  0.187%            0.176%
224           R    6125                  0.180%            0.170%
264           R    2327                  0.068%            0.064%
280           R    2106                  0.062%            0.058%
296           R    1982                  0.058%            0.055%
312           R    1776                  0.052%            0.049%
272           R    1692                  0.050%            0.047%
328           R    1660                  0.049%            0.046%
288           R    1595                  0.047%            0.044%
344           R    1590                  0.047%            0.044%
304           R    1568                  0.046%            0.043%
360           R    1474                  0.043%            0.041%
320           R    1460                  0.043%            0.040%
336           R    1379                  0.041%            0.038%
376           R    1375                  0.040%            0.038%
384           R    1285                  0.038%            0.036%
352           R    1281                  0.038%            0.035%
392           R    1266                  0.037%            0.035%
368           R    1254                  0.037%            0.035%
408           R    1197                  0.035%            0.033%
400           R    1114                  0.033%            0.031%
440           R    1051                  0.031%            0.029%
424           R    1049                  0.031%            0.029%
432           R    1011                  0.030%            0.028%
448           R    1001                  0.029%            0.028%
416           R    1000                  0.029%            0.028%
464           R    911                   0.027%            0.025%
456           R    910                   0.027%            0.025%
472           R    864                   0.025%            0.024%
480           R    861                   0.025%            0.024%
496           R    612                   0.018%            0.017%
488           R    599                   0.018%            0.017%
504           R    408                   0.012%            0.011%
408           W    307                   0.145%            0.009%
416           W    257                   0.121%            0.007%
32            W    229                   0.108%            0.006%
64            W    208                   0.098%            0.006%
16            W    168                   0.079%            0.005%
3             W    142                   0.067%            0.004%
424           W    106                   0.050%            0.003%
24            W    101                   0.048%            0.003%
26            W    90                    0.042%            0.002%
25            W    78                    0.037%            0.002%
1             W    78                    0.037%            0.002%
28            W    75                    0.035%            0.002%
96            W    72                    0.034%            0.002%
27            W    72                    0.034%            0.002%
23            W    71                    0.033%            0.002%
400           W    66                    0.031%            0.002%
21            W    66                    0.031%            0.002%
14            W    65                    0.031%            0.002%
29            W    63                    0.030%            0.002%
19            W    60                    0.028%            0.002%
896           W    58                    0.027%            0.002%
120           W    58                    0.027%            0.002%
920           W    55                    0.026%            0.002%
22            W    54                    0.025%            0.001%
952           W    53                    0.025%            0.001%
744           W    53                    0.025%            0.001%
904           W    52                    0.024%            0.001%
112           W    52                    0.024%            0.001%
888           W    50                    0.024%            0.001%
128           W    50                    0.024%            0.001%
20            W    49                    0.023%            0.001%
18            W    45                    0.021%            0.001%
40            W    44                    0.021%            0.001%
2             W    44                    0.021%            0.001%
15            W    42                    0.020%            0.001%
30            W    38                    0.018%            0.001%
17            W    37                    0.017%            0.001%
712           W    36                    0.017%            0.001%
11            W    36                    0.017%            0.001%
13            W    35                    0.016%            0.001%
9             W    34                    0.016%            0.001%
31            W    34                    0.016%            0.001%
736           W    28                    0.013%            0.001%
4             W    28                    0.013%            0.001%
7             W    27                    0.013%            0.001%
12            W    27                    0.013%            0.001%
5             W    26                    0.012%            0.001%
392           W    26                    0.012%            0.001%
33            W    26                    0.012%            0.001%
752           W    25                    0.012%            0.001%
728           W    25                    0.012%            0.001%
48            W    24                    0.011%            0.001%
136           W    23                    0.011%            0.001%
35            W    21                    0.010%            0.001%
10            W    21                    0.010%            0.001%
720           W    19                    0.009%            0.001%
56            W    19                    0.009%            0.001%
36            W    16                    0.008%            0.000%
34            W    16                    0.008%            0.000%
80            W    14                    0.007%            0.000%
41            W    14                    0.007%            0.000%
160           W    14                    0.007%            0.000%
6             W    13                    0.006%            0.000%
192           W    13                    0.006%            0.000%
432           W    11                    0.005%            0.000%
39            W    11                    0.005%            0.000%
776           W    10                    0.005%            0.000%
38            W    10                    0.005%            0.000%
984           W    9                     0.004%            0.000%
696           W    9                     0.004%            0.000%
176           W    9                     0.004%            0.000%
928           W    8                     0.004%            0.000%
656           W    8                     0.004%            0.000%
46            W    8                     0.004%            0.000%
43            W    8                     0.004%            0.000%
42            W    8                     0.004%            0.000%
37            W    8                     0.004%            0.000%
256           W    8                     0.004%            0.000%
960           W    7                     0.003%            0.000%
88            W    7                     0.003%            0.000%
872           W    7                     0.003%            0.000%
856           W    7                     0.003%            0.000%
840           W    7                     0.003%            0.000%
768           W    7                     0.003%            0.000%
760           W    7                     0.003%            0.000%
72            W    7                     0.003%            0.000%
672           W    7                     0.003%            0.000%
608           W    7                     0.003%            0.000%
560           W    7                     0.003%            0.000%
344           W    7                     0.003%            0.000%
224           W    7                     0.003%            0.000%
1             R    7                     0.000%            0.000%
848           W    6                     0.003%            0.000%
808           W    6                     0.003%            0.000%
704           W    6                     0.003%            0.000%
576           W    6                     0.003%            0.000%
528           W    6                     0.003%            0.000%
520           W    6                     0.003%            0.000%
464           W    6                     0.003%            0.000%
320           W    6                     0.003%            0.000%
184           W    6                     0.003%            0.000%
144           W    6                     0.003%            0.000%
104           W    6                     0.003%            0.000%
992           W    5                     0.002%            0.000%
968           W    5                     0.002%            0.000%
944           W    5                     0.002%            0.000%
936           W    5                     0.002%            0.000%
912           W    5                     0.002%            0.000%
864           W    5                     0.002%            0.000%
784           W    5                     0.002%            0.000%
632           W    5                     0.002%            0.000%
624           W    5                     0.002%            0.000%
584           W    5                     0.002%            0.000%
544           W    5                     0.002%            0.000%
512           W    5                     0.002%            0.000%
472           W    5                     0.002%            0.000%
45            W    5                     0.002%            0.000%
456           W    5                     0.002%            0.000%
368           W    5                     0.002%            0.000%
296           W    5                     0.002%            0.000%
288           W    5                     0.002%            0.000%
1008          W    5                     0.002%            0.000%
976           W    4                     0.002%            0.000%
880           W    4                     0.002%            0.000%
816           W    4                     0.002%            0.000%
800           W    4                     0.002%            0.000%
688           W    4                     0.002%            0.000%
680           W    4                     0.002%            0.000%
664           W    4                     0.002%            0.000%
51            W    4                     0.002%            0.000%
50            W    4                     0.002%            0.000%
504           W    4                     0.002%            0.000%
488           W    4                     0.002%            0.000%
480           W    4                     0.002%            0.000%
336           W    4                     0.002%            0.000%
280           W    4                     0.002%            0.000%
248           W    4                     0.002%            0.000%
216           W    4                     0.002%            0.000%
832           W    3                     0.001%            0.000%
824           W    3                     0.001%            0.000%
792           W    3                     0.001%            0.000%
648           W    3                     0.001%            0.000%
600           W    3                     0.001%            0.000%
592           W    3                     0.001%            0.000%
536           W    3                     0.001%            0.000%
496           W    3                     0.001%            0.000%
44            W    3                     0.001%            0.000%
384           W    3                     0.001%            0.000%
360           W    3                     0.001%            0.000%
312           W    3                     0.001%            0.000%
272           W    3                     0.001%            0.000%
168           W    3                     0.001%            0.000%
1000          W    3                     0.001%            0.000%
616           W    2                     0.001%            0.000%
59            W    2                     0.001%            0.000%
58            W    2                     0.001%            0.000%
552           W    2                     0.001%            0.000%
53            W    2                     0.001%            0.000%
52            W    2                     0.001%            0.000%
47            W    2                     0.001%            0.000%
448           W    2                     0.001%            0.000%
440           W    2                     0.001%            0.000%
352           W    2                     0.001%            0.000%
304           W    2                     0.001%            0.000%
264           W    2                     0.001%            0.000%
240           W    2                     0.001%            0.000%
232           W    2                     0.001%            0.000%
208           W    2                     0.001%            0.000%
200           W    2                     0.001%            0.000%
60            W    1                     0.000%            0.000%
57            W    1                     0.000%            0.000%
568           W    1                     0.000%            0.000%
49            W    1                     0.000%            0.000%
376           W    1                     0.000%            0.000%
328           W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 3398208        [ 94.121%]
Total write I/Os: 212254         [  5.879%]
Total read sectors : 143774375   [ 44.095%,   70202.332MB]
Total write sectors: 182283510   [ 55.905%,   89005.620MB]
