procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PST
 1  0        47476     15735836        42352     49664200    0    0  1032  5610    0    1   2   1  84  12   0 2018-12-20 20:28:42
 1  0        47476     15748392        42352     49664868    0    0     0     0 2114 3214   5   2  93   0   0 2018-12-20 20:28:45
 1  0        47476     27215088        42364     38175628    0    0     0   265 2161 3308   1   4  94   0   0 2018-12-20 20:28:48
 2  0        47476     42690704        42364     22701428    0    0     0     1 1980 3026   1   5  94   0   0 2018-12-20 20:28:51
 2  0        47476     57839868        42376      7554960    0    0     0   230 1852 2931   1   4  95   0   0 2018-12-20 20:28:54
 2  0        47476     64721908        42396       670744    0    0  2649    62 2565 3494   3   4  94   0   0 2018-12-20 20:28:57
 2  0        47472     64721252        42396       670640    0    0  7500   108 4242 5432   4   3  93   0   0 2018-12-20 20:29:00
 1  3        47472     64725196        42564       670056    0    0  4781  1128 4057 5426   4   3  89   5   0 2018-12-20 20:29:03
 0  3        47472     64718368        43676       670584    0    0 38980   184 9569 10550   1   3  83  12   0 2018-12-20 20:29:06
 4  4        47472     64723740        44280       671344    0    0 47923   196 11656 12276   1   4  84  11   0 2018-12-20 20:29:09
 2  4        47472     64718220        45164       670492    0    0 68196   228 15548 16496   1   5  84  10   0 2018-12-20 20:29:12
 5  2        47472     64718060        44488       671792    0    0 67405   168 15492 15959   1   5  84  10   0 2018-12-20 20:29:15
 3  4        47472     64717088        43636       670508    0    0 64461   221 14574 15351   1   5  84  10   0 2018-12-20 20:29:18
 2  4        47472     64713344        47448       670772    0    0 70112   203 15904 16547   1   5  83  10   0 2018-12-20 20:29:21
 3  4        47472     64713816        47868       669600    0    0 82831   199 18637 19432   1   6  83  10   0 2018-12-20 20:29:24
 2  2        47472     64721612        46388       668740    0    0 70675   205 16317 17159   1   5  84  10   0 2018-12-20 20:29:27
