Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/sde/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    219246               78.212%           78.208%
8             W    30374                10.835%           10.835%
1016          W    24475                 8.731%            8.731%
3             W    651                   0.232%            0.232%
32            W    374                   0.133%            0.133%
896           W    354                   0.126%            0.126%
416           W    262                   0.093%            0.093%
408           W    253                   0.090%            0.090%
16            W    220                   0.078%            0.078%
48            W    194                   0.069%            0.069%
112           W    179                   0.064%            0.064%
984           W    177                   0.063%            0.063%
120           W    177                   0.063%            0.063%
968           W    176                   0.063%            0.063%
928           W    176                   0.063%            0.063%
88            W    176                   0.063%            0.063%
17            W    129                   0.046%            0.046%
640           W    121                   0.043%            0.043%
19            W    109                   0.039%            0.039%
2             W    106                   0.038%            0.038%
18            W    106                   0.038%            0.038%
15            W    106                   0.038%            0.038%
20            W    105                   0.037%            0.037%
6             W    103                   0.037%            0.037%
824           W    96                    0.034%            0.034%
14            W    96                    0.034%            0.034%
816           W    94                    0.034%            0.034%
200           W    93                    0.033%            0.033%
12            W    87                    0.031%            0.031%
192           W    85                    0.030%            0.030%
7             W    81                    0.029%            0.029%
632           W    77                    0.027%            0.027%
23            W    73                    0.026%            0.026%
24            W    71                    0.025%            0.025%
22            W    70                    0.025%            0.025%
21            W    64                    0.023%            0.023%
13            W    64                    0.023%            0.023%
872           W    59                    0.021%            0.021%
64            W    56                    0.020%            0.020%
432           W    55                    0.020%            0.020%
11            W    53                    0.019%            0.019%
10            W    49                    0.017%            0.017%
25            W    42                    0.015%            0.015%
26            W    39                    0.014%            0.014%
1             W    36                    0.013%            0.013%
9             W    32                    0.011%            0.011%
27            W    31                    0.011%            0.011%
5             W    29                    0.010%            0.010%
864           W    27                    0.010%            0.010%
880           W    22                    0.008%            0.008%
624           W    21                    0.007%            0.007%
56            W    20                    0.007%            0.007%
856           W    19                    0.007%            0.007%
616           W    17                    0.006%            0.006%
448           W    16                    0.006%            0.006%
440           W    15                    0.005%            0.005%
28            W    15                    0.005%            0.005%
792           W    14                    0.005%            0.005%
728           W    14                    0.005%            0.005%
600           W    14                    0.005%            0.005%
72            W    13                    0.005%            0.005%
832           W    12                    0.004%            0.004%
424           W    12                    0.004%            0.004%
784           W    10                    0.004%            0.004%
776           W    9                     0.003%            0.003%
648           W    9                     0.003%            0.003%
752           W    8                     0.003%            0.003%
96            W    7                     0.002%            0.002%
8             R    6                    42.857%            0.002%
1             R    6                    42.857%            0.002%
592           W    5                     0.002%            0.002%
544           W    5                     0.002%            0.002%
40            W    5                     0.002%            0.002%
104           W    5                     0.002%            0.002%
888           W    4                     0.001%            0.001%
744           W    4                     0.001%            0.001%
720           W    4                     0.001%            0.001%
504           W    4                     0.001%            0.001%
464           W    4                     0.001%            0.001%
456           W    4                     0.001%            0.001%
952           W    3                     0.001%            0.001%
848           W    3                     0.001%            0.001%
840           W    3                     0.001%            0.001%
80            W    3                     0.001%            0.001%
736           W    3                     0.001%            0.001%
688           W    3                     0.001%            0.001%
680           W    3                     0.001%            0.001%
608           W    3                     0.001%            0.001%
560           W    3                     0.001%            0.001%
4             W    3                     0.001%            0.001%
400           W    3                     0.001%            0.001%
320           W    3                     0.001%            0.001%
272           W    3                     0.001%            0.001%
208           W    3                     0.001%            0.001%
920           W    2                     0.001%            0.001%
912           W    2                     0.001%            0.001%
904           W    2                     0.001%            0.001%
800           W    2                     0.001%            0.001%
768           W    2                     0.001%            0.001%
760           W    2                     0.001%            0.001%
576           W    2                     0.001%            0.001%
568           W    2                     0.001%            0.001%
536           W    2                     0.001%            0.001%
480           W    2                     0.001%            0.001%
344           W    2                     0.001%            0.001%
32            R    2                    14.286%            0.001%
31            W    2                     0.001%            0.001%
296           W    2                     0.001%            0.001%
256           W    2                     0.001%            0.001%
240           W    2                     0.001%            0.001%
232           W    2                     0.001%            0.001%
184           W    2                     0.001%            0.001%
144           W    2                     0.001%            0.001%
992           W    1                     0.000%            0.000%
976           W    1                     0.000%            0.000%
960           W    1                     0.000%            0.000%
808           W    1                     0.000%            0.000%
712           W    1                     0.000%            0.000%
704           W    1                     0.000%            0.000%
696           W    1                     0.000%            0.000%
656           W    1                     0.000%            0.000%
584           W    1                     0.000%            0.000%
528           W    1                     0.000%            0.000%
520           W    1                     0.000%            0.000%
512           W    1                     0.000%            0.000%
488           W    1                     0.000%            0.000%
384           W    1                     0.000%            0.000%
35            W    1                     0.000%            0.000%
352           W    1                     0.000%            0.000%
336           W    1                     0.000%            0.000%
312           W    1                     0.000%            0.000%
29            W    1                     0.000%            0.000%
288           W    1                     0.000%            0.000%
280           W    1                     0.000%            0.000%
216           W    1                     0.000%            0.000%
176           W    1                     0.000%            0.000%
168           W    1                     0.000%            0.000%
128           W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 14             [  0.005%]
Total write I/Os: 280322         [ 99.995%]
Total read sectors : 118         [  0.000%,       0.058MB]
Total write sectors: 251402804   [100.000%,  122755.275MB]
