Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/sda/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    219638               78.060%           77.539%
8             W    30565                10.863%           10.790%
1016          W    24245                 8.617%            8.559%
256           R    1431                 75.794%            0.505%
3             W    631                   0.224%            0.223%
32            W    421                   0.150%            0.149%
896           W    409                   0.145%            0.144%
416           W    277                   0.098%            0.098%
408           W    239                   0.085%            0.084%
48            W    219                   0.078%            0.077%
984           W    217                   0.077%            0.077%
968           W    212                   0.075%            0.075%
928           W    210                   0.075%            0.074%
88            W    210                   0.075%            0.074%
112           W    207                   0.074%            0.073%
120           W    205                   0.073%            0.072%
13            W    189                   0.067%            0.067%
16            W    173                   0.061%            0.061%
824           W    135                   0.048%            0.048%
192           W    134                   0.048%            0.047%
22            W    111                   0.039%            0.039%
19            W    110                   0.039%            0.039%
15            W    110                   0.039%            0.039%
2             W    107                   0.038%            0.038%
23            W    100                   0.036%            0.035%
17            W    99                    0.035%            0.035%
14            W    99                    0.035%            0.035%
7             W    97                    0.034%            0.034%
20            W    93                    0.033%            0.033%
816           W    86                    0.031%            0.030%
12            W    86                    0.031%            0.030%
24            W    85                    0.030%            0.030%
21            W    84                    0.030%            0.030%
6             W    80                    0.028%            0.028%
18            W    75                    0.027%            0.026%
25            W    72                    0.026%            0.025%
200           W    69                    0.025%            0.024%
27            W    61                    0.022%            0.022%
64            W    60                    0.021%            0.021%
11            W    59                    0.021%            0.021%
10            W    56                    0.020%            0.020%
26            W    53                    0.019%            0.019%
1             W    37                    0.013%            0.013%
240           R    29                    1.536%            0.010%
16            R    29                    1.536%            0.010%
28            W    28                    0.010%            0.010%
8             R    27                    1.430%            0.010%
800           W    27                    0.010%            0.010%
760           W    27                    0.010%            0.010%
728           W    24                    0.009%            0.008%
840           W    23                    0.008%            0.008%
30            W    23                    0.008%            0.008%
232           R    23                    1.218%            0.008%
80            W    21                    0.007%            0.007%
224           R    21                    1.112%            0.007%
808           W    20                    0.007%            0.007%
752           W    19                    0.007%            0.007%
736           W    19                    0.007%            0.007%
464           W    19                    0.007%            0.007%
29            W    19                    0.007%            0.007%
24            R    19                    1.006%            0.007%
9             W    18                    0.006%            0.006%
776           W    18                    0.006%            0.006%
64            R    18                    0.953%            0.006%
