Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/sdd/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    219315               78.219%           78.215%
8             W    30478                10.870%           10.869%
1016          W    24546                 8.754%            8.754%
3             W    640                   0.228%            0.228%
32            W    363                   0.129%            0.129%
896           W    336                   0.120%            0.120%
416           W    256                   0.091%            0.091%
408           W    241                   0.086%            0.086%
928           W    215                   0.077%            0.077%
16            W    213                   0.076%            0.076%
48            W    194                   0.069%            0.069%
120           W    173                   0.062%            0.062%
968           W    172                   0.061%            0.061%
88            W    171                   0.061%            0.061%
984           W    170                   0.061%            0.061%
112           W    170                   0.061%            0.061%
15            W    152                   0.054%            0.054%
21            W    127                   0.045%            0.045%
664           W    111                   0.040%            0.040%
17            W    107                   0.038%            0.038%
20            W    104                   0.037%            0.037%
18            W    103                   0.037%            0.037%
7             W    99                    0.035%            0.035%
2             W    97                    0.035%            0.035%
192           W    94                    0.034%            0.034%
824           W    93                    0.033%            0.033%
19            W    89                    0.032%            0.032%
6             W    88                    0.031%            0.031%
14            W    86                    0.031%            0.031%
22            W    85                    0.030%            0.030%
816           W    77                    0.027%            0.027%
200           W    76                    0.027%            0.027%
23            W    72                    0.026%            0.026%
656           W    68                    0.024%            0.024%
13            W    61                    0.022%            0.022%
12            W    58                    0.021%            0.021%
9             W    55                    0.020%            0.020%
496           W    55                    0.020%            0.020%
64            W    48                    0.017%            0.017%
10            W    48                    0.017%            0.017%
24            W    43                    0.015%            0.015%
1             W    39                    0.014%            0.014%
11            W    36                    0.013%            0.013%
648           W    35                    0.012%            0.012%
5             W    34                    0.012%            0.012%
672           W    33                    0.012%            0.012%
920           W    31                    0.011%            0.011%
480           W    28                    0.010%            0.010%
936           W    22                    0.008%            0.008%
25            W    21                    0.007%            0.007%
56            W    18                    0.006%            0.006%
944           W    16                    0.006%            0.006%
512           W    15                    0.005%            0.005%
27            W    13                    0.005%            0.005%
96            W    12                    0.004%            0.004%
26            W    12                    0.004%            0.004%
504           W    11                    0.004%            0.004%
40            W    11                    0.004%            0.004%
640           W    10                    0.004%            0.004%
29            W    10                    0.004%            0.004%
28            W    8                     0.003%            0.003%
72            W    7                     0.002%            0.002%
960           W    6                     0.002%            0.002%
8             R    6                    42.857%            0.002%
344           W    6                     0.002%            0.002%
248           W    6                     0.002%            0.002%
1             R    6                    42.857%            0.002%
888           W    5                     0.002%            0.002%
752           W    5                     0.002%            0.002%
624           W    5                     0.002%            0.002%
472           W    5                     0.002%            0.002%
312           W    5                     0.002%            0.002%
304           W    5                     0.002%            0.002%
904           W    4                     0.001%            0.001%
864           W    4                     0.001%            0.001%
80            W    4                     0.001%            0.001%
776           W    4                     0.001%            0.001%
696           W    4                     0.001%            0.001%
632           W    4                     0.001%            0.001%
576           W    4                     0.001%            0.001%
568           W    4                     0.001%            0.001%
488           W    4                     0.001%            0.001%
352           W    4                     0.001%            0.001%
168           W    4                     0.001%            0.001%
144           W    4                     0.001%            0.001%
1000          W    4                     0.001%            0.001%
992           W    3                     0.001%            0.001%
976           W    3                     0.001%            0.001%
912           W    3                     0.001%            0.001%
880           W    3                     0.001%            0.001%
848           W    3                     0.001%            0.001%
792           W    3                     0.001%            0.001%
784           W    3                     0.001%            0.001%
680           W    3                     0.001%            0.001%
616           W    3                     0.001%            0.001%
4             W    3                     0.001%            0.001%
448           W    3                     0.001%            0.001%
384           W    3                     0.001%            0.001%
376           W    3                     0.001%            0.001%
368           W    3                     0.001%            0.001%
296           W    3                     0.001%            0.001%
232           W    3                     0.001%            0.001%
176           W    3                     0.001%            0.001%
952           W    2                     0.001%            0.001%
832           W    2                     0.001%            0.001%
808           W    2                     0.001%            0.001%
768           W    2                     0.001%            0.001%
688           W    2                     0.001%            0.001%
608           W    2                     0.001%            0.001%
584           W    2                     0.001%            0.001%
552           W    2                     0.001%            0.001%
544           W    2                     0.001%            0.001%
464           W    2                     0.001%            0.001%
440           W    2                     0.001%            0.001%
400           W    2                     0.001%            0.001%
392           W    2                     0.001%            0.001%
360           W    2                     0.001%            0.001%
336           W    2                     0.001%            0.001%
32            R    2                    14.286%            0.001%
320           W    2                     0.001%            0.001%
272           W    2                     0.001%            0.001%
208           W    2                     0.001%            0.001%
184           W    2                     0.001%            0.001%
152           W    2                     0.001%            0.001%
104           W    2                     0.001%            0.001%
856           W    1                     0.000%            0.000%
840           W    1                     0.000%            0.000%
800           W    1                     0.000%            0.000%
760           W    1                     0.000%            0.000%
744           W    1                     0.000%            0.000%
736           W    1                     0.000%            0.000%
712           W    1                     0.000%            0.000%
704           W    1                     0.000%            0.000%
600           W    1                     0.000%            0.000%
592           W    1                     0.000%            0.000%
560           W    1                     0.000%            0.000%
520           W    1                     0.000%            0.000%
456           W    1                     0.000%            0.000%
424           W    1                     0.000%            0.000%
35            W    1                     0.000%            0.000%
33            W    1                     0.000%            0.000%
328           W    1                     0.000%            0.000%
288           W    1                     0.000%            0.000%
264           W    1                     0.000%            0.000%
256           W    1                     0.000%            0.000%
224           W    1                     0.000%            0.000%
216           W    1                     0.000%            0.000%
136           W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 14             [  0.005%]
Total write I/Os: 280387         [ 99.995%]
Total read sectors : 118         [  0.000%,       0.058MB]
Total write sectors: 251487731   [100.000%,  122796.744MB]
