procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PST
 2  0         2952      9068164        61684     56281748    0    0  2661 16046   52   60   5   3  66  26   0 2018-12-26 20:22:20
 2  0         2952     11026840        61696     54328804    0    0    32    63 1811 2554   4   2  94   0   0 2018-12-26 20:22:23
 2  0         2952     22542112        61696     42813444    0    0     0     2 2107 3256   2   5  93   0   0 2018-12-26 20:22:26
 2  0         2952     35383220        61708     29974196    0    0     0   185 2157 3077   2   5  93   0   0 2018-12-26 20:22:29
 1  0         2952     47289904        61708     18082912    0    0     0     2 2022 3043   2   5  94   0   0 2018-12-26 20:22:32
 2  0         2952     57440112        61720      7920668    0    0     0   246 2123 3149   2   5  93   0   0 2018-12-26 20:22:35
 2  0         2952     64524532        61740       822888    0    0  2236    92 2455 3416   2   4  94   0   0 2018-12-26 20:22:38
 2  0         2952     64529244        61740       822812    0    0  7859    76 4552 5572   5   3  92   0   0 2018-12-26 20:22:41
 3  1         2952     64542344        61764       822396    0    0  7087   236 4275 5370   5   3  92   1   0 2018-12-26 20:22:44
 1  3         2952     64533800        67220       821928    0    0  4601  1408 3940 5219   3   3  88   6   0 2018-12-26 20:22:47
 2  3         2952     64530256        66500       820364    0    0 52001   340 13327 13434   2   7  84   6   0 2018-12-26 20:22:50
 3  1         2952     64531260        67820       820980    0    0 59169   253 14039 14353   1   7  85   6   0 2018-12-26 20:22:53
 4  1         2952     64524388        69216       822112    0    0 55376   332 13597 13858   1   7  86   6   0 2018-12-26 20:22:56
 5  1         2952     64525572        67612       821640    0    0 55101   264 13331 13719   1   7  84   8   0 2018-12-26 20:22:59
 1  3         2952     64530844        67008       820168    0    0 61583   276 14526 14942   1   8  86   6   0 2018-12-26 20:23:02
 4  2         2952     64530068        69112       820780    0    0 59404   256 14460 14560   1   7  86   6   0 2018-12-26 20:23:05
 2  0         2952     64529268        67264       821960    0    0 62959   271 15046 15181   1   8  85   6   0 2018-12-26 20:23:08
 5  2         2952     64531860        69328       820300    0    0 58439   316 14089 14310   1   8  86   5   0 2018-12-26 20:23:11
 5  3         2952     64534568        67856       820360    0    0 55052   292 13479 13815   1   7  86   6   0 2018-12-26 20:23:14
 5  3         2952     64525964        70352       820232    0    0 61263   285 14558 14833   1   8  86   6   0 2018-12-26 20:23:17
 4  3         2952     64525300        71292       819672    0    0 52965   440 13384 13604   2   8  85   5   0 2018-12-26 20:23:20
 3  1         2952     64523808        71972       820676    0    0 59047   272 14329 14441   1   7  85   7   0 2018-12-26 20:23:23
 7  2         2952     64527088        70816       820396    0    0 57129   295 13713 14125   1   7  86   6   0 2018-12-26 20:23:26
 3  1         2952     64530564        69188       821260    0    0 58508   289 13928 14294   1   7  86   6   0 2018-12-26 20:23:29
 6  1         2952     64530368        69768       820500    0    0 64175   237 15350 15588   1   9  85   6   0 2018-12-26 20:23:32
 5  4         2952     64530644        70172       820180    0    0 53233   321 13106 13467   1   7  86   6   0 2018-12-26 20:23:35
 3  4         2952     64524584        72416       820568    0    0 59525   271 14069 14537   1   7  86   6   0 2018-12-26 20:23:38
 2  2         2952     64523920        73720       820236    0    0 57237   236 13914 14141   1   7  86   6   0 2018-12-26 20:23:41
 2  4         2952     64528368        70464       820120    0    0 53189   312 12900 13404   1   7  86   6   0 2018-12-26 20:23:44
 2  1         2952     64523756        72732       819528    0    0 59668   275 14382 14603   1   8  86   6   0 2018-12-26 20:23:47
 1  1         2952     64532132        72616       821196    0    0 41217   484 10750 11295   2   6  86   6   0 2018-12-26 20:23:50
 0  1         2952     64526468        75036       819864    0    0 58500   264 14067 14395   1   8  85   6   0 2018-12-26 20:23:53
 4  1         2952     64523960        74308       820120    0    0 55668   279 13431 13953   1   7  86   6   0 2018-12-26 20:23:56
 1  3         2952     64527184        72580       820228    0    0 50728   308 12404 12958   1   7  87   5   0 2018-12-26 20:23:59
 1  2         2952     64528360        73956       820104    0    0 54280   280 12998 13610   1   7  86   6   0 2018-12-26 20:24:02
 3  2         2952     64522668        74240       821020    0    0 58729   299 14106 14470   1   8  86   6   0 2018-12-26 20:24:05
 4  1         2952     64521736        75040       821240    0    0 56737   256 13436 14088   1   7  86   6   0 2018-12-26 20:24:08
 3  4         2952     64531316        74784       819024    0    0 59256   265 14380 14592   1   8  86   5   0 2018-12-26 20:24:11
 1  1         2952     64523748        76120       821212    0    0 51633   299 12545 12966   1   6  87   6   0 2018-12-26 20:24:14
 1  1         2952     64531632        74336       820348    0    0 59016   285 14160 14535   1   8  85   6   0 2018-12-26 20:24:17
 3  3         2952     64523368        75044       819728    0    0 54907   429 13881 14071   2   8  83   6   0 2018-12-26 20:24:20
 0  1         2952     64527736        74952       820896    0    0 54733   280 13293 13666   1   7  86   6   0 2018-12-26 20:24:23
 2  3         2952     64518660        76984       819788    0    0 60129   264 14385 14743   1   8  86   5   0 2018-12-26 20:24:26
 5  2         2952     64527648        72400       820968    0    0 47603   299 11567 12134   1   6  87   6   0 2018-12-26 20:24:29
 5  2         2952     64519196        77912       820056    0    0 54607   288 13164 13649   1   7  86   6   0 2018-12-26 20:24:32
 7  0         2952     64530648        72992       821480    0    0 59568   239 14492 14551   1   8  86   5   0 2018-12-26 20:24:35
 3  2         2952     64525168        75456       820132    0    0 56347   308 13615 14040   1   7  86   6   0 2018-12-26 20:24:38
 2  2         2952     64526420        76812       821504    0    0 55616   280 13610 13822   1   8  85   6   0 2018-12-26 20:24:41
 6  1         2952     64526208        74996       820692    0    0 47083   363 11669 12358   1   6  88   6   0 2018-12-26 20:24:44
 3  3         2952     64517968        78296       820996    0    0 62392   273 14687 14954   1   7  86   6   0 2018-12-26 20:24:47
 1  2         2952     64524792        75912       821272    0    0 49872   433 12703 13015   2   7  85   6   0 2018-12-26 20:24:50
 3  3         2952     64520944        80264       821228    0    0 53943   319 13102 13503   1   7  86   6   0 2018-12-26 20:24:53
 3  3         2952     64513868        80632       820352    0    0 62169   255 14763 15029   1   8  85   6   0 2018-12-26 20:24:56
 3  1         2952     64516968        81424       821304    0    0 59609   271 14411 14573   1   8  85   6   0 2018-12-26 20:24:59
 1  2         2952     64518328        81648       818676    0    0 58096   272 14063 14413   1   7  86   6   0 2018-12-26 20:25:02
 3  1         2952     64523424        79248       822248    0    0 61969   264 14833 15148   1   8  85   6   0 2018-12-26 20:25:05
 3  4         2952     64518044        79088       821448    0    0 54981   288 13329 13740   1   7  86   6   0 2018-12-26 20:25:08
 6  2         2952     64522136        80788       821692    0    0 55963   284 13510 13930   1   7  86   6   0 2018-12-26 20:25:11
 3  1         2952     64513920        82912       820704    0    0 61336   273 14642 14833   1   8  85   6   0 2018-12-26 20:25:14
 1  3         2952     64516808        82944       819712    0    0 58748   279 14101 14486   1   7  86   6   0 2018-12-26 20:25:17
 2  1         2952     64516748        84436       820300    0    0 52812   425 13268 13516   2   8  85   5   0 2018-12-26 20:25:20
 2  1         2952     64519560        82120       819904    0    0 55283   301 13433 13864   1   7  87   5   0 2018-12-26 20:25:23
 1  3         2952     64514088        82400       820324    0    0 58896   281 14251 14500   1   8  86   6   0 2018-12-26 20:25:26
 2  1         2952     64519324        79840       822052    0    0 56913   288 13709 14202   1   7  86   6   0 2018-12-26 20:25:29
 2  2         2952     64510380        83456       820044    0    0 52421   352 12746 13141   1   6  87   6   0 2018-12-26 20:25:32
 9  1         2952     64513948        83936       821768    0    0 61133   273 14615 14971   1   8  86   6   0 2018-12-26 20:25:35
 2  3         2952     64518204        82028       820044    0    0 58563   261 13858 14396   1   8  86   6   0 2018-12-26 20:25:38
