procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PST
 2  0         8752     11926116        63768     53410484    0    0  3352 19095    2   66   5   4  64  27   0 2018-12-29 20:02:51
 2  0         8748     11944720        63780     53411544    0    0     3   227 2940 4672   5   3  92   0   0 2018-12-29 20:02:54
 2  0         8748     17797384        63780     47525804    0    0    12     0 1632 2261   4   3  93   0   0 2018-12-29 20:02:57
 2  0         8740     28928196        63792     36393744    7    0     7   235 2156 3295   2   5  93   0   0 2018-12-29 20:03:00
 1  0         8736     38643012        63792     26680900    0    0     0     2 2151 3317   2   5  92   0   0 2018-12-29 20:03:03
 2  0         8736     50667508        63804     14656284    0    0     0   201 2002 3027   2   5  93   0   0 2018-12-29 20:03:06
 2  0         8732     59905484        63820      5419504    0    0     0   215 2276 3285   2   5  93   0   0 2018-12-29 20:03:09
 2  1         8724     64559920        64020       754572   20    0  2617     2 2882 3801   4   4  92   0   0 2018-12-29 20:03:12
 2  0         8716     64589028        64004       754896    3    0  7996   255 4389 5432   4   3  92   1   0 2018-12-29 20:03:15
 2  0         8704     64599548        64004       754840    3    0  8983     5 4713 5721   5   3  92   0   0 2018-12-29 20:03:18
 2  2         8692     64590756        68388       755180    3    0  3196  1573 4064 5406   4   3  88   6   0 2018-12-29 20:03:21
 3  4         8692     64564456        71260       753268    0    0 50029   468 13160 13318   3   8  83   7   0 2018-12-29 20:03:24
 4  2         8692     64562268        70512       755108    0    0 53481   311 13382 13618   1   7  84   8   0 2018-12-29 20:03:27
 6  1         8692     64550456        69332       753492    0    0 55609   307 13489 13988   1   7  86   6   0 2018-12-29 20:03:30
 5  1         8692     64541292        70260       753028    0    0 59453   291 14176 14566   1   8  84   7   0 2018-12-29 20:03:33
 4  3         8692     64549304        69048       752308    0    0 52991   288 13004 13584   1   7  85   8   0 2018-12-29 20:03:36
 4  0         8692     64546500        71364       752976    0    0 57315   320 13970 14221   1   7  85   6   0 2018-12-29 20:03:39
 3  2         8692     64550076        70616       754196    0    0 59488   296 14165 14685   1   8  85   6   0 2018-12-29 20:03:42
 4  0         8692     64552840        71860       752376    0    0 51121   344 12506 13145   1   6  88   5   0 2018-12-29 20:03:45
 1  2         8692     64537980        73728       754168    0    0 56293   323 13657 14121   1   8  86   6   0 2018-12-29 20:03:48
 4  3         8692     64550532        74028       752344    0    0 57704   292 13814 14312   1   8  86   6   0 2018-12-29 20:03:51
 1  3         8692     64536424        75184       752764    0    0 46063   513 11929 12322   2   7  85   7   0 2018-12-29 20:03:54
 2  2         8692     64545252        73804       752976    0    0 54241   295 13389 13854   1   7  87   5   0 2018-12-29 20:03:57
 6  1         8692     64544968        72908       754272    0    0 55744   311 13814 14104   1   8  86   6   0 2018-12-29 20:04:00
 1  2         8692     64544596        74688       753480    0    0 59827   279 14225 14680   1   7  86   6   0 2018-12-29 20:04:03
 3  2         8692     64542492        74500       753492    0    0 55116   317 13496 13849   1   7  86   6   0 2018-12-29 20:04:06
 3  1         8692     64536124        75376       754424    0    0 57749   304 13841 14310   1   8  86   6   0 2018-12-29 20:04:09
 4  2         8692     64540884        73912       754264    0    0 58089   307 14027 14578   1   7  86   6   0 2018-12-29 20:04:12
 2  1         8692     64541668        75268       754344    0    0 52429   325 12762 13305   1   7  87   5   0 2018-12-29 20:04:15
 3  1         8692     64545484        73072       755536    0    0 57824   295 14187 14458   1   8  86   5   0 2018-12-29 20:04:18
 2  2         8692     64537880        77508       754660    0    0 54339   351 13312 13685   1   7  86   6   0 2018-12-29 20:04:21
 4  1         8692     64540352        77040       753748    0    0 53301   467 13451 13692   2   8  84   6   0 2018-12-29 20:04:24
 2  1         8692     64540340        74784       752916    0    0 55709   308 13613 14075   1   8  86   6   0 2018-12-29 20:04:27
 3  2         8692     64535040        76544       752676    0    0 58452   295 14371 14575   1   8  86   5   0 2018-12-29 20:04:30
 1  3         8692     64543600        76788       754044    0    0 60252   313 14778 14973   1   9  85   5   0 2018-12-29 20:04:33
 2  1         8692     64535628        80348       754392    0    0 53007   356 13121 13450   1   7  87   6   0 2018-12-29 20:04:36
 4  1         8692     64544640        77896       754560    0    0 55139   319 13402 13924   1   8  86   5   0 2018-12-29 20:04:39
 3  2         8692     64540348        77804       754024    0    0 58211   303 14261 14671   1   8  86   5   0 2018-12-29 20:04:42
 3  1         8692     64538300        79120       754184    0    0 61744   299 14752 15232   1   8  86   5   0 2018-12-29 20:04:45
 5  0         8692     64543316        78860       754788    0    0 61297   324 14695 14948   1   8  86   5   0 2018-12-29 20:04:48
 3  1         8692     64532556        78184       754176    0    0 60075   280 14540 14923   1   7  85   6   0 2018-12-29 20:04:51
 4  1         8692     64539160        80124       753828    0    0 47556   476 12302 12589   2   7  85   6   0 2018-12-29 20:04:54
 3  1         8692     64536652        80908       752884    0    0 61892   280 14968 15089   1   8  85   6   0 2018-12-29 20:04:57
 3  1         8692     64536168        79704       754432    0    0 57996   324 14089 14501   1   7  87   5   0 2018-12-29 20:05:00
 0  1         8692     64537588        83664       753184    0    0 56587   351 13752 14155   1   7  86   6   0 2018-12-29 20:05:03
 5  1         8692     64539368        79416       753524    0    0 61279   284 14788 15101   1   8  85   6   0 2018-12-29 20:05:06
 2  2         8692     64530100        82900       752876    0    0 59359   319 14391 14906   1   8  86   6   0 2018-12-29 20:05:09
 4  1         8692     64530452        81016       753776    0    0 56399   303 13854 14295   1   7  86   6   0 2018-12-29 20:05:12
 3  1         8692     64538636        82020       754300    0    0 50905   361 12455 13103   1   6  87   5   0 2018-12-29 20:05:15
 2  2         8692     64536592        82036       754552    0    0 54135   332 13244 13576   1   7  86   5   0 2018-12-29 20:05:18
 3  1         8692     64533624        81888       752504    0    0 56184   324 13663 14127   1   8  86   6   0 2018-12-29 20:05:21
 2  3         8692     64537888        82996       754524    0    0 52824   484 13303 13716   1   7  85   6   0 2018-12-29 20:05:24
 3  2         8692     64532084        82624       754628    0    0 56621   325 13887 14329   2   7  85   6   0 2018-12-29 20:05:27
 8  1         8692     64534956        83072       753424    0    0 59692   300 14523 14832   1   9  85   5   0 2018-12-29 20:05:30
 3  2         8692     64529860        84344       754024    0    0 62223   281 15109 15194   1   9  86   5   0 2018-12-29 20:05:33
 6  1         8692     64535064        84068       755888    0    0 60236   293 14614 14862   1   8  85   5   0 2018-12-29 20:05:36
 2  2         8692     64524712        86956       754720    0    0 59085   303 14277 14689   1   7  86   6   0 2018-12-29 20:05:39
 4  1         8692     64530516        85052       753624    0    0 56468   337 13847 14274   1   8  86   5   0 2018-12-29 20:05:42
 1  3         8692     64533464        85176       754292    0    0 61604   284 14743 15042   1   8  85   6   0 2018-12-29 20:05:45
 3  3         8692     64531308        85168       754228    0    0 58812   311 14178 14384   1   8  85   6   0 2018-12-29 20:05:48
 7  1         8692     64534424        85708       754116    0    0 57120   319 14012 14240   1   8  86   6   0 2018-12-29 20:05:51
 4  0         8692     64534432        86044       754096    0    0 49044   513 12454 12907   1   7  85   6   0 2018-12-29 20:05:54
 2  1         8692     64531032        87896       755108    0    0 55843   335 13895 14047   2   8  85   6   0 2018-12-29 20:05:57
 1  3         8692     64525652        87188       755656    0    0 58559   281 14362 14556   1   8  85   6   0 2018-12-29 20:06:00
 3  1         8692     64528540        87132       754252    0    0 53879   380 13165 13587   1   7  86   6   0 2018-12-29 20:06:03
 5  1         8692     64531960        89040       754124    0    0 52728   363 12889 13421   1   7  86   6   0 2018-12-29 20:06:06
 3  2         8692     64530576        86644       754792    0    0 58809   300 14146 14564   1   8  86   5   0 2018-12-29 20:06:09
 3  1         8692     64526876        87660       754976    0    0 60311   288 14533 14977   1   8  86   5   0 2018-12-29 20:06:12
 2  2         8692     64524096        88420       754664    0    0 59597   299 14470 14830   1   8  86   5   0 2018-12-29 20:06:15
 1  3         8692     64526684        90908       754200    0    0 55315   332 13540 13920   1   8  86   6   0 2018-12-29 20:06:18
 3  1         8692     64523260        90176       754524    0    0 56071   307 13726 14044   1   8  86   6   0 2018-12-29 20:06:21
 4  1         8692     64523624        88776       754708    0    0 51553   471 12682 13275   1   7  86   6   0 2018-12-29 20:06:24
 4  1         8692     64526308        89592       754484    0    0 58713   281 14512 14617   2   9  84   6   0 2018-12-29 20:06:27
 3  1         8692     64528984        89204       755272    0    0 59865   303 14430 14763   1   8  85   6   0 2018-12-29 20:06:30
 3  1         8692     64529428        90228       753880    0    0 54965   311 13221 13793   1   7  87   6   0 2018-12-29 20:06:33
 3  1         8692     64521324        91324       755088    0    0 55680   335 13476 14064   1   7  86   6   0 2018-12-29 20:06:36
 5  0         8692     64521668        92124       753696    0    0 58941   311 14297 14523   1   8  85   6   0 2018-12-29 20:06:39
 2  3         8692     64526304        91360       754588    0    0 57431   304 13980 14392   1   8  86   5   0 2018-12-29 20:06:42
 3  2         8692     64528376        91716       753892    0    0 59967   316 14596 14946   1   8  85   6   0 2018-12-29 20:06:45
 4  2         8692     64524120        91048       756144    0    0 56520   308 13670 14036   1   7  87   5   0 2018-12-29 20:06:48
 6  2         8692     64523712        93644       753636    0    0 54363   343 13188 13752   1   7  87   6   0 2018-12-29 20:06:51
 0  1         8692     64527032        93740       755928    0    0 52160   479 12812 13321   1   7  86   6   0 2018-12-29 20:06:54
 2  2         8692     64523968        93444       755696    0    0 55457   315 13881 14092   2   8  84   5   0 2018-12-29 20:06:57
 4  2         8692     64524504        92848       755772    0    0 58927   299 14222 14645   1   8  85   6   0 2018-12-29 20:07:00
 5  0         8692     64525316        93652       755828    0    0 57911   304 13906 14524   1   7  86   6   0 2018-12-29 20:07:03
 3  0         8692     64526036        93984       754052    0    0 59879   297 14306 14796   1   7  85   7   0 2018-12-29 20:07:06
 2  3         8692     64518260        96116       755140    0    0 61019   276 14870 15144   1   8  86   5   0 2018-12-29 20:07:09
 3  2         8692     64516392        94040       754644    0    0 53393   321 13134 13624   1   7  87   5   0 2018-12-29 20:07:12
 4  0         8692     64525860        93900       755668    0    0 60851   297 14478 15058   1   8  86   5   0 2018-12-29 20:07:15
