procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 2  0        35912     10628492        41144     54764636    0    0   945  2469    2    4   3   2  90   5   0 2019-04-22 01:43:31
 0  0        35912     10634952        41156     54764184    0    0     0    65  711 1302   1   0  99   0   0 2019-04-22 01:43:34
 0  0        35912     10636324        41156     54764272    0    0     0   329  145  333   0   0 100   0   0 2019-04-22 01:43:37
 2  0        35912     17062144        41164     48319816    0    0    27   532  659  768   0   3  97   0   0 2019-04-22 01:43:40
 0  0        35912     42861236        41164     22539860    0    0     0     2 1008 1055   0   7  93   0   0 2019-04-22 01:43:43
 0  0        35912     42863128        41176     22536700    0    0     3    61 1410 1940   0   1  99   0   0 2019-04-22 01:43:46
 0  0        35912     42864616        41176     22536664    0    0     0     0  159  337   0   0 100   0   0 2019-04-22 01:43:49
 0  0        35912     42866176        41188     22536724    0    0     0    56   94  286   0   0 100   0   0 2019-04-22 01:43:52
 0  0        35912     42867348        41196     22536704    0    0     0     9  107  294   0   0 100   0   0 2019-04-22 01:43:55
 0  0        35912     42868488        41196     22536700    0    0     0     0   94  285   0   0 100   0   0 2019-04-22 01:43:58
 0  0        35912     42869612        41204     22536716    0    0     0     8  112  316   0   0 100   0   0 2019-04-22 01:44:01
 0  0        35912     42871144        41204     22536712    0    0     0     0  139  352   0   0 100   0   0 2019-04-22 01:44:04
 0  0        35912     42871912        41212     22536724    0    0     0    29  178  455   0   0 100   0   0 2019-04-22 01:44:07
 0  0        35912     42871436        41220     22537092    0    0     0   741  197  853   0   0 100   0   0 2019-04-22 01:44:10
 0  0        35912     42873588        41220     22536968    0    0     0     0  166  479   0   0 100   0   0 2019-04-22 01:44:13
 0  0        35912     42861792        41228     22536924    0    0     0    16 1316 1991   0   1  99   0   0 2019-04-22 01:44:16
 0  0        35912     42865588        41228     22536876    0    0     0     0  183  344   0   0 100   0   0 2019-04-22 01:44:19
 0  0        35912     42868604        41240     22536872    0    0     0    48  104  304   0   0 100   0   0 2019-04-22 01:44:22
 0  0        35912     42870504        41240     22536920    0    0     0     0   91  278   0   0 100   0   0 2019-04-22 01:44:25
 0  0        35912     42872544        41248     22536868    0    0     0     9  102  299   0   0 100   0   0 2019-04-22 01:44:28
 0  0        35912     42873824        41248     22536896    0    0     0     0  112  343   0   0 100   0   0 2019-04-22 01:44:31
 0  0        35912     42875644        41252     22536964    0    0     0    19  100  284   0   0 100   0   0 2019-04-22 01:44:34
 0  0        35912     42876128        41252     22536920    0    0     0     0  135  385   0   0 100   0   0 2019-04-22 01:44:37
 0  0        35912     42876352        41256     22537328    0    0     0   667  197  387   0   0 100   0   0 2019-04-22 01:44:40
 0  0        35912     42879476        41256     22536972    0    0     0     0  174  459   0   0 100   0   0 2019-04-22 01:44:43
 1  0        35912     42868664        41264     22536952    0    0     0   132 1162 2258   0   1  99   0   0 2019-04-22 01:44:46
 0  0        35912     42870348        41276     22536752    0    0     0    59  284  403   0   0 100   0   0 2019-04-22 01:44:49
 0  0        35912     42872296        41276     22536780    0    0     0   101  113  296   0   0 100   0   0 2019-04-22 01:44:52
 0  0        35912     42874004        41284     22536788    0    0     0    21  125  352   0   0 100   0   0 2019-04-22 01:44:55
 0  0        35912     42875260        41284     22536788    0    0     0     0  138  395   0   0 100   0   0 2019-04-22 01:44:58
 0  0        35912     42876524        41292     22536788    0    0     0    11  100  284   0   0 100   0   0 2019-04-22 01:45:01
 0  0        35912     42877748        41292     22536820    0    0     0     0  128  356   0   0 100   0   0 2019-04-22 01:45:04
 0  0        35912     42878864        41308     22536736    0    0     0   128  146  364   0   0 100   0   0 2019-04-22 01:45:07
 0  0        35912     42880024        41308     22536716    0    0     0     0  126  348   0   0 100   0   0 2019-04-22 01:45:10
 0  0        35912     42880356        41316     22536768    0    0     0   541  146  334   0   0 100   0   0 2019-04-22 01:45:13
 0  0        35912     42881620        41316     22536796    0    0     0     0  318  772   0   0 100   0   0 2019-04-22 01:45:16
 0  0        35912     42869932        41324     22536720    0    0     0   213 1520 1937   0   1  99   0   0 2019-04-22 01:45:19
 0  0        35912     42871916        41336     22536756    0    0     0   121  124  318   0   0 100   0   0 2019-04-22 01:45:22
 0  0        35912     42874008        41336     22536776    0    0     0     0  103  312   0   0 100   0   0 2019-04-22 01:45:25
 0  0        35912     42875692        41344     22536760    0    0     0    41  102  296   0   0 100   0   0 2019-04-22 01:45:28
 0  0        35912     42877052        41344     22536836    0    0     0     0   97  285   0   0 100   0   0 2019-04-22 01:45:31
 0  0        35912     42878032        41352     22536748    0    0     0    48  112  325   0   0 100   0   0 2019-04-22 01:45:34
 0  0        35912     42879232        41360     22536792    0    0     0    83  120  313   0   0 100   0   0 2019-04-22 01:45:37
 0  0        35912     42880024        41360     22536772    0    0     0     0  121  341   0   0 100   0   0 2019-04-22 01:45:40
 0  0        35912     42881188        41368     22536804    0    0     0   565  152  368   0   0 100   0   0 2019-04-22 01:45:43
 0  0        35912     42881872        41368     22536880    0    0     0     0  216  460   0   0 100   0   0 2019-04-22 01:45:46
 0  0        35912     42867336        41376     22537096    0    0     0   161 1439 2207   0   1  99   0   0 2019-04-22 01:45:49
 0  0        35912     42870388        41388     22537228    0    0     0   172  187  815   0   0 100   0   0 2019-04-22 01:45:52
 0  0        35912     42872472        41388     22537140    0    0     0     0  102  306   0   0 100   0   0 2019-04-22 01:45:55
 0  0        35912     42874548        41396     22537196    0    0     0    31   99  294   0   0 100   0   0 2019-04-22 01:45:58
 0  0        35912     42876584        41396     22537152    0    0     0     0  109  298   0   0 100   0   0 2019-04-22 01:46:01
 0  0        35912     42877980        41404     22537116    0    0     0     8  150  414   0   0 100   0   0 2019-04-22 01:46:04
 0  1        35628     42879584        41408     22537124  153    0   155   117  166  422   0   0 100   0   0 2019-04-22 01:46:07
 0  0        35572     42880204        41420     22536996   45    0    45    59  209  452   0   0 100   0   0 2019-04-22 01:46:10
 0  0        35572     42881020        41428     22537144    0    0     0   567  133  266   0   0 100   0   0 2019-04-22 01:46:13
 0  0        35572     42881704        41428     22537120    0    0     0     0  104  300   0   0 100   0   0 2019-04-22 01:46:16
 0  0        35564     42866044        41444     22537348    5    0    76    63 1304 2002   0   1  99   0   0 2019-04-22 01:46:19
 0  0        35564     42867340        41444     22537364    0    0     0     0  183  428   0   0 100   0   0 2019-04-22 01:46:22
 0  0        35564     42869544        41456     22537352    0    0     0   251  139  713   0   0 100   0   0 2019-04-22 01:46:25
 0  0        35564     42871760        41456     22537300    0    0     0     0  102  294   0   0 100   0   0 2019-04-22 01:46:28
 0  0        35564     42873340        41464     22537344    0    0     0    11  106  287   0   0 100   0   0 2019-04-22 01:46:31
 0  0        35564     42873992        41464     22537328    0    0     0     0  104  320   0   0 100   0   0 2019-04-22 01:46:34
 0  0        35564     42875532        41472     22537372    0    0    28    20   92  275   0   0 100   0   0 2019-04-22 01:46:37
 0  0        35564     42876788        41472     22537428    0    0     0   119  182  411   0   0 100   0   0 2019-04-22 01:46:40
 0  0        35564     42877208        41480     22537784    0    0     0   589  145  304   0   0 100   0   0 2019-04-22 01:46:43
 0  0        35564     42878128        41480     22537464    0    0     0     0  118  338   0   0 100   0   0 2019-04-22 01:46:46
 0  0        35564     42866624        41488     22537348    0    0     0    67 1141 1854   0   1  99   0   0 2019-04-22 01:46:49
 0  0        35564     42867748        41488     22537200    0    0     0     0  121  335   0   0 100   0   0 2019-04-22 01:46:52
 0  0        35564     42869348        41500     22537108    0    0     0   124  154  394   0   0 100   0   0 2019-04-22 01:46:55
 0  0        35564     42871044        41500     22537124    0    0     0     0  224  899   0   0 100   0   0 2019-04-22 01:46:58
 0  0        35564     42873152        41508     22537124    0    0     0   208  120  290   0   0 100   0   0 2019-04-22 01:47:01
 0  0        35564     42874524        41516     22537128    0    0     0    48  124  357   0   0 100   0   0 2019-04-22 01:47:04
 0  0        35564     42876264        41516     22537140    0    0     0     0  104  287   0   0 100   0   0 2019-04-22 01:47:07
 0  0        35564     42877464        41524     22537048    0    0     0   157  185  417   0   0 100   0   0 2019-04-22 01:47:10
 0  0        35564     42878260        41524     22537064    0    0     0     0   92  285   0   0 100   0   0 2019-04-22 01:47:13
 0  0        35564     42878440        41532     22537000    0    0     0   561  157  305   0   0 100   0   0 2019-04-22 01:47:16
 2  0        35564     42864188        41540     22537016    0    0     0    23  990 1455   0   1  99   0   0 2019-04-22 01:47:19
 0  0        35564     42867712        41540     22537144    0    0     0    65  453  702   0   0 100   0   0 2019-04-22 01:47:22
 0  0        35564     42869816        41552     22537144    0    0     0    60  107  296   0   0 100   0   0 2019-04-22 01:47:25
 0  0        35564     42871676        41552     22537116    0    0     0    56  122  332   0   0 100   0   0 2019-04-22 01:47:28
 0  0        35564     42873776        41560     22537120    0    0     0    28  148  380   0   0 100   0   0 2019-04-22 01:47:31
 0  0        35564     42875100        41560     22537116    0    0     0    27  158  807   0   0 100   0   0 2019-04-22 01:47:34
 0  0        35564     42877196        41568     22537132    0    0     0    41  118  330   0   0 100   0   0 2019-04-22 01:47:37
 0  0        35564     42878432        41576     22537264    0    0     0   257  162  388   0   0 100   0   0 2019-04-22 01:47:40
 0  0        35564     42880044        41576     22537264    0    0     0     0  127  402   0   0 100   0   0 2019-04-22 01:47:43
 0  0        35564     42880976        41584     22537228    0    0     0   496  136  310   0   0 100   0   0 2019-04-22 01:47:46
 0  0        35564     42881836        41584     22537232    0    0     0     0   83  264   0   0 100   0   0 2019-04-22 01:47:49
 0  0        35564     42867464        41596     22537028    0    0     0   152 1304 1911   0   1  99   0   0 2019-04-22 01:47:52
 0  1        35564     42869336        41604     22537012    0    0     0    81  112  304   0   0 100   0   0 2019-04-22 01:47:55
 0  0        35564     42870328        41604     22537024    0    0     0    20  106  303   0   0 100   0   0 2019-04-22 01:47:58
 0  0        35564     42871816        41608     22537028    0    0     0    51  105  287   0   0 100   0   0 2019-04-22 01:48:01
 0  0        35564     42873800        41608     22537036    0    0     0     0  131  365   0   0 100   0   0 2019-04-22 01:48:04
 0  0        35564     42875536        41612     22537056    0    0     0   115  182  430   0   0 100   0   0 2019-04-22 01:48:07
 0  0        35564     42877304        41612     22537080    0    0     0     0  189  824   0   0 100   0   0 2019-04-22 01:48:10
 0  0        35564     42878316        41620     22537228    0    0     0   657  170  396   0   0 100   0   0 2019-04-22 01:48:13
 0  0        35564     42879344        41628     22537232    0    0     0   101  115  287   0   0 100   0   0 2019-04-22 01:48:16
 0  0        35564     42879760        41628     22537216    0    0     0     0   99  305   0   0 100   0   0 2019-04-22 01:48:19
 0  0        35564     42866804        41640     22537024    0    0     0   160 1303 1895   0   1  99   0   0 2019-04-22 01:48:22
 0  0        35564     42869360        41640     22537092    0    0     0     0  113  311   0   0 100   0   0 2019-04-22 01:48:25
 0  0        35564     42871380        41648     22537032    0    0     0    51  114  304   0   0 100   0   0 2019-04-22 01:48:28
 0  0        35564     42873548        41648     22537068    0    0     0     0  122  309   0   0 100   0   0 2019-04-22 01:48:31
 0  0        35564     42874772        41656     22537052    0    0     0    68  117  302   0   0 100   0   0 2019-04-22 01:48:34
 0  0        35564     42876168        41664     22537040    0    0     0   111  114  320   0   0 100   0   0 2019-04-22 01:48:37
 0  0        35564     42877644        41664     22537028    0    0     0     0  146  377   0   0 100   0   0 2019-04-22 01:48:40
 0  0        35564     42878644        41672     22537036    0    0     0   489  214  463   0   0 100   0   0 2019-04-22 01:48:43
 0  0        35564     42879192        41672     22537016    0    0     0     0  189  819   0   0 100   0   0 2019-04-22 01:48:46
 0  0        35564     42879700        41676     22537104    0    0     0   225   98  276   0   0 100   0   0 2019-04-22 01:48:49
 0  0        35564     42867424        41680     22537092    0    0     0   144 1354 1889   0   1  99   0   0 2019-04-22 01:48:52
 0  0        35564     42869212        41680     22537004    0    0     0     0  122  338   0   0 100   0   0 2019-04-22 01:48:55
 0  0        35564     42870980        41688     22537012    0    0     0    77  174  441   0   0 100   0   0 2019-04-22 01:48:58
 0  0        35564     42873288        41688     22536972    0    0     0     0  118  320   0   0 100   0   0 2019-04-22 01:49:01
