procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 0  0        35572      6547952        46968     58849048    0    0   910  2340    2    1   2   2  91   5   0 2019-04-21 19:00:44
 1  0        35572      6536568        46988     58850860    0    0    40   153 2431 2368   2   1  97   0   0 2019-04-21 19:00:47
 0  0        35572      6538216        46988     58850780    0    0     0     0  203  840   0   0 100   0   0 2019-04-21 19:00:50
 0  0        35572      6540596        46996     58850948    0    0     0   292  177  411   0   0 100   0   0 2019-04-21 19:00:53
 0  0        35572      6543184        47004     58850932    0    0     0   541  169  318   0   0 100   0   0 2019-04-21 19:00:56
 3  0        35568     37424008        47004     27935756    0    0     9     0 1622 1244   0  10  90   0   0 2019-04-21 19:00:59
 1  0        35568     48236300        47020     17150544    0    0     3   197 1034  887   0   3  96   0   0 2019-04-21 19:01:02
 0  0        35568     48237424        47020     17150404    0    0     0     7 1370 1909   0   1  99   0   0 2019-04-21 19:01:05
 0  0        35568     48239860        47032     17150344    0    0     0   135  120  315   0   0 100   0   0 2019-04-21 19:01:08
 0  0        35568     48242988        47040     17150396    0    0     0    88  132  321   0   0 100   0   0 2019-04-21 19:01:11
 0  0        35568     48245224        47040     17150380    0    0     0     0  135  352   0   0 100   0   0 2019-04-21 19:01:14
 0  0        35568     48247740        47056     17150412    0    0     0    72  116  300   0   0 100   0   0 2019-04-21 19:01:17
 0  0        35568     48249856        47056     17150396    0    0     0     0  205  658   0   0 100   0   0 2019-04-21 19:01:20
 0  0        35568     48251260        47064     17150456    0    0     0   235  182  603   0   0 100   0   0 2019-04-21 19:01:23
 0  0        35568     48252232        47064     17150452    0    0     0     0  138  346   0   0 100   0   0 2019-04-21 19:01:26
 0  0        35568     48253344        47072     17150552    0    0     0   484  168  352   0   0 100   0   0 2019-04-21 19:01:29
 0  0        35568     48254708        47080     17150512    0    0     0   179  120  299   0   0 100   0   0 2019-04-21 19:01:32
 0  0        35568     48241616        47080     17150544    0    0     0     7 1384 1954   0   1  99   0   0 2019-04-21 19:01:35
 0  0        35568     48243088        47092     17150452    0    0     0   121  152  378   0   0 100   0   0 2019-04-21 19:01:38
 0  0        35568     48244764        47092     17150472    0    0     0     0  147  408   0   0 100   0   0 2019-04-21 19:01:41
 0  0        35568     48246444        47100     17150528    0    0     0    83  129  339   0   0 100   0   0 2019-04-21 19:01:44
 0  0        35568     48247692        47116     17150544    0    0     0    67  120  321   0   0 100   0   0 2019-04-21 19:01:47
 0  0        35568     48248636        47116     17150512    0    0     0     0  179  419   0   0 100   0   0 2019-04-21 19:01:50
 0  0        35568     48249216        47128     17150612    0    0     0   197  125  740   0   0 100   0   0 2019-04-21 19:01:53
 0  0        35568     48250660        47128     17150600    0    0     0     0  177  418   0   0 100   0   0 2019-04-21 19:01:56
 0  0        35568     48251756        47132     17150528    0    0     0   624  149  332   0   0 100   0   0 2019-04-21 19:01:59
 0  0        35568     48256152        47136     17150488    0    0     0    80  173  471   0   0 100   0   0 2019-04-21 19:02:02
 0  0        35568     48245776        47136     17150496    0    0     0     7 1295 1879   0   1  99   0   0 2019-04-21 19:02:05
 0  0        35568     48248200        47148     17150340    0    0     0   136  128  329   0   0 100   0   0 2019-04-21 19:02:08
 0  0        35568     48250908        47148     17150360    0    0     0     0  139  345   0   0 100   0   0 2019-04-21 19:02:11
 0  0        35568     48253076        47156     17150332    0    0     0   119  185  435   0   0 100   0   0 2019-04-21 19:02:14
 0  0        35568     48255144        47164     17150388    0    0     0    29  125  345   0   0 100   0   0 2019-04-21 19:02:17
 0  0        35568     48256620        47164     17150380    0    0     0    27  158  402   0   0 100   0   0 2019-04-21 19:02:20
 0  0        35568     48257752        47172     17150388    0    0     0   224  161  774   0   0 100   0   0 2019-04-21 19:02:23
 0  0        35568     48259144        47172     17150392    0    0     0     0  176  422   0   0 100   0   0 2019-04-21 19:02:26
 0  0        35568     48260136        47176     17150376    0    0     0   607  211  415   0   0 100   0   0 2019-04-21 19:02:29
 0  0        35568     48260704        47176     17150468    0    0     0     0  122  336   0   0 100   0   0 2019-04-21 19:02:32
 0  0        35568     48248460        47180     17150448    0    0     0    65 1193 1948   0   1  99   0   0 2019-04-21 19:02:35
 0  0        35568     48249192        47188     17150512    0    0     0   167  113  302   0   0 100   0   0 2019-04-21 19:02:38
 0  0        35568     48250972        47188     17150356    0    0     0     0  127  320   0   0 100   0   0 2019-04-21 19:02:41
 0  0        35568     48252536        47192     17150400    0    0     0    84  169  415   0   0 100   0   0 2019-04-21 19:02:44
 0  0        35568     48254408        47192     17150392    0    0     0     0  133  357   0   0 100   0   0 2019-04-21 19:02:47
 0  0        35568     48256448        47200     17150416    0    0     0    57  188  417   0   0 100   0   0 2019-04-21 19:02:50
 0  0        35568     48257728        47200     17150368    0    0     0     0  107  735   0   0 100   0   0 2019-04-21 19:02:53
 2  0        35568     48258996        47204     17150452    0    0     0   220  182  407   0   0 100   0   0 2019-04-21 19:02:56
 1  0        35568     48260448        47212     17150352    0    0     0   613  156  325   0   0 100   0   0 2019-04-21 19:02:59
 0  0        35568     48261404        47212     17150440    0    0     0     0  121  321   0   0 100   0   0 2019-04-21 19:03:02
 1  0        35568     48245952        47220     17150428    0    0     0    63 1150 1660   0   1  99   0   0 2019-04-21 19:03:05
 0  0        35568     48246988        47220     17150364    0    0     0     1  316  524   0   0 100   0   0 2019-04-21 19:03:08
 0  0        35568     48249128        47232     17150352    0    0     0   135  136  310   0   0 100   0   0 2019-04-21 19:03:11
 0  0        35568     48252260        47240     17150348    0    0     0   119  139  338   0   0 100   0   0 2019-04-21 19:03:14
 0  0        35568     48254772        47240     17150364    0    0     0     0  116  307   0   0 100   0   0 2019-04-21 19:03:17
 0  0        35568     48256892        47248     17150412    0    0     0    60  155  390   0   0 100   0   0 2019-04-21 19:03:20
 0  0        35568     48258384        47248     17150368    0    0     0     0  196  493   0   0 100   0   0 2019-04-21 19:03:23
 0  0        35568     48258788        47256     17150468    0    0     0   224  187  819   0   0 100   0   0 2019-04-21 19:03:26
 0  0        35568     48259692        47256     17150436    0    0     0     0  111  323   0   0 100   0   0 2019-04-21 19:03:29
 0  0        35568     48259944        47264     17150568    0    0     0   560  135  306   0   0 100   0   0 2019-04-21 19:03:32
 0  0        35568     48260596        47272     17150560    0    0     0    29  107  303   0   0 100   0   0 2019-04-21 19:03:35
 0  0        35568     48247156        47272     17150572    0    0     0     7 1201 1892   0   1  99   0   0 2019-04-21 19:03:38
 0  0        35568     48249468        47284     17150428    0    0     0   184  129  357   0   0 100   0   0 2019-04-21 19:03:41
 0  0        35568     48252236        47284     17150400    0    0     0     0  128  345   0   0 100   0   0 2019-04-21 19:03:44
 0  0        35568     48253792        47292     17150416    0    0     0    99  129  290   0   0 100   0   0 2019-04-21 19:03:47
 0  0        35568     48256380        47300     17150460    0    0     0    60  135  321   0   0 100   0   0 2019-04-21 19:03:50
 0  0        35568     48258400        47300     17150488    0    0     0     0  121  370   0   0 100   0   0 2019-04-21 19:03:53
 0  0        35568     48259652        47308     17150440    0    0     0   108  181  410   0   0 100   0   0 2019-04-21 19:03:56
 0  0        35568     48260560        47308     17150476    0    0     0     0  268  956   0   0 100   0   0 2019-04-21 19:03:59
 0  0        35568     48261476        47316     17150496    0    0     0   715  144  307   0   0 100   0   0 2019-04-21 19:04:02
 0  0        35568     48262852        47316     17150480    0    0     0     0  111  305   0   0 100   0   0 2019-04-21 19:04:05
 0  0        35568     48247564        47324     17150628    0    0     0    56 1317 1909   0   1  99   0   0 2019-04-21 19:04:08
 0  0        35568     48249240        47336     17150540    0    0     0   129  166  389   0   0 100   0   0 2019-04-21 19:04:11
 0  0        35568     48251784        47336     17150528    0    0     0     0  137  373   0   0 100   0   0 2019-04-21 19:04:14
 0  0        35568     48253620        47344     17150524    0    0     0    95  122  298   0   0 100   0   0 2019-04-21 19:04:17
 0  0        35568     48255500        47344     17150584    0    0     0     0  119  319   0   0 100   0   0 2019-04-21 19:04:20
 0  0        35568     48256988        47352     17150596    0    0     0    72  127  362   0   0 100   0   0 2019-04-21 19:04:23
 0  0        35568     48258016        47360     17150612    0    0     0   132  133  314   0   0 100   0   0 2019-04-21 19:04:26
 0  0        35568     48259076        47360     17150656    0    0     0     0  229  493   0   0 100   0   0 2019-04-21 19:04:29
 0  0        35568     48259556        47368     17150668    0    0     0   699  165  746   0   0 100   0   0 2019-04-21 19:04:32
 0  0        35568     48260232        47368     17150692    0    0     0     0  110  338   0   0 100   0   0 2019-04-21 19:04:35
 0  0        35568     48246032        47376     17150740    0    0     0    24 1303 1893   0   1  99   0   0 2019-04-21 19:04:38
 0  0        35568     48246588        47388     17150764    0    0     0   163  122  300   0   0 100   0   0 2019-04-21 19:04:41
 0  0        35568     48248928        47388     17150848    0    0     0     0  132  348   0   0 100   0   0 2019-04-21 19:04:44
 0  0        35568     48250664        47396     17150836    0    0     0    85  169  402   0   0 100   0   0 2019-04-21 19:04:47
 0  0        35568     48252424        47396     17150860    0    0     0     0  133  347   0   0 100   0   0 2019-04-21 19:04:50
 0  0        35568     48254260        47404     17150912    0    0     0    60  125  371   0   0 100   0   0 2019-04-21 19:04:53
 0  0        35568     48256148        47404     17150884    0    0     0     0  112  293   0   0 100   0   0 2019-04-21 19:04:56
 0  0        35568     48257212        47412     17150748    0    0     0   108  231  490   0   0 100   0   0 2019-04-21 19:04:59
 0  0        35568     48257392        47420     17150852    0    0     0   736  190  785   0   0 100   0   0 2019-04-21 19:05:02
 0  0        35568     48259160        47420     17150800    0    0     0     0  114  296   0   0 100   0   0 2019-04-21 19:05:05
 0  0        35568     48245480        47428     17150796    0    0     0    60 1372 1913   0   1  99   0   0 2019-04-21 19:05:08
 0  0        35568     48247008        47428     17150800    0    0     0     0  116  308   0   0 100   0   0 2019-04-21 19:05:11
 0  0        35568     48248728        47440     17150824    0    0     0   136  145  350   0   0 100   0   0 2019-04-21 19:05:14
