procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 1  0            0     62684568       549720      2325428    0    0     0     0    1    1   0   0 100   0   0 2019-07-08 20:09:17
 1  0            0     62704532       549728      2326060    0    0     0   135 2571 3047   4   1  95   0   0 2019-07-08 20:09:20
 0  0            0     62665668       549728      2326004    0    0     0     0  947 1372   3   0  97   0   0 2019-07-08 20:09:23
 0  0            0     62665884       549732      2326060    0    0     0   117  984 1877   0   0 100   0   0 2019-07-08 20:09:26
 2  0            0     62683896       549736      2325376    0    0     0    19 1250 1961   2   0  98   0   0 2019-07-08 20:09:29
 0  0            0     62682484       549736      2325368    0    0     0    27 1435 2148   2   1  98   0   0 2019-07-08 20:09:32
 0  0            0     62682764       549736      2325392    0    0     0    51  959 1868   0   0 100   0   0 2019-07-08 20:09:35
 0  0            0     62683632       549736      2325396    0    0     0     0  947 1841   0   0 100   0   0 2019-07-08 20:09:38
 0  0            0     62683888       549744      2325416    0    0     0    37  963 1862   0   0 100   0   0 2019-07-08 20:09:41
 0  0            0     62684756       549744      2325420    0    0     0    13  966 1872   0   0 100   0   0 2019-07-08 20:09:44
 0  0            0     62685128       549744      2325432    0    0     0    25  956 1858   0   0 100   0   0 2019-07-08 20:09:47
 0  0            0     62685624       549748      2325440    0    0     0    11  947 1842   0   0 100   0   0 2019-07-08 20:09:50
 0  0            0     62686120       549752      2325440    0    0     0    24  960 1861   0   0 100   0   0 2019-07-08 20:09:53
 0  0            0     62686492       549756      2325456    0    0     0    15  958 1859   0   0 100   0   0 2019-07-08 20:09:56
 0  0            0     62686864       549756      2325464    0    0     0    25  957 1860   0   0 100   0   0 2019-07-08 20:09:59
 0  0            0     62687204       549760      2325236    0    0     0    35 1065 1974   0   0 100   0   0 2019-07-08 20:10:02
 1  0            0     62687248       549760      2325304    0    0     0    19  958 1874   0   0 100   0   0 2019-07-08 20:10:05
 0  0            0     62688080       549760      2325332    0    0     0    31  962 1865   0   0 100   0   0 2019-07-08 20:10:08
 0  0            0     62688236       549760      2325336    0    0     0    12  955 1859   0   0 100   0   0 2019-07-08 20:10:11
 0  0            0     62688616       549760      2325344    0    0     0    24  955 1848   0   0 100   0   0 2019-07-08 20:10:14
 0  0            0     62688728       549760      2325360    0    0     0    12  969 1881   0   0 100   0   0 2019-07-08 20:10:17
 0  0            0     62688860       549760      2325376    0    0     0    21  967 1871   0   0 100   0   0 2019-07-08 20:10:20
 0  0            0     62689908       549764      2325368    0    0     0    11  965 1872   0   0 100   0   0 2019-07-08 20:10:23
 0  0            0     62689908       549764      2325384    0    0     0    12  944 1844   0   0 100   0   0 2019-07-08 20:10:26
 0  0            0     62692136       549764      2325356    0    0     0     0  977 1877   0   0 100   0   0 2019-07-08 20:10:29
 1  0            0     62691392       549764      2325356    0    0     0    12  968 1877   0   0 100   0   0 2019-07-08 20:10:32
 0  0            0     62688992       549764      2325612    0    0     0    39 1067 1984   0   0 100   0   0 2019-07-08 20:10:35
 0  0            0     62689684       549764      2325620    0    0     0    52  960 1856   0   0 100   0   0 2019-07-08 20:10:38
 0  0            0     62690056       549764      2325636    0    0     0     0  953 1853   0   0 100   0   0 2019-07-08 20:10:41
 0  0            0     62690216       549776      2325580    0    0     0    36  966 1867   0   0 100   0   0 2019-07-08 20:10:44
 0  0            0     62690340       549776      2325596    0    0     0    20  956 1865   0   0 100   0   0 2019-07-08 20:10:47
 0  0            0     62690588       549776      2325608    0    0     0    32  949 1842   0   0 100   0   0 2019-07-08 20:10:50
 0  0            0     62690796       549780      2325616    0    0     0    13  960 1860   0   0 100   0   0 2019-07-08 20:10:53
 0  0            0     62691044       549780      2325620    0    0     0    24  966 1863   0   0 100   0   0 2019-07-08 20:10:56
 0  0            0     62691240       549784      2325628    0    0     0    32  962 1867   0   0 100   0   0 2019-07-08 20:10:59
 0  0            0     62691496       549784      2325636    0    0     0     0  950 1846   0   0 100   0   0 2019-07-08 20:11:02
 0  0            0     62689124       549784      2325712    0    0     0    51 1081 2008   0   0 100   0   0 2019-07-08 20:11:05
 0  0            0     62689380       549784      2325720    0    0     0    19  967 1886   0   0 100   0   0 2019-07-08 20:11:08
 0  0            0     62689504       549784      2325724    0    0     0    28  961 1862   0   0 100   0   0 2019-07-08 20:11:11
 0  0            0     62689876       549784      2325736    0    0     0    12  948 1849   0   0 100   0   0 2019-07-08 20:11:14
 0  0            0     62690124       549784      2325744    0    0     0    21  955 1858   0   0 100   0   0 2019-07-08 20:11:17
 0  0            0     62690124       549784      2325756    0    0     0    36  957 1859   0   0 100   0   0 2019-07-08 20:11:20
 0  0            0     62690592       549784      2325768    0    0     0     0  954 1855   0   0 100   0   0 2019-07-08 20:11:23
 0  0            0     62690716       549784      2325772    0    0     0    43  953 1848   0   0 100   0   0 2019-07-08 20:11:26
 0  0            0     62691000       549788      2325784    0    0     0    11  957 1857   0   0 100   0   0 2019-07-08 20:11:29
 0  0            0     62690968       549788      2325824    0    0     0    24  954 1853   0   0 100   0   0 2019-07-08 20:11:32
 0  0            0     62688772       549788      2326004    0    0     0    20 1072 1995   0   0 100   0   0 2019-07-08 20:11:35
 0  0            0     62689356       549788      2326016    0    0     0    29  954 1847   0   0 100   0   0 2019-07-08 20:11:38
 0  0            0     62689512       549788      2326040    0    0     0    39  958 1861   0   0 100   0   0 2019-07-08 20:11:41
 0  0            0     62689636       549788      2326056    0    0     0     0  960 1860   0   0 100   0   0 2019-07-08 20:11:44
 0  0            0     62689884       549788      2326064    0    0     0    45  961 1865   0   0 100   0   0 2019-07-08 20:11:47
 0  0            0     62690208       549788      2326068    0    0     0    12  940 1843   0   0 100   0   0 2019-07-08 20:11:50
 0  0            0     62690332       549788      2326080    0    0     0    21  959 1859   0   0 100   0   0 2019-07-08 20:11:53
 0  0            0     62690420       549788      2326088    0    0     0    11  964 1861   0   0 100   0   0 2019-07-08 20:11:56
 0  0            0     62690608       549788      2326088    0    0     0    21  961 1860   0   0 100   0   0 2019-07-08 20:11:59
 0  0            0     62690608       549792      2326112    0    0     0    12  945 1842   0   0 100   0   0 2019-07-08 20:12:02
 0  0            0     62689016       549792      2326176    0    0     0    24 1050 1986   0   0 100   0   0 2019-07-08 20:12:05
