procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 1  0            0     63850760       480968      1212056    0    0     0     2    2    5   1   0  99   0   0 2019-04-20 18:20:45
 1  0            0     63869948       480968      1211744    0    0     0   220 4685 3858   5   1  94   0   0 2019-04-20 18:20:48
 0  0            0     63791740       480968      1211972    0    0     0     0 1207 1517   4   0  96   0   0 2019-04-20 18:20:51
 1  0            0     63850756       480968      1212052    0    0     0   108 1099 2031   0   0 100   0   0 2019-04-20 18:20:54
 1  0            0     63848196       480968      1211952    0    0     0     0 1593 2290   3   1  97   0   0 2019-04-20 18:20:57
 0  0            0     63847388       480968      1211808    0    0     0    52 1578 2295   2   1  97   0   0 2019-04-20 18:21:00
 0  0            0     63848644       480968      1211844    0    0     0    29 1003 1903   0   0 100   0   0 2019-04-20 18:21:03
 0  0            0     63851660       480968      1211820    0    0     0    41  997 1894   0   0 100   0   0 2019-04-20 18:21:06
 0  0            0     63854008       480980      1211884    0    0     0    41  989 1885   0   0 100   0   0 2019-04-20 18:21:09
 0  0            0     63856664       480980      1211872    0    0     0     0  989 1884   0   0 100   0   0 2019-04-20 18:21:12
 0  0            0     63858772       480980      1211888    0    0     0    45 1092 1910   0   0 100   0   0 2019-04-20 18:21:15
 0  0            0     63860888       480980      1211900    0    0     0     0  992 1888   0   0 100   0   0 2019-04-20 18:21:18
 0  0            0     63861660       480984      1211904    0    0     0    57  990 1882   0   0 100   0   0 2019-04-20 18:21:21
 0  0            0     63861996       480984      1211928    0    0     0    48  997 1885   0   0 100   0   0 2019-04-20 18:21:24
 0  0            0     63862148       480984      1211920    0    0     0     0  988 1879   0   0 100   0   0 2019-04-20 18:21:27
 0  0            0     63860740       480984      1212012    0    0     0    47 1105 2021   0   0 100   0   0 2019-04-20 18:21:30
 0  0            0     63861676       480984      1211928    0    0     0     0  989 1888   0   0 100   0   0 2019-04-20 18:21:33
 0  0            0     63862404       480984      1211940    0    0     0    61 1002 1899   0   0 100   0   0 2019-04-20 18:21:36
 0  0            0     63862888       480984      1211948    0    0     0    21  990 1888   0   0 100   0   0 2019-04-20 18:21:39
 0  0            0     63863144       480984      1211960    0    0     0    23  987 1886   0   0 100   0   0 2019-04-20 18:21:42
 0  0            0     63863524       480984      1211968    0    0     0    45  979 1873   0   0 100   0   0 2019-04-20 18:21:45
 0  0            0     63863724       480984      1211992    0    0     0     0  984 1887   0   0 100   0   0 2019-04-20 18:21:48
 0  0            0     63863920       480984      1211948    0    0     0    63  994 1893   0   0 100   0   0 2019-04-20 18:21:51
 0  0            0     63867128       480984      1211916    0    0     0     0 1009 1911   0   0 100   0   0 2019-04-20 18:21:54
 0  0            0     63869104       480984      1211824    0    0     0    57  999 1898   0   0 100   0   0 2019-04-20 18:21:57
 0  0            0     63868796       480984      1211836    0    0     0    41 1064 1988   0   0 100   0   0 2019-04-20 18:22:00
 0  0            0     63868896       480984      1211820    0    0     0     0 1014 1926   0   0 100   0   0 2019-04-20 18:22:03
 0  0            0     63869272       480984      1211836    0    0     0    64  998 1904   0   0 100   0   0 2019-04-20 18:22:06
 0  0            0     63869684       480984      1211852    0    0     0     0  982 1874   0   0 100   0   0 2019-04-20 18:22:09
