procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 2  0        15556      9219216        41068     56177272    0    0   656  1731    4    3   2   1  93   4   0 2019-04-20 18:20:36
 0  0        15556      9219640        41068     56178152    0    0     0     0 1567 1636   1   1  98   0   0 2019-04-20 18:20:39
 0  0        15556      9221232        41080     56178172    0    0     0   272  161  802   0   0 100   0   0 2019-04-20 18:20:42
 0  0        15556      9224336        41080     56178148    0    0     0     0  151  380   0   0 100   0   0 2019-04-20 18:20:45
 0  0        15556      9226868        41088     56178060    0    0     0   648  190  402   0   0 100   0   0 2019-04-20 18:20:48
 4  0        15556     15067980        41096     50291044    0    0     9    45  941  937   0   3  96   0   0 2019-04-20 18:20:51
 2  0        15556     58816312        41096      6564936    0    0     0     2 1777 1092   0  14  86   0   0 2019-04-20 18:20:54
 0  0        15556     60188516        41112      5212900    0    0     3    52 1457 2113   0   1  98   0   0 2019-04-20 18:20:57
 0  0        15556     60190228        41112      5212828    0    0     0     0  151  368   0   0 100   0   0 2019-04-20 18:21:00
 0  0        15556     60191132        41132      5212928    0    0     7    57  142  346   0   0 100   0   0 2019-04-20 18:21:03
 0  0        15556     60193572        41140      5212900    0    0     0   260  176  356   0   0 100   0   0 2019-04-20 18:21:06
 0  0        15556     60195560        41140      5213096    0    0     0     0  166  399   0   0 100   0   0 2019-04-20 18:21:09
 0  0        15556     60197204        41148      5213084    0    0     0    44  146  818   0   0 100   0   0 2019-04-20 18:21:12
 0  0        15556     60199148        41148      5213164    0    0     0     0  143  350   0   0 100   0   0 2019-04-20 18:21:15
 0  0        15556     60200604        41156      5213132    0    0     0   649  144  369   0   0 100   0   0 2019-04-20 18:21:18
 0  0        15556     60201604        41156      5213136    0    0     0     0  151  358   0   0 100   0   0 2019-04-20 18:21:21
 0  0        15556     60201820        41164      5213212    0    0     0    12  171  399   0   0 100   0   0 2019-04-20 18:21:24
 0  0        15556     60188028        41172      5213212    0    0     0    15 1319 1877   0   1  99   0   0 2019-04-20 18:21:27
 0  0        15556     60191124        41172      5213444    0    0     0     0  157  371   0   0 100   0   0 2019-04-20 18:21:30
 0  0        15556     60193660        41184      5213428    0    0     0    49  138  369   0   0 100   0   0 2019-04-20 18:21:33
 0  0        15556     60195484        41184      5213480    0    0     0   199  164  363   0   0 100   0   0 2019-04-20 18:21:36
 0  0        15556     60198056        41192      5213372    0    0     0    11  219  495   0   0 100   0   0 2019-04-20 18:21:39
 0  0        15556     60199292        41200      5213468    0    0     0    45  235  895   0   0 100   0   0 2019-04-20 18:21:42
 0  0        15556     60201924        41200      5213468    0    0     0     0  132  336   0   0 100   0   0 2019-04-20 18:21:45
 0  0        15556     60203804        41232      5213420    0    0     0   649  162  315   0   0 100   0   0 2019-04-20 18:21:48
 0  0        15556     60204928        41232      5213424    0    0     0     0  151  346   0   0 100   0   0 2019-04-20 18:21:51
 0  0        15556     60207548        41240      5213252    0    0     0    12  206  482   0   0 100   0   0 2019-04-20 18:21:54
 1  0        15556     60206076        41240      5213124    0    0     0     0  296  681   0   0 100   0   0 2019-04-20 18:21:57
 0  0        15556     60199512        41248      5213048    0    0     0    48 1097 1699   0   1  99   0   0 2019-04-20 18:22:00
 0  0        15556     60202504        41260      5213056    0    0     0    39  116  314   0   0 100   0   0 2019-04-20 18:22:03
 0  0        15556     60204432        41260      5213060    0    0     0     0  116  303   0   0 100   0   0 2019-04-20 18:22:06
 0  0        15556     60206164        41268      5212968    0    0     0     7  164  402   0   0 100   0   0 2019-04-20 18:22:09
 0  0        15556     60207048        41268      5213096    0    0     0     0  197  820   0   0 100   0   0 2019-04-20 18:22:12
 0  0        15556     60208816        41276      5213016    0    0     0    56  147  375   0   0 100   0   0 2019-04-20 18:22:15
 0  0        15556     60210100        41276      5213048    0    0     0     9  119  320   0   0 100   0   0 2019-04-20 18:22:18
 0  1        15556     60211004        41284      5213000    0    0     0   127  123  297   0   0 100   0   0 2019-04-20 18:22:21
 0  0        15556     60211828        41296      5213052    0    0     0   141  138  319   0   0 100   0   0 2019-04-20 18:22:24
 0  0        15556     60212904        41296      5213064    0    0     0     3  142  355   0   0 100   0   0 2019-04-20 18:22:27
 0  0        15556     60202092        41308      5213088    0    0     0    55 1227 1987   0   1  99   0   0 2019-04-20 18:22:30
 0  0        15556     60204060        41308      5213048    0    0     0    47  126  323   0   0 100   0   0 2019-04-20 18:22:33
 0  0        15556     60204988        41316      5213120    0    0     0    15  119  297   0   0 100   0   0 2019-04-20 18:22:36
 0  0        15556     60206204        41324      5213060    0    0     0     7  137  348   0   0 100   0   0 2019-04-20 18:22:39
 0  0        15556     60207304        41324      5213248    0    0     0   417  219  443   0   0 100   0   0 2019-04-20 18:22:42
 0  0        15556     60208404        41332      5213232    0    0     0    51  182  457   0   0 100   0   0 2019-04-20 18:22:45
 0  0        15556     60210060        41332      5213168    0    0     0    69  147  789   0   0 100   0   0 2019-04-20 18:22:48
 0  0        15556     60210688        41340      5213168    0    0     0    20  115  308   0   0 100   0   0 2019-04-20 18:22:51
 0  0        15556     60211176        41340      5213188    0    0     0    11  110  308   0   0 100   0   0 2019-04-20 18:22:54
 0  0        15556     60211488        41352      5213148    0    0     0   155  118  300   0   0 100   0   0 2019-04-20 18:22:57
 0  0        15556     60199508        41364      5213324    0    0     0    80 1388 1992   0   1  99   0   0 2019-04-20 18:23:00
 0  0        15556     60201688        41364      5213320    0    0     0     1  150  381   0   0 100   0   0 2019-04-20 18:23:03
 0  0        15556     60203324        41372      5213352    0    0     0    11  115  300   0   0 100   0   0 2019-04-20 18:23:06
 0  0        15556     60205148        41372      5213316    0    0     0     0  107  296   0   0 100   0   0 2019-04-20 18:23:09
 0  0        15556     60205876        41380      5213344    0    0     0    15  217  463   0   0 100   0   0 2019-04-20 18:23:12
 0  0        15556     60207372        41388      5213360    0    0     0    44  142  380   0   0 100   0   0 2019-04-20 18:23:15
 0  0        15556     60208868        41388      5213368    0    0     0    45  130  389   0   0 100   0   0 2019-04-20 18:23:18
 0  0        15556     60209832        41396      5213400    0    0     0    21  120  710   0   0 100   0   0 2019-04-20 18:23:21
 0  0        15556     60211252        41396      5213364    0    0     0   127  115  310   0   0 100   0   0 2019-04-20 18:23:24
 0  0        15556     60211868        41404      5213440    0    0     0    17  103  299   0   0 100   0   0 2019-04-20 18:23:27
 0  0        15556     60198508        41404      5213520    0    0     0     7 1311 1916   0   1  99   0   0 2019-04-20 18:23:30
 0  0        15556     60201368        41416      5213404    0    0     0   208  149  396   0   0 100   0   0 2019-04-20 18:23:33
 0  0        15556     60204228        41424      5213540    0    0     0    40  164  404   0   0 100   0   0 2019-04-20 18:23:36
 0  0        15556     60206456        41424      5213768    0    0     0   488  174  364   0   0 100   0   0 2019-04-20 18:23:39
 0  0        15556     60208008        41432      5213724    0    0     0    33  200  453   0   0 100   0   0 2019-04-20 18:23:42
 0  0        15556     60209148        41432      5213728    0    0     0     0  126  367   0   0 100   0   0 2019-04-20 18:23:45
 0  0        15556     60210492        41440      5213944    0    0     0   583  129  306   0   0 100   0   0 2019-04-20 18:23:48
