procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 1  0            0     63846132       480968      1211880    0    0     0     2    2    5   1   0  99   0   0 2019-04-20 18:20:47
 1  0            0     63869920       480968      1211852    0    0     0   220 3448 2089   5   1  94   0   0 2019-04-20 18:20:50
 0  0            0     63792352       480968      1212024    0    0     0    67 1326 2179   1   0  98   0   0 2019-04-20 18:20:53
 0  0            0     63847540       480968      1212048    0    0     0    41 1365 2087   2   1  97   0   0 2019-04-20 18:20:56
 1  0            0     63854440       480968      1211940    0    0     0    52 1653 2380   3   1  97   0   0 2019-04-20 18:20:59
 0  0            0     63847644       480968      1211844    0    0     0     0 1261 2154   1   0  99   0   0 2019-04-20 18:21:02
 0  0            0     63850544       480968      1211812    0    0     0    71  990 1892   0   0 100   0   0 2019-04-20 18:21:05
 0  0            0     63852908       480968      1211864    0    0     0     0  988 1883   0   0 100   0   0 2019-04-20 18:21:08
 0  0            0     63855280       480980      1211852    0    0     0    41 1000 1899   0   0 100   0   0 2019-04-20 18:21:11
 0  0            0     63857788       480980      1211876    0    0     0    45 1011 1906   0   0 100   0   0 2019-04-20 18:21:14
 1  0            0     63860116       480980      1211884    0    0     0     0 1061 1876   0   0 100   0   0 2019-04-20 18:21:17
 0  0            0     63861516       480984      1211876    0    0     0    57 1000 1898   0   0 100   0   0 2019-04-20 18:21:20
 0  0            0     63861864       480984      1211932    0    0     0     0  992 1881   0   0 100   0   0 2019-04-20 18:21:23
 0  0            0     63862032       480984      1211908    0    0     0    48  993 1884   0   0 100   0   0 2019-04-20 18:21:26
 0  0            0     63862148       480984      1211928    0    0     0    20  975 1867   0   0 100   0   0 2019-04-20 18:21:29
 0  0            0     63861416       480984      1211924    0    0     0    27 1119 2037   0   0 100   0   0 2019-04-20 18:21:32
 0  0            0     63862288       480984      1211928    0    0     0    61 1003 1900   0   0 100   0   0 2019-04-20 18:21:35
 0  0            0     63862764       480984      1211944    0    0     0     0  989 1887   0   0 100   0   0 2019-04-20 18:21:38
 0  0            0     63863020       480984      1211960    0    0     0    44  975 1872   0   0 100   0   0 2019-04-20 18:21:41
 0  0            0     63863392       480984      1211960    0    0     0     0  986 1883   0   0 100   0   0 2019-04-20 18:21:44
 0  0            0     63863736       480984      1211988    0    0     0    45  991 1889   0   0 100   0   0 2019-04-20 18:21:47
 0  0            0     63863920       480984      1211944    0    0     0    63  995 1900   0   0 100   0   0 2019-04-20 18:21:50
 0  0            0     63864016       480984      1211960    0    0     0     0  971 1866   0   0 100   0   0 2019-04-20 18:21:53
 0  0            0     63868856       480984      1211824    0    0     0    57 1031 1934   0   0 100   0   0 2019-04-20 18:21:56
 0  0            0     63869096       480984      1211832    0    0     0     0  990 1889   0   0 100   0   0 2019-04-20 18:21:59
 0  0            0     63868904       480984      1211808    0    0     0    41 1095 2034   0   0 100   0   0 2019-04-20 18:22:02
 0  0            0     63869272       480984      1211832    0    0     0    25  973 1875   0   0 100   0   0 2019-04-20 18:22:05
 0  0            0     63869684       480984      1211844    0    0     0    39  999 1895   0   0 100   0   0 2019-04-20 18:22:08
