procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 1  0        36392     51656160        21212     13752432    0    0   809  2093    4    1   2   2  92   5   0 2019-04-21 12:16:52
 0  0        36392     51659808        21212     13753420    0    0     0    85  710  839   1   0  99   0   0 2019-04-21 12:16:55
 0  0        36392     51662296        21224     13753420    0    0     0    68  150  357   0   0 100   0   0 2019-04-21 12:16:58
 0  0        36392     51665088        21224     13753336    0    0     0    77  161  394   0   0 100   0   0 2019-04-21 12:17:01
 0  0        36392     51667856        21232     13753332    0    0     0    33  189  479   0   0 100   0   0 2019-04-21 12:17:04
 1  0        36392     58175448        21232      7231672    0    0     0    89 1236 1713   1   3  96   0   0 2019-04-21 12:17:07
 0  0        36392     64646440        21244       771084    0    0     0    74  580  741   0   3  97   0   0 2019-04-21 12:17:10
 0  0        36392     64648900        21256       771088    0    0     0   247  189  414   0   0 100   0   0 2019-04-21 12:17:13
 0  0        36392     64650308        21264       771048    0    0     0   532  244  429   0   0 100   0   0 2019-04-21 12:17:16
 0  0        36392     64645832        21272       770864    0    0     0    73 1457 1987   0   1  99   0   0 2019-04-21 12:17:19
 0  0        36392     64647816        21272       770912    0    0     0     0  161  394   0   0 100   0   0 2019-04-21 12:17:22
 0  0        36392     64650076        21284       770884    0    0     0    41  129  316   0   0 100   0   0 2019-04-21 12:17:25
 0  0        36392     64652672        21292       770884    0    0     0    17  131  341   0   0 100   0   0 2019-04-21 12:17:28
 0  0        36392     64654416        21292       770888    0    0     0     0  134  348   0   0 100   0   0 2019-04-21 12:17:31
 0  0        36392     64655756        21300       770892    0    0     0    20  162  415   0   0 100   0   0 2019-04-21 12:17:34
11  0        36392     64656816        21300       770956    0    0     0     0  176  424   0   0 100   0   0 2019-04-21 12:17:37
 0  0        36392     64658188        21308       770916    0    0     0    35  146  796   0   0 100   0   0 2019-04-21 12:17:40
 0  0        36392     64658660        21316       770920    0    0     0    47  179  435   0   0 100   0   0 2019-04-21 12:17:43
 0  0        36392     64659520        21324       770944    0    0     0   747  227  390   0   0 100   0   0 2019-04-21 12:17:46
 0  0        36392     64644140        21332       771536    0    0     0    72 1437 1943   0   1  99   0   0 2019-04-21 12:17:49
 0  0        36392     64645792        21332       771520    0    0     0     0  173  415   0   0 100   0   0 2019-04-21 12:17:52
 0  0        36392     64647912        21344       771504    0    0     0    45  134  326   0   0 100   0   0 2019-04-21 12:17:55
 0  0        36392     64649980        21344       771568    0    0     0     0  118  322   0   0 100   0   0 2019-04-21 12:17:58
 0  0        36392     64651652        21352       771676    0    0     0    15  135  342   0   0 100   0   0 2019-04-21 12:18:01
 0  0        36392     64653464        21360       771548    0    0     0    19  159  392   0   0 100   0   0 2019-04-21 12:18:04
 0  0        36392     64658900        21360       771528    0    0     0     0  220  540   0   0 100   0   0 2019-04-21 12:18:07
 0  0        36392     64662004        21368       771404    0    0     0    31  188  865   0   0 100   0   0 2019-04-21 12:18:10
 0  0        36392     64662788        21368       771416    0    0     0     0  174  460   0   0 100   0   0 2019-04-21 12:18:13
 0  0        36392     64663272        21376       771632    0    0     0   785  279  417   0   0 100   0   0 2019-04-21 12:18:16
 0  0        36392     64652784        21384       771120    0    0     0    87 1342 1896   0   1  99   0   0 2019-04-21 12:18:19
 0  0        36392     64654052        21384       771560    0    0     0     0  303  462   0   0 100   0   0 2019-04-21 12:18:22
 0  0        36392     64656184        21396       771408    0    0     0    43  145  353   0   0 100   0   0 2019-04-21 12:18:25
 1  0        36392     64658588        21396       771460    0    0     0     0  120  320   0   0 100   0   0 2019-04-21 12:18:28
 0  0        36392     64660032        21404       771456    0    0     0    17  142  365   0   0 100   0   0 2019-04-21 12:18:31
 0  0        36392     64661512        21404       771476    0    0     0     0  113  311   0   0 100   0   0 2019-04-21 12:18:34
 0  0        36392     64663196        21412       771444    0    0     0    19  185  439   0   0 100   0   0 2019-04-21 12:18:37
 0  0        36392     64664324        21420       771468    0    0     0    29  159  416   0   0 100   0   0 2019-04-21 12:18:40
 0  0        36392     64665348        21420       771500    0    0     0     0  181  835   0   0 100   0   0 2019-04-21 12:18:43
 0  0        36392     64666028        21444       771852    0    0     0   796  248  413   0   0 100   0   0 2019-04-21 12:18:46
 0  0        36392     64668152        21444       771624    0    0     0     0  115  313   0   0 100   0   0 2019-04-21 12:18:49
