procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 1  0        26720      5787804       478496     47620208    0    0     4    48    0    0   0   0 100   0   0 2019-03-10 03:46:41
 0  0        26720      5787724       478496     47620208    0    0     0    87 2076 4034   3   1  96   0   0 2019-03-10 03:46:44
 0  0        26720      5790168       478496     47620140    0    0     0  2387 1430 3568   0   0  99   0   0 2019-03-10 03:46:47
 1  0        26720      5785120       478496     47619980    0    0     0   135 1426 3585   1   0  99   0   0 2019-03-10 03:46:50
 0  0        26720      5781072       478496     47620084    0    0     0    19 1919 4188   1   0  98   0   0 2019-03-10 03:46:53
 0  0        26720      5783240       478496     47620132    0    0     0     0 1386 3617   0   0 100   0   0 2019-03-10 03:46:56
 0  0        26720      5785756       478496     47620104    0    0     0    25 1393 3681   0   0  99   0   0 2019-03-10 03:46:59
 0  0        26720      5787720       478496     47620076    0    0     0   337 1391 3647   0   0  98   2   0 2019-03-10 03:47:02
 0  0        26720      5789076       478496     47620212    0    0     0    27 1446 3668   0   0  99   0   0 2019-03-10 03:47:05
 0  0        26720      5790788       478496     47620136    0    0     0     0 1394 3607   0   0 100   0   0 2019-03-10 03:47:08
 0  0        26720      5791952       478496     47620180    0    0     0     4 1383 3622   0   0  99   0   0 2019-03-10 03:47:11
 0  0        26720      5793152       478496     47620144    0    0     0     0 1479 3831   0   0 100   0   0 2019-03-10 03:47:14
 0  0        26720      5793384       478496     47620380    0    0     0   588 1768 4203   0   0  99   0   0 2019-03-10 03:47:17
 0  0        26720      5794092       478496     47620160    0    0     0     0 1381 3593   0   0 100   0   0 2019-03-10 03:47:20
 0  0        26720      5792476       478496     47620164    0    0     0    28 1492 3836   0   0  99   0   0 2019-03-10 03:47:23
 0  0        26720      5793012       478496     47620140    0    0     0     0 1390 3684   0   0 100   0   0 2019-03-10 03:47:26
 0  0        26720      5793956       478496     47620132    0    0     0    35 1376 3621   0   0  99   0   0 2019-03-10 03:47:29
 0  0        26720      5794172       478496     47620176    0    0     0   139 1382 3600   0   0  99   0   0 2019-03-10 03:47:32
 0  0        26720      5794736       478496     47620056    0    0     0    20 1455 3641   0   0  99   0   0 2019-03-10 03:47:35
 0  0        26720      5795440       478496     47620104    0    0     0     0 1370 3639   0   0 100   0   0 2019-03-10 03:47:38
 0  0        26720      5796000       478496     47620040    0    0     0     5 1400 3642   0   0 100   0   0 2019-03-10 03:47:41
 0  0        26720      5796108       478496     47620076    0    0     0     0 1379 3644   0   0 100   0   0 2019-03-10 03:47:44
 0  3        26720      5796188       478496     47620488    0    0     0   240 1649 4047   0   0  99   0   0 2019-03-10 03:47:47
 0  0        26720      5796508       478496     47620176    0    0     0     0 1629 3989   0   0  99   0   0 2019-03-10 03:47:50
 0  0        26720      5794168       478496     47620216    0    0     0    48 1474 3712   0   0  99   0   0 2019-03-10 03:47:53
 0  0        26720      5794892       478496     47620260    0    0     0     0 1355 3526   0   0 100   0   0 2019-03-10 03:47:56
 0  0        26720      5795080       478496     47620288    0    0     0    35 1395 3695   0   0 100   0   0 2019-03-10 03:47:59
 0  1        26720      5794936       478496     47620680    0    0     0   328 1372 3647   0   0  99   0   0 2019-03-10 03:48:02
 0  0        26720      5795152       478496     47620320    0    0     0    23 1454 3719   0   0  99   0   0 2019-03-10 03:48:05
 0  0        26720      5795620       478496     47620196    0    0     0     0 1410 3670   0   0 100   0   0 2019-03-10 03:48:08
 0  0        26720      5795920       478496     47620144    0    0     0     4 1357 3606   0   0  99   0   0 2019-03-10 03:48:11
 0  0        26720      5795676       478496     47620116    0    0     0     0 1358 3612   0   0 100   0   0 2019-03-10 03:48:14
 2  0        26720      5795736       478496     47620088    0    0     0     7 1397 3682   0   0 100   0   0 2019-03-10 03:48:17
 0  0        26720      5795596       478504     47620036    0    0     0    61 1801 4324   0   0  99   0   0 2019-03-10 03:48:20
 1  0        26720      5819576       478504     47620100    0    0     0    57 1696 4072   1   0  99   0   0 2019-03-10 03:48:23
 0  0        26720      5802156       478504     47620052    0    0     0     0 1509 3645   1   0  99   0   0 2019-03-10 03:48:26
 0  0        26720      5803184       478504     47619980    0    0     0    36 1373 3609   0   0 100   0   0 2019-03-10 03:48:29
 0  0        26720      5803664       478504     47620016    0    0     0     0 1422 3702   0   0 100   0   0 2019-03-10 03:48:32
 0  0        26720      5803132       478504     47620060    0    0     0   477 1424 3638   0   0  99   0   0 2019-03-10 03:48:35
 0  0        26720      5802956       478504     47620036    0    0     0     0 1383 3622   0   0  99   0   0 2019-03-10 03:48:38
 0  0        26720      5803256       478504     47620172    0    0     0     8 1336 3575   0   0 100   0   0 2019-03-10 03:48:41
 0  0        26720      5803516       478504     47620240    0    0     0     0 1383 3670   0   0 100   0   0 2019-03-10 03:48:44
 0  0        26720      5804264       478504     47620184    0    0     0     7 1350 3606   0   0 100   0   0 2019-03-10 03:48:47
