procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 1  0        63400     18451204        23716     47028228    0    0  1943  7225    2    3   4   3  89   4   0 2019-03-20 04:37:38
 2  0        63392     18444608        23716     47028788    3    0     3    96 1456 1464   2   1  97   0   0 2019-03-20 04:37:41
 2  0        63388     18444192        23728     47029052    0    0     0    68 1334 1369   2   1  97   0   0 2019-03-20 04:37:44
 0  0        63388     18446732        23728     47029280    0    0     0    57  280  472   1   0  99   0   0 2019-03-20 04:37:47
 2  0        63372     29715316        23740     35742820    9    0   115    70 1232 1155   1   5  94   0   0 2019-03-20 04:37:50
 1  1        63372     40652564        23748     24826200    0    0     0   171 1360 1162   1   5  94   0   0 2019-03-20 04:37:53
 0  2        63356     40646448        23760     24825912   19    0  6291     4 2670 2526   2   2  96   0   0 2019-03-20 04:37:56
 0  1        63288     40642788        28056     24826412   27    0  9373   723 3824 3766   2   2  93   3   0 2019-03-20 04:37:59
 0  2        63288     40641832        27204     24824988    0    0 35115   189 8109 8384   1   2  86  11   0 2019-03-20 04:38:02
 0  2        63288     40639544        26976     24825780    0    0 47735   165 10041 10066   1   2  86  11   0 2019-03-20 04:38:05
 0  1        63288     40642096        28512     24825644    0    0 53641   197 10947 10978   0   3  87  10   0 2019-03-20 04:38:08
 0  2        63288     40640796        27320     24827244    0    0 60065   153 12481 12494   1   3  86  10   0 2019-03-20 04:38:11
 0  2        63288     40641632        26900     24824592    0    0 51449   184 10438 10548   1   2  87  10   0 2019-03-20 04:38:14
 0  1        63288     40641728        28840     24825208    0    0 49304   192 10373 10430   1   3  86  10   0 2019-03-20 04:38:17
 0  1        63288     40641528        29100     24826472    0    0 64785   163 13076 13262   1   3  86  10   0 2019-03-20 04:38:20
 0  1        63288     40641516        29140     24822976    0    0 62248   181 12224 12553   1   3  86  10   0 2019-03-20 04:38:23
 0  2        63288     40638416        27876     24825392    0    0 55689   145 11457 11559   1   3  86  10   0 2019-03-20 04:38:26
 1  1        63284     40630928        29616     24824820    0    0 54449   263 11483 11412   1   3  87   9   0 2019-03-20 04:38:29
 0  1        63284     40640984        29780     24824680    0    0 53963   279 10927 11204   1   3  86   9   0 2019-03-20 04:38:32
 4  0        63284     40647320        26800     24826352    0    0 61845   196 12676 12627   1   3  87  10   0 2019-03-20 04:38:35
 0  3        63284     40638320        27488     24825468    0    0 52501   176 10973 11027   1   3  87  10   0 2019-03-20 04:38:38
 0  1        63284     40639692        30172     24826376    0    0 56059   173 11538 11620   1   3  86  10   0 2019-03-20 04:38:41
 0  1        63284     40639088        30384     24824932    0    0 60036   195 12137 12288   1   3  87   9   0 2019-03-20 04:38:44
 0  2        63284     40639128        29536     24825268    0    0 57572   187 11904 11856   1   3  86  10   0 2019-03-20 04:38:47
 0  1        63284     40642860        30720     24825184    0    0 51037   193 10687 10685   1   3  87  10   0 2019-03-20 04:38:50
 0  1        63284     40640108        30348     24824812    0    0 57765   191 12005 12076   1   3  87   9   0 2019-03-20 04:38:53
 0  2        63284     40641000        31048     24825008    0    0 58729   200 11818 12052   1   3  87   9   0 2019-03-20 04:38:56
 0  1        63284     40641640        30780     24825576    0    0 60160   172 12242 12349   1   3  87   9   0 2019-03-20 04:38:59
 0  1        63284     40642304        31372     24824040    0    0 51605   328 10502 10892   1   3  87   9   0 2019-03-20 04:39:02
 0  2        63284     40643832        27336     24826012    0    0 59789   189 12010 12245   1   3  87  10   0 2019-03-20 04:39:05
 0  1        63284     40638976        31676     24826544    0    0 63616   183 12764 12735   1   3  86  10   0 2019-03-20 04:39:08
 0  1        63284     40641328        31428     24824536    0    0 57920   205 11745 11782   1   3  87   9   0 2019-03-20 04:39:11
 0  2        63284     40644464        28460     24826368    0    0 63175   155 12505 12641   1   4  86  10   0 2019-03-20 04:39:14
 0  1        63284     40640920        32140     24825068    0    0 56589   203 11717 11727   1   3  87   9   0 2019-03-20 04:39:17
 5  0        63284     40644560        28084     24825492    0    0 61491   155 12188 12553   0   3  86  10   0 2019-03-20 04:39:20
 0  1        63284     40640512        32440     24826736    0    0 55144   197 11420 11568   1   3  87   9   0 2019-03-20 04:39:23
 0  1        63284     40639732        32604     24825860    0    0 57265   189 11593 11829   1   3  86  10   0 2019-03-20 04:39:26
 0  1        63284     40639088        32740     24825188    0    0 58935   192 12059 12208   1   3  87   9   0 2019-03-20 04:39:29
 2  1        63284     40641044        30840     24823836    0    0 49936   332 10262 10930   1   3  87   9   0 2019-03-20 04:39:32
 4  0        63284     40639624        33096     24826972    0    0 57673   191 11803 11902   1   3  88   9   0 2019-03-20 04:39:35
 5  0        63284     40644484        29032     24826960    0    0 59355   175 11979 12067   1   3  87   9   0 2019-03-20 04:39:38
 4  1        63284     40643744        29204     24825152    0    0 58951   189 12049 12306   1   3  88   9   0 2019-03-20 04:39:41
