procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 1  0         4496     16773008        20304     48772948    0    0   872  5878    5   16   2   2  84  11   0 2019-03-11 00:50:54
 0  0         4496     16778960        20316     48773252    0    0     0    49  666  823   1   0  99   0   0 2019-03-11 00:50:57
 1  0         4432     26534592        20316     39008940   44    0    53   118  867 1118   0   3  96   0   0 2019-03-11 00:51:00
 1  0         4432     40408244        20328     25137296    0    0     0    77  889 1088   0   4  95   0   0 2019-03-11 00:51:03
 0  0         4432     50020768        21396     15522712    0    0  1709    41 1181 1345   0   3  96   0   0 2019-03-11 00:51:06
 1  1         4432     50026144        21440     15523484    0    0  5848   480 2887 2791   2   2  95   2   0 2019-03-11 00:51:09
 0  3         4432     50023408        20888     15524084    0    0 29883   319 7071 7185   1   2  90   8   0 2019-03-11 00:51:12
 1  3         4432     50018656        21460     15524196    0    0 38885   113 8308 8284   0   2  89   9   0 2019-03-11 00:51:15
 0  2         4432     50016000        21748     15525364    0    0 35624   144 7917 7957   0   2  89   9   0 2019-03-11 00:51:18
 1  3         4432     50021748        21960     15523484    0    0 35395   140 7809 8000   0   1  90   8   0 2019-03-11 00:51:21
 0  3         4432     50021024        21988     15524648    0    0 44081   157 9548 9756   0   2  90   8   0 2019-03-11 00:51:24
 0  3         4432     50019776        21528     15522448    0    0 46597   120 9903 10101   0   2  90   8   0 2019-03-11 00:51:27
 0  3         4432     50017464        22216     15524484    0    0 42375   179 9233 9466   0   2  90   8   0 2019-03-11 00:51:30
 0  2         4432     50017956        22364     15523656    0    0 36068   127 7865 7950   0   2  90   8   0 2019-03-11 00:51:33
 0  3         4432     50017932        23552     15524112    0    0 39993   156 8856 9055   0   2  89   8   0 2019-03-11 00:51:36
 1  3         4432     50020188        22720     15522212    0    0 39048   160 8632 8830   0   2  90   8   0 2019-03-11 00:51:39
 0  3         4432     50018372        23540     15522804    0    0 33575   291 7357 7526   1   2  89   9   0 2019-03-11 00:51:42
 0  3         4432     50017964        23784     15523164    0    0 41299   165 9124 9244   0   2  90   8   0 2019-03-11 00:51:45
 0  3         4432     50022032        22460     15522684    0    0 44201   127 9601 9751   0   2  89   9   0 2019-03-11 00:51:48
 0  4         4432     50017168        23864     15522500    0    0 35196   137 7519 7746   0   2  90   8   0 2019-03-11 00:51:51
 0  3         4432     50019112        24068     15522656    0    0 44395   143 9536 9841   0   2  89   8   0 2019-03-11 00:51:54
 0  3         4432     50015452        23592     15522552    0    0 41699   164 8887 9263   0   2  90   8   0 2019-03-11 00:51:57
 0  3         4432     50019368        24160     15524080    0    0 44872   137 9555 9900   0   2  89   8   0 2019-03-11 00:52:00
 0  3         4432     50017020        24296     15523324    0    0 44797   140 9645 9741   0   2  89   9   0 2019-03-11 00:52:03
 0  3         4432     50013752        24520     15524440    0    0 41540   161 9008 9140   0   2  89   8   0 2019-03-11 00:52:06
 0  3         4432     50016440        24132     15522188    0    0 42801   147 9388 9542   0   2  90   8   0 2019-03-11 00:52:09
 1  3         4432     50018312        25072     15521904    0    0 38117   323 8672 8860   1   2  90   7   0 2019-03-11 00:52:12
 1  2         4432     50018356        23740     15524100    0    0 44600   123 9732 9821   0   2  89   9   0 2019-03-11 00:52:15
 1  3         4432     50015568        24764     15522840    0    0 44477   149 9828 9902   0   2  89   8   0 2019-03-11 00:52:18
 0  3         4428     50012472        25336     15524004    0    0 42701   145 9232 9373   0   2  89   8   0 2019-03-11 00:52:21
 1  4         4428     50016796        25208     15522712    0    0 39436   189 8582 8856   0   2  90   8   0 2019-03-11 00:52:24
 0  3         4428     50014992        25696     15523132    0    0 43373   161 9286 9588   0   2  89   8   0 2019-03-11 00:52:27
 0  2         4428     50015068        25728     15522420    0    0 45541   123 9653 9821   0   2  89   9   0 2019-03-11 00:52:30
 1  3         4428     50016980        25980     15523332    0    0 43383   157 9235 9539   0   2  89   8   0 2019-03-11 00:52:33
 3  3         4428     50016836        25608     15523940    0    0 44621   124 9476 9723   0   2  89   8   0 2019-03-11 00:52:36
 1  3         4428     50018416        25904     15522896    0    0 43891   168 9211 9552   0   2  90   8   0 2019-03-11 00:52:39
 2  2         4428     50016308        25492     15523508    0    0 42473   295 9351 9540   1   2  89   8   0 2019-03-11 00:52:42
 4  1         4428     50013944        26708     15523240    0    0 47211   151 10166 10480   1   2  89   8   0 2019-03-11 00:52:45
 0  2         4428     50017972        28456     15521116    0    0 46197   145 10173 10208   0   2  89   8   0 2019-03-11 00:52:48
 1  3         4428     50016600        26284     15521816    0    0 44729   144 9575 9927   0   2  89   8   0 2019-03-11 00:52:51
 3  1         4428     50014876        26516     15523304    0    0 46103   145 9885 10177   0   2  89   8   0 2019-03-11 00:52:54
 1  3         4428     50014336        26852     15522264    0    0 46073   147 10034 10399   0   2  89   8   0 2019-03-11 00:52:57
 3  3         4428     50016440        25944     15523724    0    0 42377   148 9189 9479   0   2  90   7   0 2019-03-11 00:53:00
 0  1         4428     50019740        27076     15522856    0    0 30883   145 6971 7176   0   2  92   6   0 2019-03-11 00:53:03
 0  0         4428     50021256        26140     15523184    0    0 14155   117 3222 3451   0   1  96   3   0 2019-03-11 00:53:06
 0  0         4428     50024636        26140     15522504    0    0     0     0   89  271   0   0 100   0   0 2019-03-11 00:53:09
 2  0         4428     48935476        26156     16602160    0    0   399  3959 1603 1408   1   2  97   0   0 2019-03-11 00:53:12
 0  0         4428     48785720        26156     16745776    0    0  1064 824619 12648 14403   1   1  98   0   0 2019-03-11 00:53:15
 0  0         4428     48788736        26168     16745752    0    0     0 872985 12107 14683   0   1  99   0   0 2019-03-11 00:53:18
 1  1         4428     48791612        26176     16745728    0    0     0 867820 12087 14599   0   1  99   0   0 2019-03-11 00:53:21
 2  0         4428     48794364        26176     16745748    0    0     0 861160 12271 14504   0   0  99   0   0 2019-03-11 00:53:24
 1  0         4428     48797232        26184     16745772    0    0     0 863977 11882 14553   0   0  99   0   0 2019-03-11 00:53:27
 0  0         4428     48799276        26184     16745772    0    0     0 856021 10919 14414   0   1  99   0   0 2019-03-11 00:53:30
 0  0         4428     48799920        26192     16745788    0    0     0 864107 11715 14540   0   0  99   0   0 2019-03-11 00:53:33
 0  0         4428     48800576        26192     16745796    0    0     0 860245 10836 14470   0   1  99   0   0 2019-03-11 00:53:36
 0  0         4428     48800552        26200     16745804    0    0     0 859364 11052 14446   0   0  99   0   0 2019-03-11 00:53:39
 0  0         4428     48800480        26208     16745840    0    0     0 860507 11149 14493   0   0  99   0   0 2019-03-11 00:53:42
 0  0         4428     48798168        26208     16745860    0    0     0 865067 11227 14727   1   1  99   0   0 2019-03-11 00:53:45
 0  0         4428     48799084        26220     16745848    0    0     0 854389 10792 14393   0   1  99   0   0 2019-03-11 00:53:48
 0  0         4428     48799768        26220     16745856    0    0     0 860544 10879 14473   0   1  99   0   0 2019-03-11 00:53:51
 0  0         4428     48799920        26228     16745964    0    0     0 861983 10872 14512   0   1  99   0   0 2019-03-11 00:53:54
 0  0         4428     48800448        26236     16745948    0    0     0 859496 10725 14451   0   0  99   0   0 2019-03-11 00:53:57
 1  0         4428     48800732        26236     16745956    0    0     0 863019 10888 14496   0   1  99   0   0 2019-03-11 00:54:00
