procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 0  0        60884     16031976        18824     49485944    0    0  1253  5085    1    3   3   2  93   2   0 2019-03-18 18:16:19
 0  0        60852     16027108        18844     49487064   11    0    92   117 1507 1642   2   1  97   0   0 2019-03-18 18:16:22
 2  0        60808     16016808        18844     49487440   17    0    17     0 1606 1756   2   1  97   0   0 2019-03-18 18:16:25
 1  0        60788     16018328        18856     49487656    7    0     7   173 1390 1421   2   1  97   0   0 2019-03-18 18:16:28
 1  1        60744     16009072        18868     49488588   15    0    15   259 1809 1760   2   1  96   0   0 2019-03-18 18:16:31
 1  0        60704     16004000        18868     49488460   13    0    13     0 1325 1408   2   1  97   0   0 2019-03-18 18:16:34
 5  0        60480     16609032        18880     48847344   77    0   183   201 1220 1468   1   1  98   1   0 2019-03-18 18:16:37
 0  0        60452     51831080        18880     13651200    9    0     9     3 2117 1163   1  14  86   0   0 2019-03-18 18:16:40
 1  0        60436     64006972        18896      1478828    4    0     4   226 1046 1029   0   4  95   0   0 2019-03-18 18:16:43
 1  0        60336     64915392        18916       580808  163    0  5211    87 2260 2269   1   2  96   1   0 2019-03-18 18:16:46
 0  0        60272     64916948        18920       580180   21    0  8284   120 3333 3167   2   2  95   1   0 2019-03-18 18:16:49
 2  4        60160     64895856        19000       581184   39    0  6316   724 3747 3694   3   2  92   3   0 2019-03-18 18:16:52
 0  1        60128     64900984        26640       579656    8    0 49135   616 11995 12559   2   4  86   8   0 2019-03-18 18:16:55
 2  3        60128     64905652        21256       579300    1    0 69095   368 16379 16773   1   4  85  10   0 2019-03-18 18:16:58
 2  7        60120     64905644        20976       578380    4    0 56432   385 13504 13662   1   3  86  10   0 2019-03-18 18:17:01
 0  3        60116     64905032        21328       580256    0    0 64201   380 14929 15327   1   4  86   9   0 2019-03-18 18:17:04
 1  5        60116     64907164        20768       578864    0    0 76183   359 17578 18116   1   4  85  10   0 2019-03-18 18:17:07
 1  7        60116     64900020        24832       578508    0    0 74403   352 17362 17935   1   4  85   9   0 2019-03-18 18:17:10
 2  6        60116     64907988        22040       579056    0    0 72920   340 17295 17967   1   4  86   9   0 2019-03-18 18:17:13
 7  1        60116     64897152        26296       579588    0    0 75039   352 17815 18359   1   5  85   9   0 2019-03-18 18:17:16
 3  5        60116     64904736        23556       579012    0    0 71499   376 17524 18197   1   4  86   9   0 2019-03-18 18:17:19
 2  3        60116     64906400        22648       578248    0    0 73551   353 17493 17947   1   5  85  10   0 2019-03-18 18:17:22
