procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 2  0            0     28911072       479296     35903628    0    0     1    11    1    6   4   3  93   0   0 2019-03-22 08:20:43
 3  0            0     28842952       479300     35966500    0    0     0    84 5876 7513   4   2  95   0   0 2019-03-22 08:20:46
 1  0            0     28752944       479308     36065304    0    0     0  7652 7476 8105   4   2  94   0   0 2019-03-22 08:20:49
 1  1            0     28748212       479308     36065580    0    0     0 14949 2527 4496   3   1  95   0   0 2019-03-22 08:20:52
 2  0            0     28743308       479312     36065224    0    0     1 30295 2758 4951   3   1  95   1   0 2019-03-22 08:20:55
 1  0            0     28742832       479316     36065160    0    0     0    97 2620 4641   3   2  96   0   0 2019-03-22 08:20:58
 1  0            0     28734472       479320     36065424    0    0     0   112 2622 4525   3   2  95   0   0 2019-03-22 08:21:01
 1  0            0     28749400       479320     36065436    0    0     0     0 1837 3430   5   1  94   0   0 2019-03-22 08:21:04
 0  0            0     28671216       479320     36065856    0    0     0    65 1514 2771   3   1  96   0   0 2019-03-22 08:21:07
 0  0            0     28726252       479320     36065788    0    0     0     0 1706 3289   1   1  98   0   0 2019-03-22 08:21:10
 0  0            0     28729668       479320     36065768    0    0     0   423 1659 3065   3   1  96   0   0 2019-03-22 08:21:13
 1  0            0     28734340       479324     36065600    0    0     0    61 1980 3567   2   1  96   0   0 2019-03-22 08:21:16
 1  0            0     28652016       479336     36153588    0    0     0 14339 2662 5789   5   1  93   1   0 2019-03-22 08:21:19
 0  0            0     28632252       479336     36153796    0    0     0   257 2673 4103   4   2  94   0   0 2019-03-22 08:21:22
 0  0            0     28636120       479336     36153848    0    0     0  1136 1181 2907   1   0  99   0   0 2019-03-22 08:21:25
 0  0            0     28639440       479336     36153812    0    0     0    44 1174 2500   1   1  99   0   0 2019-03-22 08:21:28
 1  0            0     28640052       479336     36154056    0    0     0   732 2705 8867   3   2  95   0   0 2019-03-22 08:21:31
 0  0            0     28644028       479336     36154112    0    0     0   140 1153 2436   1   0  99   0   0 2019-03-22 08:21:34
 0  0            0     28647144       479336     36154124    0    0     0    16 1128 2411   1   0  99   0   0 2019-03-22 08:21:37
 0  0            0     28649932       479336     36154240    0    0     0 14401 1314 2549   1   0  99   0   0 2019-03-22 08:21:40
 0  0            0     28646088       479344     36154676    0    0   131    91 1339 2768   1   1  99   0   0 2019-03-22 08:21:43
 0  0            0     28648356       479344     36154584    0    0     0   881 1319 2548   1   0  98   1   0 2019-03-22 08:21:46
 1  0            0     28568732       479344     36190236    0    0     0    80 2264 7877   3   2  95   0   0 2019-03-22 08:21:49
 0  0            0     28649284       479344     36154708    0    0     0    56 1314 2876   1   1  99   0   0 2019-03-22 08:21:52
 0  0            0     28650296       479352     36154732    0    0     0   145 1230 2528   1   0  99   0   0 2019-03-22 08:21:55
 0  0            0     28651560       479352     36154752    0    0     0    57 1212 2579   1   0  99   0   0 2019-03-22 08:21:58
 0  0            0     28652516       479368     36154788    0    0     1   200 1436 3321   1   1  99   0   0 2019-03-22 08:22:01
 0  0            0     28653120       479368     36154860    0    0     0    87 1158 2439   1   0  99   0   0 2019-03-22 08:22:04
 0  0            0     28653924       479384     36154844    0    0     0   488 1165 2394   1   0  99   0   0 2019-03-22 08:22:07
 0  0            0     28654692       479388     36154868    0    0     0    56 1171 2466   1   0  99   0   0 2019-03-22 08:22:10
 0  0            0     28655088       479388     36154896    0    0     0    36 1148 2465   1   0  99   0   0 2019-03-22 08:22:13
 1  0            0     28655560       479388     36154932    0    0     0    23 1148 2462   0   1  99   0   0 2019-03-22 08:22:16
 1  0            0     28654380       479388     36154964    0    0     0    29 1180 2520   1   0  99   0   0 2019-03-22 08:22:19
 0  0            0     28656124       479388     36154976    0    0     0     0 1157 2439   1   0  99   0   0 2019-03-22 08:22:22
 0  1            0     28653684       479396     36154948    0    0     0    85 1282 2644   1   1  99   0   0 2019-03-22 08:22:25
 0  0            0     28654668       479396     36154976    0    0     0    68 1204 2533   1   0  99   0   0 2019-03-22 08:22:28
