Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    219316               78.051%           78.047%
8             W    30389                10.815%           10.814%
1016          W    24282                 8.642%            8.641%
3             W    644                   0.229%            0.229%
32            W    429                   0.153%            0.153%
896           W    417                   0.148%            0.148%
408           W    240                   0.085%            0.085%
416           W    233                   0.083%            0.083%
16            W    227                   0.081%            0.081%
48            W    220                   0.078%            0.078%
984           W    215                   0.077%            0.077%
928           W    211                   0.075%            0.075%
968           W    210                   0.075%            0.075%
120           W    210                   0.075%            0.075%
112           W    210                   0.075%            0.075%
88            W    208                   0.074%            0.074%
15            W    155                   0.055%            0.055%
19            W    151                   0.054%            0.054%
20            W    142                   0.051%            0.051%
17            W    142                   0.051%            0.051%
816           W    125                   0.044%            0.044%
6             W    121                   0.043%            0.043%
200           W    119                   0.042%            0.042%
21            W    118                   0.042%            0.042%
2             W    113                   0.040%            0.040%
824           W    112                   0.040%            0.040%
7             W    111                   0.040%            0.040%
18            W    107                   0.038%            0.038%
14            W    102                   0.036%            0.036%
784           W    97                    0.035%            0.035%
728           W    92                    0.033%            0.033%
192           W    89                    0.032%            0.032%
13            W    89                    0.032%            0.032%
776           W    82                    0.029%            0.029%
22            W    80                    0.028%            0.028%
12            W    67                    0.024%            0.024%
9             W    52                    0.019%            0.019%
23            W    49                    0.017%            0.017%
752           W    47                    0.017%            0.017%
24            W    46                    0.016%            0.016%
11            W    45                    0.016%            0.016%
64            W    44                    0.016%            0.016%
616           W    43                    0.015%            0.015%
792           W    36                    0.013%            0.013%
10            W    36                    0.013%            0.013%
5             W    35                    0.012%            0.012%
608           W    34                    0.012%            0.012%
1             W    33                    0.012%            0.012%
768           W    32                    0.011%            0.011%
25            W    31                    0.011%            0.011%
600           W    28                    0.010%            0.010%
744           W    27                    0.010%            0.010%
72            W    25                    0.009%            0.009%
464           W    24                    0.009%            0.009%
832           W    23                    0.008%            0.008%
56            W    22                    0.008%            0.008%
30            W    21                    0.007%            0.007%
864           W    20                    0.007%            0.007%
472           W    16                    0.006%            0.006%
27            W    14                    0.005%            0.005%
872           W    13                    0.005%            0.005%
760           W    13                    0.005%            0.005%
26            W    11                    0.004%            0.004%
104           W    11                    0.004%            0.004%
880           W    10                    0.004%            0.004%
736           W    10                    0.004%            0.004%
592           W    10                    0.004%            0.004%
29            W    10                    0.004%            0.004%
856           W    9                     0.003%            0.003%
848           W    9                     0.003%            0.003%
840           W    9                     0.003%            0.003%
80            W    8                     0.003%            0.003%
688           W    8                     0.003%            0.003%
712           W    7                     0.002%            0.002%
528           W    7                     0.002%            0.002%
8             R    6                    42.857%            0.002%
888           W    6                     0.002%            0.002%
696           W    6                     0.002%            0.002%
40            W    6                     0.002%            0.002%
384           W    6                     0.002%            0.002%
1             R    6                    42.857%            0.002%
920           W    5                     0.002%            0.002%
904           W    5                     0.002%            0.002%
808           W    5                     0.002%            0.002%
800           W    5                     0.002%            0.002%
640           W    5                     0.002%            0.002%
632           W    5                     0.002%            0.002%
584           W    5                     0.002%            0.002%
456           W    5                     0.002%            0.002%
31            W    5                     0.002%            0.002%
160           W    5                     0.002%            0.002%
680           W    4                     0.001%            0.001%
648           W    4                     0.001%            0.001%
576           W    4                     0.001%            0.001%
552           W    4                     0.001%            0.001%
344           W    4                     0.001%            0.001%
28            W    4                     0.001%            0.001%
944           W    3                     0.001%            0.001%
912           W    3                     0.001%            0.001%
720           W    3                     0.001%            0.001%
704           W    3                     0.001%            0.001%
664           W    3                     0.001%            0.001%
656           W    3                     0.001%            0.001%
568           W    3                     0.001%            0.001%
544           W    3                     0.001%            0.001%
512           W    3                     0.001%            0.001%
496           W    3                     0.001%            0.001%
480           W    3                     0.001%            0.001%
432           W    3                     0.001%            0.001%
288           W    3                     0.001%            0.001%
248           W    3                     0.001%            0.001%
168           W    3                     0.001%            0.001%
976           W    2                     0.001%            0.001%
96            W    2                     0.001%            0.001%
624           W    2                     0.001%            0.001%
4             W    2                     0.001%            0.001%
440           W    2                     0.001%            0.001%
32            R    2                    14.286%            0.001%
272           W    2                     0.001%            0.001%
240           W    2                     0.001%            0.001%
208           W    2                     0.001%            0.001%
184           W    2                     0.001%            0.001%
152           W    2                     0.001%            0.001%
136           W    2                     0.001%            0.001%
992           W    1                     0.000%            0.000%
960           W    1                     0.000%            0.000%
952           W    1                     0.000%            0.000%
672           W    1                     0.000%            0.000%
536           W    1                     0.000%            0.000%
520           W    1                     0.000%            0.000%
488           W    1                     0.000%            0.000%
448           W    1                     0.000%            0.000%
424           W    1                     0.000%            0.000%
400           W    1                     0.000%            0.000%
392           W    1                     0.000%            0.000%
376           W    1                     0.000%            0.000%
368           W    1                     0.000%            0.000%
352           W    1                     0.000%            0.000%
33            W    1                     0.000%            0.000%
312           W    1                     0.000%            0.000%
264           W    1                     0.000%            0.000%
256           W    1                     0.000%            0.000%
232           W    1                     0.000%            0.000%
224           W    1                     0.000%            0.000%
216           W    1                     0.000%            0.000%
1000          W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 14             [  0.005%]
Total write I/Os: 280990         [ 99.995%]
Total read sectors : 118         [  0.000%,       0.058MB]
Total write sectors: 251649611   [100.000%,  122875.787MB]
