Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/sda/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    219326               78.246%           78.244%
8             W    30328                10.820%           10.819%
1016          W    24540                 8.755%            8.755%
3             W    649                   0.232%            0.232%
32            W    369                   0.132%            0.132%
896           W    342                   0.122%            0.122%
408           W    261                   0.093%            0.093%
416           W    244                   0.087%            0.087%
16            W    209                   0.075%            0.075%
48            W    194                   0.069%            0.069%
968           W    175                   0.062%            0.062%
112           W    175                   0.062%            0.062%
984           W    173                   0.062%            0.062%
928           W    173                   0.062%            0.062%
120           W    173                   0.062%            0.062%
88            W    171                   0.061%            0.061%
15            W    144                   0.051%            0.051%
19            W    131                   0.047%            0.047%
17            W    131                   0.047%            0.047%
14            W    127                   0.045%            0.045%
18            W    110                   0.039%            0.039%
2             W    109                   0.039%            0.039%
200           W    102                   0.036%            0.036%
20            W    98                    0.035%            0.035%
816           W    96                    0.034%            0.034%
10            W    90                    0.032%            0.032%
6             W    89                    0.032%            0.032%
824           W    79                    0.028%            0.028%
192           W    79                    0.028%            0.028%
7             W    69                    0.025%            0.025%
13            W    67                    0.024%            0.024%
21            W    65                    0.023%            0.023%
9             W    62                    0.022%            0.022%
64            W    58                    0.021%            0.021%
584           W    49                    0.017%            0.017%
25            W    48                    0.017%            0.017%
11            W    47                    0.017%            0.017%
24            W    46                    0.016%            0.016%
12            W    46                    0.016%            0.016%
592           W    43                    0.015%            0.015%
600           W    40                    0.014%            0.014%
23            W    40                    0.014%            0.014%
1             W    36                    0.013%            0.013%
576           W    33                    0.012%            0.012%
22            W    32                    0.011%            0.011%
944           W    31                    0.011%            0.011%
26            W    31                    0.011%            0.011%
27            W    27                    0.010%            0.010%
496           W    26                    0.009%            0.009%
608           W    23                    0.008%            0.008%
28            W    23                    0.008%            0.008%
56            W    22                    0.008%            0.008%
936           W    21                    0.007%            0.007%
568           W    21                    0.007%            0.007%
512           W    19                    0.007%            0.007%
616           W    16                    0.006%            0.006%
504           W    15                    0.005%            0.005%
520           W    14                    0.005%            0.005%
5             W    13                    0.005%            0.005%
560           W    13                    0.005%            0.005%
952           W    12                    0.004%            0.004%
920           W    12                    0.004%            0.004%
960           W    11                    0.004%            0.004%
904           W    10                    0.004%            0.004%
536           W    10                    0.004%            0.004%
472           W    10                    0.004%            0.004%
