Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    485389               42.978%           39.882%
16            R    229749               20.343%           18.877%
8             R    208509               18.462%           17.132%
1024          W    66014                75.293%            5.424%
40            R    56694                 5.020%            4.658%
32            R    24183                 2.141%            1.987%
56            R    19114                 1.692%            1.571%
256           R    19005                 1.683%            1.562%
48            R    12946                 1.146%            1.064%
8             W    11544                13.167%            0.949%
72            R    10802                 0.956%            0.888%
1016          W    8721                  9.947%            0.717%
88            R    8302                  0.735%            0.682%
64            R    7778                  0.689%            0.639%
104           R    5247                  0.465%            0.431%
80            R    4927                  0.436%            0.405%
512           R    4618                  0.409%            0.379%
96            R    4295                  0.380%            0.353%
120           R    3577                  0.317%            0.294%
136           R    2613                  0.231%            0.215%
112           R    2466                  0.218%            0.203%
128           R    2362                  0.209%            0.194%
152           R    1991                  0.176%            0.164%
144           R    1767                  0.156%            0.145%
168           R    1603                  0.142%            0.132%
160           R    1321                  0.117%            0.109%
184           R    1223                  0.108%            0.100%
176           R    1095                  0.097%            0.090%
192           R    1036                  0.092%            0.085%
200           R    1022                  0.090%            0.084%
216           R    880                   0.078%            0.072%
208           R    806                   0.071%            0.066%
240           R    745                   0.066%            0.061%
224           R    714                   0.063%            0.059%
232           R    705                   0.062%            0.058%
248           R    539                   0.048%            0.044%
264           R    108                   0.010%            0.009%
280           R    77                    0.007%            0.006%
384           R    66                    0.006%            0.005%
328           R    64                    0.006%            0.005%
296           R    64                    0.006%            0.005%
288           R    60                    0.005%            0.005%
896           W    58                    0.066%            0.005%
64            W    58                    0.066%            0.005%
344           R    54                    0.005%            0.004%
112           W    54                    0.062%            0.004%
408           R    51                    0.005%            0.004%
120           W    51                    0.058%            0.004%
360           R    50                    0.004%            0.004%
304           R    50                    0.004%            0.004%
272           R    48                    0.004%            0.004%
320           R    46                    0.004%            0.004%
416           W    45                    0.051%            0.004%
312           R    45                    0.004%            0.004%
352           R    43                    0.004%            0.004%
96            W    42                    0.048%            0.003%
376           R    42                    0.004%            0.003%
960           W    41                    0.047%            0.003%
920           W    41                    0.047%            0.003%
904           W    41                    0.047%            0.003%
872           W    41                    0.047%            0.003%
440           R    41                    0.004%            0.003%
392           R    41                    0.004%            0.003%
32            W    40                    0.046%            0.003%
144           W    40                    0.046%            0.003%
336           R    39                    0.003%            0.003%
472           R    37                    0.003%            0.003%
416           R    36                    0.003%            0.003%
784           W    35                    0.040%            0.003%
768           W    35                    0.040%            0.003%
448           R    35                    0.003%            0.003%
424           R    34                    0.003%            0.003%
400           R    33                    0.003%            0.003%
16            W    32                    0.036%            0.003%
456           R    31                    0.003%            0.003%
432           R    31                    0.003%            0.003%
6             W    29                    0.033%            0.002%
368           R    27                    0.002%            0.002%
20            W    25                    0.029%            0.002%
7             W    24                    0.027%            0.002%
480           R    24                    0.002%            0.002%
464           R    24                    0.002%            0.002%
21            W    21                    0.024%            0.002%
24            W    20                    0.023%            0.002%
408           W    19                    0.022%            0.002%
5             W    18                    0.021%            0.001%
496           R    18                    0.002%            0.001%
22            W    17                    0.019%            0.001%
10            W    17                    0.019%            0.001%
23            W    16                    0.018%            0.001%
3             W    15                    0.017%            0.001%
19            W    15                    0.017%            0.001%
984           W    14                    0.016%            0.001%
56            W    14                    0.016%            0.001%
504           R    14                    0.001%            0.001%
11            W    14                    0.016%            0.001%
9             W    13                    0.015%            0.001%
48            W    13                    0.015%            0.001%
1             W    13                    0.015%            0.001%
488           R    12                    0.001%            0.001%
40            W    12                    0.014%            0.001%
928           W    11                    0.013%            0.001%
2             W    11                    0.013%            0.001%
18            W    11                    0.013%            0.001%
968           W    10                    0.011%            0.001%
88            W    10                    0.011%            0.001%
25            W    10                    0.011%            0.001%
4             W    9                     0.010%            0.001%
1             R    9                     0.001%            0.001%
17            W    9                     0.010%            0.001%
14            W    9                     0.010%            0.001%
12            W    9                     0.010%            0.001%
1008          W    9                     0.010%            0.001%
976           W    8                     0.009%            0.001%
880           W    7                     0.008%            0.001%
952           W    6                     0.007%            0.000%
80            W    6                     0.007%            0.000%
736           W    6                     0.007%            0.000%
248           W    6                     0.007%            0.000%
168           W    6                     0.007%            0.000%
15            W    6                     0.007%            0.000%
936           W    5                     0.006%            0.000%
720           W    5                     0.006%            0.000%
696           W    5                     0.006%            0.000%
632           W    5                     0.006%            0.000%
376           W    5                     0.006%            0.000%
360           W    5                     0.006%            0.000%
26            W    5                     0.006%            0.000%
200           W    5                     0.006%            0.000%
184           W    5                     0.006%            0.000%
160           W    5                     0.006%            0.000%
13            W    5                     0.006%            0.000%
128           W    5                     0.006%            0.000%
104           W    5                     0.006%            0.000%
888           W    4                     0.005%            0.000%
856           W    4                     0.005%            0.000%
848           W    4                     0.005%            0.000%
824           W    4                     0.005%            0.000%
760           W    4                     0.005%            0.000%
