Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    75819                79.457%           79.442%
8             W    9786                 10.256%           10.254%
1016          W    7974                  8.357%            8.355%
32            W    83                    0.087%            0.087%
968           W    75                    0.079%            0.079%
48            W    75                    0.079%            0.079%
112           W    74                    0.078%            0.078%
984           W    73                    0.077%            0.076%
896           W    72                    0.075%            0.075%
88            W    72                    0.075%            0.075%
120           W    71                    0.074%            0.074%
928           W    70                    0.073%            0.073%
904           W    70                    0.073%            0.073%
16            W    51                    0.053%            0.053%
3             W    43                    0.045%            0.045%
200           W    43                    0.045%            0.045%
816           W    41                    0.043%            0.043%
824           W    38                    0.040%            0.040%
192           W    37                    0.039%            0.039%
408           W    34                    0.036%            0.036%
416           W    31                    0.032%            0.032%
2             W    31                    0.032%            0.032%
64            W    29                    0.030%            0.030%
1             W    22                    0.023%            0.023%
24            W    19                    0.020%            0.020%
5             W    18                    0.019%            0.019%
11            W    18                    0.019%            0.019%
17            W    17                    0.018%            0.018%
14            W    17                    0.018%            0.018%
13            W    16                    0.017%            0.017%
12            W    16                    0.017%            0.017%
9             W    15                    0.016%            0.016%
15            W    15                    0.016%            0.016%
10            W    15                    0.016%            0.016%
6             W    14                    0.015%            0.015%
28            W    14                    0.015%            0.015%
22            W    14                    0.015%            0.015%
18            W    14                    0.015%            0.015%
96            W    13                    0.014%            0.014%
20            W    13                    0.014%            0.014%
936           W    12                    0.013%            0.013%
4             W    12                    0.013%            0.013%
19            W    12                    0.013%            0.013%
80            W    11                    0.012%            0.012%
176           W    11                    0.012%            0.012%
976           W    10                    0.010%            0.010%
23            W    10                    0.010%            0.010%
128           W    10                    0.010%            0.010%
920           W    9                     0.009%            0.009%
40            W    9                     0.009%            0.009%
21            W    9                     0.009%            0.009%
952           W    8                     0.008%            0.008%
8             R    8                    44.444%            0.008%
840           W    8                     0.008%            0.008%
800           W    8                     0.008%            0.008%
760           W    8                     0.008%            0.008%
27            W    8                     0.008%            0.008%
26            W    8                     0.008%            0.008%
1             R    8                    44.444%            0.008%
888           W    7                     0.007%            0.007%
792           W    7                     0.007%            0.007%
30            W    7                     0.007%            0.007%
25            W    7                     0.007%            0.007%
224           W    7                     0.007%            0.007%
864           W    6                     0.006%            0.006%
56            W    6                     0.006%            0.006%
296           W    6                     0.006%            0.006%
280           W    6                     0.006%            0.006%
256           W    6                     0.006%            0.006%
216           W    6                     0.006%            0.006%
1000          W    6                     0.006%            0.006%
992           W    5                     0.005%            0.005%
960           W    5                     0.005%            0.005%
872           W    5                     0.005%            0.005%
7             W    5                     0.005%            0.005%
768           W    5                     0.005%            0.005%
720           W    5                     0.005%            0.005%
624           W    5                     0.005%            0.005%
552           W    5                     0.005%            0.005%
184           W    5                     0.005%            0.005%
168           W    5                     0.005%            0.005%
152           W    5                     0.005%            0.005%
144           W    5                     0.005%            0.005%
1008          W    5                     0.005%            0.005%
944           W    4                     0.004%            0.004%
832           W    4                     0.004%            0.004%
736           W    4                     0.004%            0.004%
72            W    4                     0.004%            0.004%
536           W    4                     0.004%            0.004%
448           W    4                     0.004%            0.004%
34            W    4                     0.004%            0.004%
320           W    4                     0.004%            0.004%
312           W    4                     0.004%            0.004%
272           W    4                     0.004%            0.004%
264           W    4                     0.004%            0.004%
248           W    4                     0.004%            0.004%
232           W    4                     0.004%            0.004%
104           W    4                     0.004%            0.004%
912           W    3                     0.003%            0.003%
848           W    3                     0.003%            0.003%
744           W    3                     0.003%            0.003%
640           W    3                     0.003%            0.003%
592           W    3                     0.003%            0.003%
496           W    3                     0.003%            0.003%
472           W    3                     0.003%            0.003%
464           W    3                     0.003%            0.003%
424           W    3                     0.003%            0.003%
400           W    3                     0.003%            0.003%
360           W    3                     0.003%            0.003%
328           W    3                     0.003%            0.003%
31            W    3                     0.003%            0.003%
29            W    3                     0.003%            0.003%
160           W    3                     0.003%            0.003%
880           W    2                     0.002%            0.002%
856           W    2                     0.002%            0.002%
784           W    2                     0.002%            0.002%
752           W    2                     0.002%            0.002%
712           W    2                     0.002%            0.002%
688           W    2                     0.002%            0.002%
680           W    2                     0.002%            0.002%
672           W    2                     0.002%            0.002%
632           W    2                     0.002%            0.002%
608           W    2                     0.002%            0.002%
568           W    2                     0.002%            0.002%
512           W    2                     0.002%            0.002%
480           W    2                     0.002%            0.002%
440           W    2                     0.002%            0.002%
432           W    2                     0.002%            0.002%
384           W    2                     0.002%            0.002%
32            R    2                    11.111%            0.002%
240           W    2                     0.002%            0.002%
728           W    1                     0.001%            0.001%
696           W    1                     0.001%            0.001%
664           W    1                     0.001%            0.001%
648           W    1                     0.001%            0.001%
576           W    1                     0.001%            0.001%
560           W    1                     0.001%            0.001%
528           W    1                     0.001%            0.001%
520           W    1                     0.001%            0.001%
456           W    1                     0.001%            0.001%
42            W    1                     0.001%            0.001%
392           W    1                     0.001%            0.001%
37            W    1                     0.001%            0.001%
35            W    1                     0.001%            0.001%
352           W    1                     0.001%            0.001%
344           W    1                     0.001%            0.001%
33            W    1                     0.001%            0.001%
304           W    1                     0.001%            0.001%
208           W    1                     0.001%            0.001%
136           W    1                     0.001%            0.001%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 18             [  0.019%]
Total write I/Os: 95421          [ 99.981%]
Total read sectors : 136         [  0.000%,       0.066MB]
Total write sectors: 86498916    [100.000%,   42235.799MB]
