Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    78492                79.329%           79.314%
8             W    10274                10.384%           10.382%
1016          W    8521                  8.612%            8.610%
32            W    75                    0.076%            0.076%
48            W    71                    0.072%            0.072%
896           W    70                    0.071%            0.071%
968           W    68                    0.069%            0.069%
120           W    66                    0.067%            0.067%
112           W    66                    0.067%            0.067%
984           W    65                    0.066%            0.066%
88            W    64                    0.065%            0.065%
928           W    63                    0.064%            0.064%
904           W    58                    0.059%            0.059%
16            W    41                    0.041%            0.041%
192           W    36                    0.036%            0.036%
816           W    35                    0.035%            0.035%
3             W    35                    0.035%            0.035%
200           W    35                    0.035%            0.035%
824           W    34                    0.034%            0.034%
64            W    28                    0.028%            0.028%
784           W    25                    0.025%            0.025%
768           W    19                    0.019%            0.019%
2             W    18                    0.018%            0.018%
1             W    18                    0.018%            0.018%
6             W    17                    0.017%            0.017%
10            W    17                    0.017%            0.017%
9             W    15                    0.015%            0.015%
4             W    15                    0.015%            0.015%
280           W    14                    0.014%            0.014%
20            W    14                    0.014%            0.014%
13            W    14                    0.014%            0.014%
11            W    14                    0.014%            0.014%
5             W    13                    0.013%            0.013%
14            W    13                    0.013%            0.013%
12            W    13                    0.013%            0.013%
296           W    12                    0.012%            0.012%
23            W    12                    0.012%            0.012%
18            W    12                    0.012%            0.012%
320           W    11                    0.011%            0.011%
21            W    11                    0.011%            0.011%
17            W    11                    0.011%            0.011%
152           W    11                    0.011%            0.011%
144           W    11                    0.011%            0.011%
128           W    11                    0.011%            0.011%
80            W    10                    0.010%            0.010%
328           W    10                    0.010%            0.010%
304           W    10                    0.010%            0.010%
19            W    10                    0.010%            0.010%
168           W    10                    0.010%            0.010%
7             W    9                     0.009%            0.009%
720           W    9                     0.009%            0.009%
40            W    9                     0.009%            0.009%
216           W    9                     0.009%            0.009%
976           W    8                     0.008%            0.008%
936           W    8                     0.008%            0.008%
8             R    8                    44.444%            0.008%
888           W    8                     0.008%            0.008%
312           W    8                     0.008%            0.008%
264           W    8                     0.008%            0.008%
24            W    8                     0.008%            0.008%
1             R    8                    44.444%            0.008%
352           W    7                     0.007%            0.007%
344           W    7                     0.007%            0.007%
256           W    7                     0.007%            0.007%
248           W    7                     0.007%            0.007%
232           W    7                     0.007%            0.007%
22            W    7                     0.007%            0.007%
184           W    7                     0.007%            0.007%
176           W    7                     0.007%            0.007%
160           W    7                     0.007%            0.007%
104           W    7                     0.007%            0.007%
96            W    6                     0.006%            0.006%
872           W    6                     0.006%            0.006%
288           W    6                     0.006%            0.006%
224           W    6                     0.006%            0.006%
992           W    5                     0.005%            0.005%
952           W    5                     0.005%            0.005%
912           W    5                     0.005%            0.005%
840           W    5                     0.005%            0.005%
800           W    5                     0.005%            0.005%
696           W    5                     0.005%            0.005%
688           W    5                     0.005%            0.005%
672           W    5                     0.005%            0.005%
656           W    5                     0.005%            0.005%
56            W    5                     0.005%            0.005%
360           W    5                     0.005%            0.005%
944           W    4                     0.004%            0.004%
920           W    4                     0.004%            0.004%
864           W    4                     0.004%            0.004%
760           W    4                     0.004%            0.004%
736           W    4                     0.004%            0.004%
640           W    4                     0.004%            0.004%
424           W    4                     0.004%            0.004%
336           W    4                     0.004%            0.004%
272           W    4                     0.004%            0.004%
25            W    4                     0.004%            0.004%
15            W    4                     0.004%            0.004%
1000          W    4                     0.004%            0.004%
856           W    3                     0.003%            0.003%
848           W    3                     0.003%            0.003%
832           W    3                     0.003%            0.003%
792           W    3                     0.003%            0.003%
752           W    3                     0.003%            0.003%
744           W    3                     0.003%            0.003%
136           W    3                     0.003%            0.003%
1008          W    3                     0.003%            0.003%
680           W    2                     0.002%            0.002%
648           W    2                     0.002%            0.002%
616           W    2                     0.002%            0.002%
608           W    2                     0.002%            0.002%
592           W    2                     0.002%            0.002%
512           W    2                     0.002%            0.002%
504           W    2                     0.002%            0.002%
400           W    2                     0.002%            0.002%
384           W    2                     0.002%            0.002%
376           W    2                     0.002%            0.002%
32            R    2                    11.111%            0.002%
31            W    2                     0.002%            0.002%
26            W    2                     0.002%            0.002%
240           W    2                     0.002%            0.002%
208           W    2                     0.002%            0.002%
880           W    1                     0.001%            0.001%
808           W    1                     0.001%            0.001%
72            W    1                     0.001%            0.001%
728           W    1                     0.001%            0.001%
712           W    1                     0.001%            0.001%
704           W    1                     0.001%            0.001%
664           W    1                     0.001%            0.001%
632           W    1                     0.001%            0.001%
584           W    1                     0.001%            0.001%
576           W    1                     0.001%            0.001%
544           W    1                     0.001%            0.001%
536           W    1                     0.001%            0.001%
528           W    1                     0.001%            0.001%
520           W    1                     0.001%            0.001%
488           W    1                     0.001%            0.001%
480           W    1                     0.001%            0.001%
472           W    1                     0.001%            0.001%
440           W    1                     0.001%            0.001%
42            W    1                     0.001%            0.001%
408           W    1                     0.001%            0.001%
368           W    1                     0.001%            0.001%
29            W    1                     0.001%            0.001%
28            W    1                     0.001%            0.001%
27            W    1                     0.001%            0.001%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 18             [  0.018%]
Total write I/Os: 98945          [ 99.982%]
Total read sectors : 136         [  0.000%,       0.066MB]
Total write sectors: 89745978    [100.000%,   43821.278MB]
