Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    1475695              45.175%           40.167%
16            R    706193               21.618%           19.222%
8             R    567540               17.374%           15.448%
1024          W    297222               72.978%            8.090%
40            R    122524                3.751%            3.335%
56            R    74508                 2.281%            2.028%
32            R    69697                 2.134%            1.897%
8             W    59191                14.533%            1.611%
72            R    48117                 1.473%            1.310%
1016          W    43441                10.666%            1.182%
88            R    31885                 0.976%            0.868%
104           R    21799                 0.667%            0.593%
48            R    21739                 0.665%            0.592%
64            R    15798                 0.484%            0.430%
120           R    15126                 0.463%            0.412%
256           R    11687                 0.358%            0.318%
80            R    10561                 0.323%            0.287%
136           R    10237                 0.313%            0.279%
96            R    8174                  0.250%            0.222%
152           R    7325                  0.224%            0.199%
112           R    6132                  0.188%            0.167%
168           R    5376                  0.165%            0.146%
128           R    4996                  0.153%            0.136%
184           R    4046                  0.124%            0.110%
144           R    3606                  0.110%            0.098%
200           R    2789                  0.085%            0.076%
160           R    2766                  0.085%            0.075%
216           R    2725                  0.083%            0.074%
192           R    2420                  0.074%            0.066%
176           R    2207                  0.068%            0.060%
232           R    1679                  0.051%            0.046%
208           R    1496                  0.046%            0.041%
224           R    1244                  0.038%            0.034%
248           R    1219                  0.037%            0.033%
240           R    1218                  0.037%            0.033%
408           W    650                   0.160%            0.018%
264           R    508                   0.016%            0.014%
416           W    495                   0.122%            0.013%
280           R    366                   0.011%            0.010%
296           R    339                   0.010%            0.009%
64            W    281                   0.069%            0.008%
32            W    279                   0.069%            0.008%
272           R    276                   0.008%            0.008%
312           R    275                   0.008%            0.007%
512           R    253                   0.008%            0.007%
3             W    231                   0.057%            0.006%
288           R    215                   0.007%            0.006%
16            W    198                   0.049%            0.005%
328           R    193                   0.006%            0.005%
304           R    188                   0.006%            0.005%
400           W    168                   0.041%            0.005%
344           R    161                   0.005%            0.004%
27            W    143                   0.035%            0.004%
320           R    140                   0.004%            0.004%
29            W    136                   0.033%            0.004%
744           W    127                   0.031%            0.003%
360           R    127                   0.004%            0.003%
96            W    124                   0.030%            0.003%
336           R    123                   0.004%            0.003%
24            W    121                   0.030%            0.003%
26            W    118                   0.029%            0.003%
352           R    114                   0.003%            0.003%
28            W    111                   0.027%            0.003%
120           W    111                   0.027%            0.003%
896           W    106                   0.026%            0.003%
376           R    106                   0.003%            0.003%
25            W    106                   0.026%            0.003%
920           W    104                   0.026%            0.003%
31            W    104                   0.026%            0.003%
112           W    104                   0.026%            0.003%
952           W    103                   0.025%            0.003%
736           W    102                   0.025%            0.003%
30            W    102                   0.025%            0.003%
904           W    101                   0.025%            0.003%
888           W    100                   0.025%            0.003%
33            W    97                    0.024%            0.003%
368           R    93                    0.003%            0.003%
4             W    92                    0.023%            0.003%
1             W    83                    0.020%            0.002%
15            W    83                    0.020%            0.002%
35            W    82                    0.020%            0.002%
23            W    81                    0.020%            0.002%
408           R    80                    0.002%            0.002%
14            W    78                    0.019%            0.002%
392           R    75                    0.002%            0.002%
34            W    74                    0.018%            0.002%
384           R    72                    0.002%            0.002%
36            W    71                    0.017%            0.002%
136           W    69                    0.017%            0.002%
424           W    63                    0.015%            0.002%
37            W    61                    0.015%            0.002%
22            W    60                    0.015%            0.002%
392           W    59                    0.014%            0.002%
6             W    57                    0.014%            0.002%
13            W    56                    0.014%            0.002%
128           W    55                    0.014%            0.001%
7             W    54                    0.013%            0.001%
5             W    54                    0.013%            0.001%
11            W    54                    0.013%            0.001%
424           R    53                    0.002%            0.001%
400           R    53                    0.002%            0.001%
21            W    53                    0.013%            0.001%
9             W    51                    0.013%            0.001%
416           R    48                    0.001%            0.001%
38            W    43                    0.011%            0.001%
2             W    43                    0.011%            0.001%
12            W    43                    0.011%            0.001%
728           W    42                    0.010%            0.001%
432           R    42                    0.001%            0.001%
40            W    42                    0.010%            0.001%
712           W    41                    0.010%            0.001%
10            W    41                    0.010%            0.001%
440           R    36                    0.001%            0.001%
20            W    36                    0.009%            0.001%
19            W    36                    0.009%            0.001%
752           W    34                    0.008%            0.001%
18            W    34                    0.008%            0.001%
456           R    30                    0.001%            0.001%
448           R    29                    0.001%            0.001%
17            W    27                    0.007%            0.001%
464           R    26                    0.001%            0.001%
720           W    24                    0.006%            0.001%
45            W    23                    0.006%            0.001%
41            W    23                    0.006%            0.001%
39            W    23                    0.006%            0.001%
48            W    22                    0.005%            0.001%
480           R    22                    0.001%            0.001%
160           W    22                    0.005%            0.001%
224           W    21                    0.005%            0.001%
152           W    21                    0.005%            0.001%
72            W    20                    0.005%            0.001%
288           W    20                    0.005%            0.001%
472           R    18                    0.001%            0.000%
42            W    18                    0.004%            0.000%
44            W    17                    0.004%            0.000%
504           R    15                    0.000%            0.000%
43            W    15                    0.004%            0.000%
296           W    15                    0.004%            0.000%
912           W    14                    0.003%            0.000%
824           W    14                    0.003%            0.000%
