procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PST
 3  0         4916     17208184        35552     48300752    0    0   214  2734    3    3   1   1  89   9   0 2018-11-28 15:22:50
 1  0         4916     25260344        35556     40234720    0    0    20  2518 1892 2833   3   2  95   0   0 2018-11-28 15:22:53
 1  0         4916     47898020        35568     17598484    0    0     0    65 1547 2598   1   4  95   0   0 2018-11-28 15:22:56
 1  0         4916     64786572        35568       716648    0    0     0  7825 1801 2761   1   4  95   0   0 2018-11-28 15:22:59
 0  1         4916     64781388        36200       716444    0    0  7587   232 2786 3865   0   1  95   4   0 2018-11-28 15:23:02
 0  1         4916     64780928        35664       716384    0    0 16163    33 4193 5161   0   1  96   3   0 2018-11-28 15:23:05
 0  1         4916     64779620        36136       715584    0    0 16401    27 4238 5355   0   1  95   3   0 2018-11-28 15:23:08
 0  0         4916     64778796        36372       716472    0    0 23101    33 5518 6377   0   1  96   3   0 2018-11-28 15:23:11
 0  1         4916     64777500        35768       717456    0    0 23301    27 5546 6416   0   1  96   3   0 2018-11-28 15:23:14
 1  1         4916     64779800        36228       716560    0    0 23381    41 5599 6403   0   1  95   3   0 2018-11-28 15:23:17
 0  1         4916     64780520        36408       716260    0    0 22525    43 5415 6318   0   1  96   3   0 2018-11-28 15:23:20
 0  1         4916     64777064        35876       718820    0    0 23861    28 5709 6532   0   1  95   3   0 2018-11-28 15:23:23
 0  1         4916     64781960        36924       715964    0    0 17465    36 4506 5286   0   1  96   3   0 2018-11-28 15:23:26
 0  0         4916     64780692        36716       717660    0    0  9439    36 2902 3960   0   1  96   3   0 2018-11-28 15:23:29
 0  1         4916     64777368        35972       716012    0    0 22709    27 5465 6297   0   1  96   3   0 2018-11-28 15:23:32
 0  0         4916     64776252        36524       716420    0    0 23212    36 5565 6409   0   1  96   3   0 2018-11-28 15:23:35
 0  0         4916     64780476        36692       715296    0    0 23305    31 5431 6442   0   1  96   3   0 2018-11-28 15:23:38
 0  0         4916     64779296        36724       715940    0    0 22603    43 5443 6313   0   1  95   3   0 2018-11-28 15:23:41
 1  0         4916     64778732        36628       715840    0    0 23427    36 5495 6435   0   1  96   3   0 2018-11-28 15:23:44
 1  1         4916     64779288        36148       716136    0    0 22909    28 5402 6378   0   1  96   3   0 2018-11-28 15:23:47
 3  0         4916     64781992        36832       715612    0    0 22949    43 5300 6286   0   1  96   3   0 2018-11-28 15:23:50
 0  2         4916     64779444        36264       716492    0    0 22977    27 5547 6436   0   1  95   3   0 2018-11-28 15:23:53
 0  0         4916     64777212        36900       715392    0    0 23241    36 5534 6389   0   1  95   3   0 2018-11-28 15:23:56
 0  1         4916     64780260        36860       715656    0    0 23108    40 5519 6413   0   1  96   3   0 2018-11-28 15:23:59
 0  1         4916     64779444        36324       715960    0    0 23804    28 5537 6540   0   1  95   3   0 2018-11-28 15:24:02
 0  1         4916     64779724        36796       716176    0    0 22623    36 5540 6354   0   1  95   3   0 2018-11-28 15:24:05
 1  0         4916     64778992        36388       715720    0    0 23041    36 5444 6379   0   1  95   3   0 2018-11-28 15:24:08
 0  1         4916     64779976        36996       716540    0    0 22937    28 5461 6366   0   1  96   3   0 2018-11-28 15:24:11
 0  1         4916     64780024        36460       715700    0    0 22969    36 5423 6377   0   1  96   3   0 2018-11-28 15:24:14
 1  1         4916     64777624        37416       715048    0    0 25463    27 5751 6751   0   1  95   3   0 2018-11-28 15:24:17
 0  1         4916     64781004        36532       716868    0    0 23897    48 5558 6530   0   1  96   3   0 2018-11-28 15:24:20
 0  1         4916     64781924        36564       716236    0    0 24740    36 5648 6668   0   1  96   3   0 2018-11-28 15:24:23
 2  0         4916     64781884        36596       714872    0    0 25152    33 5712 6717   0   2  95   3   0 2018-11-28 15:24:26
 0  1         4916     64780344        36632       716744    0    0 24772    37 5693 6686   0   1  95   3   0 2018-11-28 15:24:29
 0  1         4916     64778256        37108       716464    0    0 25332    28 5810 6793   0   1  96   3   0 2018-11-28 15:24:32
 1  1         4916     64782460        37144       715900    0    0 24523    41 5708 6649   0   1  96   3   0 2018-11-28 15:24:35
 0  0         4916     64354648        36728      1125188    0    0  2841 178491 4931 5824   1   1  98   0   0 2018-11-28 15:24:38
 0  0         4916     64356560        36740      1125176    0    0     0 292889 6088 6861   0   0  99   0   0 2018-11-28 15:24:41
 0  0         4916     64358156        36740      1125196    0    0     0 291157 6047 6822   0   0 100   0   0 2018-11-28 15:24:44
 0  0         4916     64359608        36748      1125132    0    0     0 292343 6096 6846   0   0  99   0   0 2018-11-28 15:24:47
 0  0         4916     64361684        36748      1125168    0    0     0 290987 6033 6836   0   0 100   0   0 2018-11-28 15:24:50
