Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    2133075              48.284%           44.126%
16            R    1038017              23.496%           21.473%
8             R    591111               13.380%           12.228%
1024          W    303447               72.900%            6.277%
40            R    127854                2.894%            2.645%
56            R    86456                 1.957%            1.788%
32            R    81814                 1.852%            1.692%
8             W    60764                14.598%            1.257%
72            R    60743                 1.375%            1.257%
1016          W    44163                10.610%            0.914%
88            R    43887                 0.993%            0.908%
104           R    31595                 0.715%            0.654%
48            R    27946                 0.633%            0.578%
64            R    23183                 0.525%            0.480%
120           R    23112                 0.523%            0.478%
136           R    16489                 0.373%            0.341%
80            R    15976                 0.362%            0.330%
256           R    14707                 0.333%            0.304%
96            R    12654                 0.286%            0.262%
152           R    12040                 0.273%            0.249%
112           R    10146                 0.230%            0.210%
128           R    8880                  0.201%            0.184%
168           R    8403                  0.190%            0.174%
184           R    6423                  0.145%            0.133%
144           R    6184                  0.140%            0.128%
160           R    4831                  0.109%            0.100%
200           R    4532                  0.103%            0.094%
216           R    3897                  0.088%            0.081%
192           R    3811                  0.086%            0.079%
176           R    3728                  0.084%            0.077%
232           R    2555                  0.058%            0.053%
208           R    2455                  0.056%            0.051%
224           R    1981                  0.045%            0.041%
240           R    1891                  0.043%            0.039%
248           R    1862                  0.042%            0.039%
264           R    698                   0.016%            0.014%
408           W    576                   0.138%            0.012%
280           R    558                   0.013%            0.012%
416           W    538                   0.129%            0.011%
296           R    421                   0.010%            0.009%
272           R    409                   0.009%            0.008%
512           R    349                   0.008%            0.007%
312           R    336                   0.008%            0.007%
288           R    307                   0.007%            0.006%
64            W    289                   0.069%            0.006%
3             W    255                   0.061%            0.005%
328           R    249                   0.006%            0.005%
32            W    240                   0.058%            0.005%
304           R    238                   0.005%            0.005%
344           R    210                   0.005%            0.004%
16            W    208                   0.050%            0.004%
29            W    193                   0.046%            0.004%
320           R    177                   0.004%            0.004%
336           R    175                   0.004%            0.004%
27            W    169                   0.041%            0.003%
360           R    164                   0.004%            0.003%
400           W    162                   0.039%            0.003%
28            W    152                   0.037%            0.003%
96            W    145                   0.035%            0.003%
15            W    141                   0.034%            0.003%
352           R    140                   0.003%            0.003%
30            W    140                   0.034%            0.003%
26            W    130                   0.031%            0.003%
14            W    130                   0.031%            0.003%
25            W    129                   0.031%            0.003%
920           W    128                   0.031%            0.003%
376           R    125                   0.003%            0.003%
24            W    125                   0.030%            0.003%
896           W    124                   0.030%            0.003%
112           W    123                   0.030%            0.003%
952           W    119                   0.029%            0.002%
904           W    119                   0.029%            0.002%
120           W    117                   0.028%            0.002%
31            W    116                   0.028%            0.002%
384           R    112                   0.003%            0.002%
424           W    107                   0.026%            0.002%
368           R    105                   0.002%            0.002%
744           W    104                   0.025%            0.002%
33            W    99                    0.024%            0.002%
23            W    96                    0.023%            0.002%
128           W    96                    0.023%            0.002%
392           R    94                    0.002%            0.002%
408           R    89                    0.002%            0.002%
400           R    85                    0.002%            0.002%
736           W    82                    0.020%            0.002%
34            W    82                    0.020%            0.002%
35            W    78                    0.019%            0.002%
888           W    72                    0.017%            0.001%
440           R    72                    0.002%            0.001%
1             W    72                    0.017%            0.001%
13            W    71                    0.017%            0.001%
424           R    69                    0.002%            0.001%
728           W    68                    0.016%            0.001%
392           W    66                    0.016%            0.001%
416           R    61                    0.001%            0.001%
21            W    57                    0.014%            0.001%
22            W    56                    0.013%            0.001%
4             W    54                    0.013%            0.001%
712           W    53                    0.013%            0.001%
456           R    52                    0.001%            0.001%
37            W    49                    0.012%            0.001%
7             W    48                    0.012%            0.001%
36            W    48                    0.012%            0.001%
464           R    47                    0.001%            0.001%
39            W    44                    0.011%            0.001%
38            W    44                    0.011%            0.001%
720           W    43                    0.010%            0.001%
5             W    41                    0.010%            0.001%
72            W    39                    0.009%            0.001%
432           R    39                    0.001%            0.001%
40            W    39                    0.009%            0.001%
472           R    36                    0.001%            0.001%
752           W    33                    0.008%            0.001%
6             W    33                    0.008%            0.001%
20            W    33                    0.008%            0.001%
10            W    33                    0.008%            0.001%
432           W    32                    0.008%            0.001%
9             W    31                    0.007%            0.001%
11            W    31                    0.007%            0.001%
48            W    30                    0.007%            0.001%
480           R    30                    0.001%            0.001%
18            W    30                    0.007%            0.001%
448           R    29                    0.001%            0.001%
42            W    29                    0.007%            0.001%
41            W    29                    0.007%            0.001%
19            W    28                    0.007%            0.001%
12            W    28                    0.007%            0.001%
2             W    26                    0.006%            0.001%
17            W    25                    0.006%            0.001%
152           W    24                    0.006%            0.000%
160           W    23                    0.006%            0.000%
43            W    22                    0.005%            0.000%
136           W    22                    0.005%            0.000%
504           R    21                    0.000%            0.000%
816           W    20                    0.005%            0.000%
488           R    19                    0.000%            0.000%
46            W    19                    0.005%            0.000%
824           W    18                    0.004%            0.000%
56            W    18                    0.004%            0.000%
45            W    17                    0.004%            0.000%
256           W    17                    0.004%            0.000%
208           W    17                    0.004%            0.000%
496           R    16                    0.000%            0.000%
200           W    16                    0.004%            0.000%
192           W    16                    0.004%            0.000%
1000          W    16                    0.004%            0.000%
44            W    15                    0.004%            0.000%
976           W    14                    0.003%            0.000%
968           W    14                    0.003%            0.000%
768           W    14                    0.003%            0.000%
304           W    14                    0.003%            0.000%
216           W    14                    0.003%            0.000%
176           W    14                    0.003%            0.000%
168           W    14                    0.003%            0.000%
144           W    14                    0.003%            0.000%
992           W    13                    0.003%            0.000%
912           W    13                    0.003%            0.000%
55            W    13                    0.003%            0.000%
872           W    12                    0.003%            0.000%
784           W    12                    0.003%            0.000%
54            W    12                    0.003%            0.000%
528           W    12                    0.003%            0.000%
512           W    12                    0.003%            0.000%
288           W    12                    0.003%            0.000%
224           W    12                    0.003%            0.000%
104           W    12                    0.003%            0.000%
984           W    11                    0.003%            0.000%
960           W    11                    0.003%            0.000%
88            W    11                    0.003%            0.000%
864           W    11                    0.003%            0.000%
848           W    11                    0.003%            0.000%
632           W    11                    0.003%            0.000%
520           W    11                    0.003%            0.000%
50            W    11                    0.003%            0.000%
336           W    11                    0.003%            0.000%
264           W    11                    0.003%            0.000%
248           W    11                    0.003%            0.000%
928           W    10                    0.002%            0.000%
760           W    10                    0.002%            0.000%
688           W    10                    0.002%            0.000%
672           W    10                    0.002%            0.000%
57            W    10                    0.002%            0.000%
576           W    10                    0.002%            0.000%
52            W    10                    0.002%            0.000%
49            W    10                    0.002%            0.000%
472           W    10                    0.002%            0.000%
376           W    10                    0.002%            0.000%
328           W    10                    0.002%            0.000%
232           W    10                    0.002%            0.000%
184           W    10                    0.002%            0.000%
800           W    9                     0.002%            0.000%
704           W    9                     0.002%            0.000%
59            W    9                     0.002%            0.000%
592           W    9                     0.002%            0.000%
552           W    9                     0.002%            0.000%
536           W    9                     0.002%            0.000%
464           W    9                     0.002%            0.000%
352           W    9                     0.002%            0.000%
320           W    9                     0.002%            0.000%
1008          W    9                     0.002%            0.000%
880           W    8                     0.002%            0.000%
51            W    8                     0.002%            0.000%
384           W    8                     0.002%            0.000%
368           W    8                     0.002%            0.000%
312           W    8                     0.002%            0.000%
