Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    2185738              50.066%           45.578%
16            R    958037               21.945%           19.977%
8             R    523895               12.000%           10.925%
1024          W    313041               72.822%            6.528%
40            R    131936                3.022%            2.751%
56            R    91475                 2.095%            1.907%
32            R    84417                 1.934%            1.760%
72            R    64918                 1.487%            1.354%
8             W    62770                14.602%            1.309%
88            R    47369                 1.085%            0.988%
1016          W    45962                10.692%            0.958%
104           R    34556                 0.792%            0.721%
48            R    29412                 0.674%            0.613%
120           R    25506                 0.584%            0.532%
64            R    24608                 0.564%            0.513%
136           R    18380                 0.421%            0.383%
80            R    17214                 0.394%            0.359%
256           R    14487                 0.332%            0.302%
96            R    13916                 0.319%            0.290%
152           R    13070                 0.299%            0.273%
112           R    11015                 0.252%            0.230%
168           R    9666                  0.221%            0.202%
128           R    9500                  0.218%            0.198%
184           R    7073                  0.162%            0.147%
144           R    6866                  0.157%            0.143%
160           R    5547                  0.127%            0.116%
200           R    5313                  0.122%            0.111%
216           R    4430                  0.101%            0.092%
176           R    4283                  0.098%            0.089%
192           R    4280                  0.098%            0.089%
232           R    2951                  0.068%            0.062%
208           R    2722                  0.062%            0.057%
224           R    2218                  0.051%            0.046%
240           R    2167                  0.050%            0.045%
248           R    2134                  0.049%            0.044%
264           R    886                   0.020%            0.018%
280           R    683                   0.016%            0.014%
408           W    674                   0.157%            0.014%
296           R    531                   0.012%            0.011%
416           W    527                   0.123%            0.011%
272           R    445                   0.010%            0.009%
312           R    438                   0.010%            0.009%
288           R    343                   0.008%            0.007%
328           R    319                   0.007%            0.007%
304           R    317                   0.007%            0.007%
512           R    308                   0.007%            0.006%
3             W    280                   0.065%            0.006%
64            W    277                   0.064%            0.006%
32            W    266                   0.062%            0.006%
344           R    256                   0.006%            0.005%
320           R    255                   0.006%            0.005%
30            W    211                   0.049%            0.004%
336           R    191                   0.004%            0.004%
28            W    188                   0.044%            0.004%
29            W    187                   0.044%            0.004%
360           R    184                   0.004%            0.004%
16            W    177                   0.041%            0.004%
400           W    174                   0.040%            0.004%
352           R    173                   0.004%            0.004%
27            W    173                   0.040%            0.004%
31            W    170                   0.040%            0.004%
14            W    157                   0.037%            0.003%
376           R    149                   0.003%            0.003%
26            W    140                   0.033%            0.003%
392           R    133                   0.003%            0.003%
368           R    133                   0.003%            0.003%
96            W    132                   0.031%            0.003%
384           R    126                   0.003%            0.003%
